total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28110,1,4,34779,0,3,0,216.150390625,216.048828125,0,11636,93,85,6138,443,content-type,QmV2nbasj4nGTQqakSf3ZQD9c9nzqLbs7a5NpzzJgT2stN
65536,28293,1,5,35205,0,1,0,216.150390625,216.048828125,0,11819,93,85,6138,443,mime-db,QmdcbnjcSN7XKY8GcDNo6vBZxjKYXEvMpviL8dMUPsCHXQ
65536,28295,1,4,35130,0,2,0,216.150390625,216.048828125,0,11821,93,85,6138,443,bytes,Qmf6Lf42ffAAHzB7dov9mo2g7D9aKxQnVX4ni1G3iDthVf
65536,28090,1,3,35285,0,1,0,216.150390625,216.048828125,0,11616,93,85,6138,443,negotiator,QmUu3QYT4PqG2e7aoKteehKcxUidxALXtMCZeEof29J1fc
65536,28110,1,4,31930,0,3,0,216.150390625,216.048828125,0,11636,93,85,6138,443,content-type,QmSWWhLGttbt3CwU3HeDjq3NdNEnruCzjDhNe39R9Kcvkt
65536,28072,1,5,33763,0,2,0,216.150390625,216.048828125,0,11598,93,85,6138,443,ms,Qma454WXBt2Uq2xF4dGF1a54Zdm4WyQ2b4FVdWGzQKbZRp
65536,28093,1,5,34814,0,4,0,216.150390625,216.048828125,0,11619,93,85,6138,443,depd,QmUGMAhg5wW3w8A8agp78Xrc1F3WZ1G797obdxaUmKFcr5
65536,28068,1,5,34733,0,2,0,216.150390625,216.048828125,0,11594,93,85,6138,443,inherits,Qmc4b4GfbgNYhMSA4r6sYQ3eAGBvEjEshHP2gMQDzLSFkM
65536,28097,1,5,29106,0,2,0,216.150390625,216.048828125,0,11623,93,85,6138,443,setprototypeof,QmY5xJF7Gikwxq6Hr82zaignnSytbxbRgxzi1X8a32Guox
65536,28068,1,5,34044,0,5,0,216.150390625,216.048828125,0,11594,93,85,6138,443,statuses,Qman1k1zAKFTZZGEwmWMiBtK5VKoDPcz2Nhsy9mF2JqAeN
65536,28110,1,5,32867,0,2,0,216.150390625,216.048828125,0,11636,93,85,6138,443,toidentifier,QmVZYSdAMr5auvwaQ2y9X9gmhxkXj9LWPH2YrpKmme2wjZ
65536,28068,1,5,33030,0,5,0,216.150390625,216.048828125,0,11594,93,85,6138,443,statuses,QmUKn9cprQBJ3ipV7tJuRwnaEM5JYu9xPi35HQcQeEt77U
65536,28110,1,5,30533,0,1,0,216.150390625,216.048828125,0,11636,93,85,6138,443,safer-buffer,QmQmjb1tjyGojxwnfBFo5H6iNeAUsJeKt7t8Gx6eAa6otW
65536,28068,1,5,33029,0,1,0,216.150390625,216.048828125,0,11594,93,85,6138,443,ee-first,QmNwangWHcjtP4PBom4QwhRoQvXt8ZdpkWoPqoDsiYBM6m
65536,28312,1,11,32745,0,4,0,216.150390625,216.048828125,0,11838,93,85,6138,443,function-bind,QmYubKgvvRA4cndkt8FU2arMFBMCDVVqbsY7pTYAC3DAVR
