total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28110,1,4,34857,0,3,0,216.150390625,216.048828125,0,11636,93,85,6138,443,content-type,QmaR9xdqrzeJwzqRwfYKJYmJL7YsFs35Mm2CwcebEoJLTq
65536,28293,1,5,34894,0,1,0,216.150390625,216.048828125,0,11819,93,85,6138,443,mime-db,QmUzNzt3b9dupmh4kA1FkSvjnsBz2uH4WjqkGgDfBXCe2y
65536,28090,1,3,35173,0,1,0,216.150390625,216.048828125,0,11616,93,85,6138,443,negotiator,QmdV9YcgzhSsSbL8MFntyqMWypTCQhHavzteFcvmMUBej3
65536,28295,1,4,34998,0,2,0,216.150390625,216.048828125,0,11821,93,85,6138,443,bytes,QmeDSkm4epBf7qkLdX56NXy3ABEm76qpo576pbFoPQpbeX
65536,28072,1,5,33444,0,2,0,216.150390625,216.048828125,0,11598,93,85,6138,443,ms,QmZfZpobyvjjpzVUhvTPzCYSB8VmMGMTbE9iDKjz79pF2x
65536,28093,1,5,34946,0,3,0,216.150390625,216.048828125,0,11619,93,85,6138,443,depd,QmXZbNoAoMRXJ4bvjwfWGbGa21xvucTRkhuXxxbMTgv7nJ
65536,28097,1,5,34528,0,1,0,216.150390625,216.048828125,0,11623,93,85,6138,443,setprototypeof,QmPfQ77vNQJiuCQayiHZnZbL18jTbAxyjosbn3Ack37JKa
65536,28068,1,5,34957,0,1,0,216.150390625,216.048828125,0,11594,93,85,6138,443,inherits,QmVtQpDiTRb8pGchFGoDJioydccrUDWERttNj56avkq3LW
65536,28068,1,5,29710,0,4,0,216.150390625,216.048828125,0,11594,93,85,6138,443,statuses,QmbkDWdxcueVDdHC7c93U28uUoMrxraaRK1KQz9f1GKyMU
65536,28110,1,5,34437,0,1,0,216.150390625,216.048828125,0,11636,93,85,6138,443,toidentifier,QmYibgKRebQuDkNGBJzxjWJLty7FQdJdrp2YrDRjZ3GuVx
65536,28110,1,5,34315,0,1,0,216.150390625,216.048828125,0,11636,93,85,6138,443,safer-buffer,Qmc6z4zp6dSc7Pds2CoQkTS5AyPWDXYDFvE1R5zp6boCno
65536,28068,1,5,34537,0,1,0,216.150390625,216.048828125,0,11594,93,85,6138,443,ee-first,QmXdmXrabZzbaEhCCUeSRv7suRKwHske7nz7C2zCGGk5Aa
65536,28271,1,12,27785,0,8,0,216.150390625,216.048828125,0,11797,93,85,6138,443,es-errors,QmatJWBAj7nRAQbhNezNt4A4DJLsZDy1SpL55sDS6LW7nw
65536,28106,1,9,32460,0,1,0,216.150390625,216.048828125,0,11632,93,85,6138,443,es-define-property,QmVb28ZnJ5N6QfBSPHcPuaNPpc2pcysrdFYxZj3fNqsJnK
65536,28300,1,7,33553,0,4,0,216.150390625,216.048828125,0,11826,93,85,6138,443,object-inspect,QmdBd798wkU3gKd9k94Kw4mxRfdx6p9hyekt6f53x6y2gY
65536,28312,1,12,35363,0,3,0,216.150390625,216.048828125,0,11838,93,85,6138,443,function-bind,QmXqq2cYRx4mLn7QuayAjCmf6GzHV2M14Vpqce9AinTVyx
65536,28093,1,11,28356,0,2,0,216.150390625,216.048828125,0,11619,93,85,6138,443,gopd,QmbKmPhqB2T8g2qTBvSL1ha126fvVMeKWXQ4LqELFkM2vA
65536,28300,1,9,33219,0,1,0,216.150390625,216.048828125,0,11826,93,85,6138,443,math-intrinsics,QmVAHRNBMK9j1gSm2pvYhWU4qLpdKCe3X3CRvoJeke4r32
