total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28324,1,5,34763,0,10,0,216.150390625,216.048828125,0,11850,93,85,6138,443,typing-extensions,QmRYDwYQB3XtFzNnRBfxjehbgPAm7LEU8yWZbMZ27FqjdQ
65536,28094,1,4,34892,0,7,0,216.150390625,216.048828125,0,11620,93,85,6138,443,colorama,Qmedw2QmLi7TubKyxR1t4tJBm6jsCZF5qgeKNFduuyw2hT
65536,28276,1,3,35087,0,1,0,216.150390625,216.048828125,0,11802,93,85,6138,443,pycparser,QmehEfXsrhjtzLUztEvzUe5DmUXjdpUHTi4xnRnPSnG52h
65536,28309,1,2,35042,0,1,0,216.150390625,216.048828125,0,11835,93,85,6138,443,blinker,QmNaVbt9C6RmAGVKK5N9z23LzPUig1XLVSSBpK5ki8p1uv
65536,28136,1,2,31258,0,1,0,216.150390625,216.048828125,0,11662,93,85,6138,443,itsdangerous,QmSk7jC4PADTM6DQDU69BYzsEGgepGRuydtSS7EtHonzmb
65536,28308,1,5,32770,0,3,0,216.150390625,216.048828125,0,11834,93,85,6138,443,markupsafe,QmaxMTne7V898LdLcj2Vwxpfm3jv4y58H8JtS5hGuPN8Wj
65536,28113,1,2,32652,0,1,0,216.150390625,216.048828125,0,11639,93,85,6138,443,python-dotenv,QmdBRGqKyDtdmqKEN5oBDtTnaA47VxBitrE8QVrw2b4Q4j
65536,27917,1,5,31864,0,3,0,216.150390625,216.048828125,0,11443,93,85,6138,443,idna,QmPScNNLhERhmMd6CBYfucsd6HV9iWsE7bZcPVgeXUJfXX
65536,28318,1,5,28930,0,3,0,216.150390625,216.048828125,0,11844,93,85,6138,443,certifi,QmWyXwNRu9hLbZd5JKkASQaKwMCFnseWACWsi4FTadAQWp
65536,28310,1,4,33050,0,2,0,216.150390625,216.048828125,0,11836,93,85,6138,443,h11,QmeEoV4dVMk62BQtAoFau87Vh2dRE8VZFLhke2YcqbQFwk
