total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28145,1,1,34192,0,1,0,216.150390625,216.048828125,0,11671,93,85,6138,443,backports-datetime-fromisoformat,QmQt9Y1HiikmzF1DHCSyYApqb9yZMBAWmKjxMjDhjxrEoa
65536,28113,1,1,34301,0,1,0,216.150390625,216.048828125,0,11639,93,85,6138,443,async-timeout,QmaLDRcUviNqvUTZYhQ5J5rB3jt6fDucoSewAHvNB5mkDy
65536,28310,1,6,34755,0,2,0,216.150390625,216.048828125,0,11836,93,85,6138,443,six,QmR1j3PPKnLiWLUpriuyg3scPgdpTSwMycoKgm6whJWiZX
65536,28318,1,1,34789,0,1,0,216.150390625,216.048828125,0,11844,93,85,6138,443,audioop-lts,QmbV4ucrZsvy726mW8xhcCppXXP9uRGSwXjqwMaFk5oqsb
65536,28096,1,6,35172,0,10,0,216.150390625,216.048828125,0,11622,93,85,6138,443,click,QmW4mr6uUbCKqdhia88psvPrVEB8oZpBjTy9fWBwcKqPH2
65536,28095,1,6,35431,0,26,0,216.150390625,216.048828125,0,11621,93,85,6138,443,packaging,QmbF1C2QHuhCPG9hqCcBtS9JJrtBmKuyeHACvmcFYC5dhF
65536,28094,1,2,35162,0,1,0,216.150390625,216.048828125,0,11620,93,85,6138,443,pathspec,QmdDhyLKZcFHD5CAHXEDqnEsMBCUzgJXXjzLvevcfKjBBR
65536,28136,1,3,35447,0,3,0,216.150390625,216.048828125,0,11662,93,85,6138,443,platformdirs,QmaHBq3jTePHS5VWvAbpbkoKLWhETsEvh2nwHViTyoFNJP
65536,28094,1,1,32900,0,1,0,216.150390625,216.048828125,0,11620,93,85,6138,443,cdifflib,QmQp48Fc1JrC71qF1PrDEdHKhmDRT764n98AzauMMH8fGg
65536,28106,1,1,35068,0,1,0,216.150390625,216.048828125,0,11632,93,85,6138,443,contourpy,QmckGv1VJmchjWEZFziW6L2BCMLnCjTb4j2QuV1w1UfnNj
65536,28106,1,1,35607,0,1,0,216.150390625,216.048828125,0,11632,93,85,6138,443,contourpy,QmeMmMwgV82SVswnbd5d5Yi1HCKG5h9mtHbZfTWJRTme5F
65536,27913,1,1,36908,0,1,0,216.150390625,216.048828125,0,11439,93,85,6138,443,coverage,QmdCDtBsREgG7FVnkShSrBS8EYq3uZEQUWzXKc9W2zVm2A
65536,28095,1,2,29959,0,1,0,216.150390625,216.048828125,0,11621,93,85,6138,443,pywin32,QmWVagpcdza7UGEJaHBwLKPKkWHwCAsRWeSvEiRwyLkAR2
65536,28316,1,2,31842,0,2,0,216.150390625,216.048828125,0,11842,93,85,6138,443,cuda-bindings,QmbwJbqmkpUq4VLBWa8PWASu5W767rdgupaHr7YBQc1TER
65536,28326,1,3,34435,0,3,0,216.150390625,216.048828125,0,11852,93,85,6138,443,cuda-pathfinder,QmXoJ65MWKZT5TVvVtu4zARdPV3tGdHESLpSkYgzj642Mv
65536,28106,1,1,39581,0,1,0,216.150390625,216.048828125,0,11632,93,85,6138,443,diskcache,QmbU25zqKpPGeok19gAxuqR7Vzdu5ZqT6hkz7HAK54JFqF
65536,27913,1,1,26880,0,1,0,216.150390625,216.048828125,0,11439,93,85,6138,443,docutils,QmaVsKCrLHNfZ5eXTpbUjSVq7g6o66mJEnSyb49E5GsANw
65536,28136,1,1,36034,0,1,0,216.150390625,216.048828125,0,11662,93,85,6138,443,editdistance,QmSWS6T9yQngx4enzzfmYbCJQmpj9n5rTB4pt7BJ4BXgft
65536,28316,1,1,36081,0,1,0,216.150390625,216.048828125,0,11842,93,85,6138,443,exceptiongroup,QmZ6tRh5fWQutsnpi5EPxoaQUDA6sDiEmxQdkcScVEVPfy
65536,28094,1,1,39090,0,1,0,216.150390625,216.048828125,0,11620,93,85,6138,443,greenlet,QmYhrPa2VW1dxFbhNSSCHCZnjnSPywJfrk41fK7Y912py6
65536,27913,1,1,28069,0,1,0,216.150390625,216.048828125,0,11439,93,85,6138,443,gunicorn,QmNzyErJtZEY8eLA5mdKdM8RbNQ87LEkk8k6xBGvWbRB6L
65536,28333,1,3,29848,0,2,0,216.150390625,216.048828125,0,11859,93,85,6138,443,antlr4-python3-runtime,Qmc8aHTFGKzAs6WkM552WXJrZTxzk1yfPd8aSgpFKJDKHL
65536,28299,1,1,33348,0,1,0,216.150390625,216.048828125,0,11825,93,85,6138,443,hf-xet,QmS2zYh14sdXtA4UqHBk4ce24nHLNK2yuvRrykMkkg1tPp
65536,28326,1,2,33541,0,2,0,216.150390625,216.048828125,0,11852,93,85,6138,443,more-itertools,QmfCrLibrrh6DgD39LmyXLy66Ye8nP8rrJ3xaXdAmA34aG
65536,28319,1,1,34318,0,1,0,216.150390625,216.048828125,0,11845,93,85,6138,443,ipython,QmQgRhRXmDFvKMQATP2uqzH4Rtqf6G6ZZy8vV7kzbqvbg6
65536,28319,1,1,32645,0,1,0,216.150390625,216.048828125,0,11845,93,85,6138,443,ipython,QmdVsTFKdTeayFbEY5HaQ1hiBrroZaWVk7sznbGW4Z9qui
65536,28319,1,1,35190,0,1,0,216.150390625,216.048828125,0,11845,93,85,6138,443,ipython,QmPsVJ3NxXyRDMnWHVEvGtrVxtxPMHQD63XVPJt93WJRiv
65536,28299,1,1,30232,0,1,0,216.150390625,216.048828125,0,11825,93,85,6138,443,isort,QmRGUx8wWSD2PKCd2X1qcFxpRpfVpdJeqC6yS9TLbrZCzk
65536,28343,1,1,32925,0,1,0,216.150390625,216.048828125,0,11869,93,85,6138,443,ipython-pygments-lexers,QmVDJ1dvCJZbw2nbdgLP4aucL3Nhx6VbxzcfSQvc6buEV2
65536,28299,1,1,34217,0,1,0,216.150390625,216.048828125,0,11825,93,85,6138,443,janome,QmZMva4M4LQ7rk9gvX2kWtzyzTjM2BXnPqDM6kBGbAPGij
65536,28096,1,2,34682,0,1,0,216.150390625,216.048828125,0,11622,93,85,6138,443,parso,QmRV2ny36RGxPQQqPFoTwmyACzuFpLvfXoFkYRg2CSc8Kn
65536,28299,1,1,33028,0,1,0,216.150390625,216.048828125,0,11825,93,85,6138,443,jieba,QmaihbXambAX7hGsUVWgCpiyxMVAZCxRFpX2KaFEboCmzu
