total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28106,1,3,33835,0,2,0,216.150390625,216.048828125,0,11632,93,85,6138,443,dnspython,QmP86PoY7rXZAKfQ45vXHRF9eaQkjobKojTryY6NNuTAWy
65536,28300,1,2,33531,0,1,0,216.150390625,216.048828125,0,11826,93,85,6138,443,av,QmUTSqpVR1UHichnjyM5B6UPDoJMLdMGwJLL6JdGQztyt7
65536,28113,1,4,33991,0,3,0,216.150390625,216.048828125,0,11639,93,85,6138,443,google-crc32c,QmcU3jiFxmA7wehw1MkYJwKBLGqt5CVf3zGp5hQc7iQR9b
65536,28299,1,3,33850,0,1,0,216.150390625,216.048828125,0,11825,93,85,6138,443,ifaddr,QmcG5yZZA5czD7CCVSDBGjW3Wfn8rZ9U78fH6Y9tYFuq1Y
65536,28299,1,3,33994,0,3,0,216.150390625,216.048828125,0,11825,93,85,6138,443,distro,QmfNpyMuvU7hmeaVtNbDG7VvJjPAfbo2YXDAJJEAeMixjD
65536,28308,1,5,33857,0,1,0,216.150390625,216.048828125,0,11834,93,85,6138,443,hyperframe,QmejiFfVRjF4mAjVjpYYaGCSw8yCz7UP7BDv8VoBCyBpux
65536,28299,1,3,33822,0,2,0,216.150390625,216.048828125,0,11825,93,85,6138,443,jiter,QmXwaP2afJXa35sE1dpYYjGHsKfFhMDoEYsZSR1NzEXgLo
65536,28096,1,5,33923,0,1,0,216.150390625,216.048828125,0,11622,93,85,6138,443,hpack,QmQdcTgKCQxiCk3kALeXMBWEHoPhp1Pxf4Kf59qX3B7cyK
65536,28309,1,3,31543,0,2,0,216.150390625,216.048828125,0,11835,93,85,6138,443,sniffio,QmX5JkHBo8xsyVbgiFjPpw5YJoSFiox3pBxcEoYCZo3LtG
65536,28299,1,4,33541,0,19,0,216.150390625,216.048828125,0,11825,93,85,6138,443,numpy,QmeoCKPDzHrTFjiAPzUmQeqLatuA9mLLzCWhGFm2zHjrS2
65536,28324,1,6,33758,0,1,0,216.150390625,216.048828125,0,11850,93,85,6138,443,charset-normalizer,QmcK3jr7n9QECakS89AVb4Gt958jPyZwcy5wmHN3YzLC1Y
65536,28106,1,2,33789,0,1,0,216.150390625,216.048828125,0,11632,93,85,6138,443,termcolor,QmYXfd8ThMsajneF6kNuHD4x8QKysVPKsrEJAhZa4gPXN2
65536,28106,1,3,31492,0,2,0,216.150390625,216.048828125,0,11632,93,85,6138,443,regex,Qmf2ekENeS8XnUf4nYMP6oAANJG6Bm75C1GHkqWvgps5Fq
65536,28309,1,3,32395,0,7,0,216.150390625,216.048828125,0,11835,93,85,6138,443,isodate,QmaNYcdfwmYkfSJyDraDhUPQargW3rxHXsYY35ZdS8rq1b
65536,27921,1,2,32178,0,1,0,216.150390625,216.048828125,0,11447,93,85,6138,443,azure-common,QmdB8UuwJHrPvFiNVTp6AGeCZPiV4JzPrJrepfjfwBqAeB
