total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,28312,1,12,10531,0,3,0,216.150390625,216.048828125,0,11838,93,85,6138,443,function-bind,Qmca8ppcU6Vpj7pf8gCdWekpvJmee14xuHHjjuUek5u2RY
131072,47959,1,9,0,1,1,1,218.119140625,218.017578125,104030,17203,7605,85,11915,1280,hasown,QmcpPn9DXnmWE85S42ZN32KGLmpyB38bSDBkoJj1nDAdUB
131072,67822,1,11,0,2,3,2,218.119140625,218.017578125,136450,23006,15114,85,17628,2109,call-bind-apply-helpers,QmUaQxZEvCkaAtjzzdyhxadH5jDcrUZw2FYhM7jK2VtvgW
262144,185283,1,8,0,10,3,11,218.119140625,218.017578125,335151,67529,74952,85,29054,3767,get-intrinsic,QmS4AP4yCkUvmESoMNDF4Q5w3CL8rZhmLPd56bGTZJca4D
131072,67569,1,7,0,2,2,12,218.119140625,218.017578125,72374,22779,15088,85,17628,2109,call-bound,QmbJ4XmuFNmUK55vR6556VmA5pmgTdr7PwQg5q2rdfLzfB
262144,100256,1,6,0,4,2,14,218.119140625,218.017578125,166398,33906,30106,85,23341,2938,side-channel-map,QmeLGMPGkSiM7XZLvPUp7hnF3JFzEcKYCtj9y92pdF1cep
262144,113359,1,4,0,5,1,17,218.119140625,218.017578125,183759,39497,37602,85,23341,2938,side-channel,QmbpGejPjwhUgawMex9A9M1irwWQGdy1ZirTZNwWk9x57X
131072,47988,1,3,0,1,2,18,218.119140625,218.017578125,56051,17219,7618,85,11915,1280,qs,QmcPAqVqRa7ZxQWyMSQR558rXynJ9cZPbQN7cuQZ5aCdPQ
262144,172331,1,2,0,9,1,39,218.119140625,218.017578125,252997,61943,67586,85,29054,3767,body-parser,QmUvXXTizKLxVB14tsXuUgFhRYrJFC3mZkdyxtBw8zZoxj
524288,427074,1,1,0,28,1,64,218.119140625,218.017578125,836700,167688,210010,85,34767,4596,express,QmUzgCtuHn2ZLJn7P9Dyb3DDQ5e2kSGZQnuabqqw6eMGsJ
131072,47944,1,0,0,1,0,65,218.119140625,218.017578125,55389,17188,7605,85,11915,1280,express,QmbL92wNYVRznb3hwa6RrrxyPLUw2RJXGbgHu3TKNPG47k
