total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27966,1,5,11441,0,1,0,216.087890625,216.017578125,0,11819,105,85,6137,443,mime-db,QmbNKBEHoL5Bwf8dBUBd9GWemqzzcMGXJFALy5MhH3knj5
131072,47353,1,4,21943,1,4,1,454.671875,454.6015625,0,17213,7337,85,11914,1280,mime-types,Qmb8TE9WUTAdZBTSx12ZEsN1dqpsm1fPZp2ms6qNWqjAPB
65536,27763,1,3,11755,0,1,0,216.087890625,216.017578125,0,11616,105,85,6137,443,negotiator,QmebvZ8AHpr47FWEiHAcfbhzELJ1HoMT7Ntped8VX7cCoZ
131072,66919,1,2,21787,2,1,3,909.33984375,909.26953125,0,22972,14593,85,17627,2109,accepts,QmU7oRfHRGjjmbDuk8kvcNTZyNph6CCtoRax3HFBwhNLcP
65536,27968,1,4,11189,0,2,0,216.087890625,216.017578125,0,11821,105,85,6137,443,bytes,QmXyMytHSgn4ajYBrEVndu9qKjqjCw4UWgb3tSouQ1osq9
65536,27783,1,4,11394,0,3,0,216.087890625,216.017578125,0,11636,105,85,6137,443,content-type,QmZYytx5vUazt6g485V2kRHUsHu3zdbTYxXwYuAas6FB61
65536,27783,1,4,11611,0,3,0,216.087890625,216.017578125,0,11636,105,85,6137,443,content-type,QmTjZtgn1tkMc3K4W2pcrRfbdesW8BeENMKZS58CMhDmcQ
65536,27745,1,5,11244,0,2,0,216.087890625,216.017578125,0,11598,105,85,6137,443,ms,QmVi9wvVShZrGdcp8WRxdeQWqe2zVcQxj8utyZydDFK3xx
131072,47558,1,4,21232,1,5,1,454.671875,454.6015625,0,17418,7337,85,11914,1280,debug,QmSsDuh63eqhTJB7Vbrxsxutv78yMhPotdRxbrKzBRCgzN
65536,27766,1,5,11273,0,4,0,216.087890625,216.017578125,0,11619,105,85,6137,443,depd,QmZXCjGJSnzjgfSfnbpZzBmdP8aidVSDZb2GKYgKkSv7iw
65536,27741,1,5,11153,0,2,0,216.087890625,216.017578125,0,11594,105,85,6137,443,inherits,QmaZCked1eL5nJ7Qf9XRY22fmZQqqD4rqpfXFwmEEBpn6J
65536,27770,1,5,11482,0,2,0,216.087890625,216.017578125,0,11623,105,85,6137,443,setprototypeof,QmNmy9qiKBDjhPxPE4ZEevCmmAW7Ju8BjrXa7xRNVBrPSp
65536,27741,1,5,11744,0,5,0,216.087890625,216.017578125,0,11594,105,85,6137,443,statuses,QmS6CyzRgyoUULmevoAZBrqZrcNvHbEJW2WUe5xi9Wk1hS
65536,27741,1,5,11224,0,5,0,216.087890625,216.017578125,0,11594,105,85,6137,443,statuses,QmT8FVzZT3mwqXZTmYTj3yVzQeqANjSgZDGxkgPrENDpfv
65536,27783,1,5,11126,0,2,0,216.087890625,216.017578125,0,11636,105,85,6137,443,toidentifier,QmUXmyHBuj42WfiVUvnMhsBDc8Jj9Sj2uZmu2rZ7mrnbpD
262144,124722,1,4,42342,6,4,6,1546.529296875,1546.458984375,0,45245,43565,85,23340,2938,http-errors,QmPYnSPzD1tytghSqLbaHGny7ceux6VN9Tr6SjgWwDsxCg
262144,124722,1,4,41635,6,4,6,1546.529296875,1546.458984375,0,45245,43565,85,23340,2938,http-errors,QmeMZMuKW8HR1e3fgFJZrav78YfqeeuU4Lk1dZCxb5cgfJ
65536,27783,1,5,11595,0,1,0,216.087890625,216.017578125,0,11636,105,85,6137,443,safer-buffer,QmQAQspsDAnsDyRfbhwfo85NYEXkeDNRmGdFiHzchdDb7g
131072,47353,1,4,21271,1,2,1,454.671875,454.6015625,0,17213,7337,85,11914,1280,iconv-lite,QmWG7ApEuUySgixd49z9MX9PhUktpxYWGWwEtf1gkYaGXC
65536,27741,1,5,11440,0,1,0,216.087890625,216.017578125,0,11594,105,85,6137,443,ee-first,Qmdykbb3FnX424oaLUGLRSLkG73vFDw7GZ8ry9rKbhSSNA
131072,47568,1,4,21827,1,4,1,454.671875,454.6015625,0,17415,7350,85,11914,1280,on-finished,QmbbBVDHrEhKE13vHvqcax41rqZzHr9V33YxYmAXsWZEC3
65536,27944,1,11,11246,0,7,0,216.087890625,216.017578125,0,11797,105,85,6137,443,es-errors,QmTYmnPfTYxJx2x9ciLdfgyuVrbLhmsfRswW28evJJGh8o
65536,27985,1,11,11445,0,4,0,216.087890625,216.017578125,0,11838,105,85,6137,443,function-bind,QmY3rrK9i2qz3Ciahx8Nw2onvuTrKDyXQZy7E7JdSPGMQj
131072,66953,1,10,20972,2,3,2,670.755859375,670.685546875,0,23006,14593,85,17627,2109,call-bind-apply-helpers,QmVW1QPx4WtQr8FwPJfCSP6W8KcxMBepzFbGcMF832Bc7x
65536,27779,1,8,11432,0,4,0,216.087890625,216.017578125,0,11632,105,85,6137,443,es-define-property,QmTnzUyPNuH2yjroBz6vJS8SE57xpzpaMrLpkgNxXEcTnU
131072,47576,1,9,21333,1,2,1,454.671875,454.6015625,0,17423,7350,85,11914,1280,es-object-atoms,QmcnQz544oMjmF1KNZb359CAtcD1UhuUpr6v6K3XZzoTEL
65536,27766,1,10,10884,0,4,0,216.087890625,216.017578125,0,11619,105,85,6137,443,gopd,QmSYK6B9fkCTSZ3LN1p1w43SxiuF2oigRiXw6arRJUd6jg
131072,79555,1,9,21889,3,1,4,1341.5078125,1341.4375,0,28365,21836,85,17627,2109,dunder-proto,QmdpaR32ppBV2rbH8ktHcum48anW2vXrZZFA7LT5wLujCy
131072,66881,1,8,22892,2,1,6,2034.759765625,2034.689453125,0,22960,14567,85,17627,2109,get-proto,QmX1KRvKsJ1ysfRDUHmnKrQyWBCVHkrphSpDWbRJZz55AT
65536,27965,1,8,11736,0,1,0,216.087890625,216.017578125,0,11818,105,85,6137,443,has-symbols,Qme9ZDTq1N9baj5g19oexrwJGF3kbEAvW4EixrKxU6Df2X
131072,47343,1,8,21818,1,1,1,454.671875,454.6015625,0,17203,7337,85,11914,1280,hasown,QmPSnoU4jUnsP1g5DScwAE96q13HXJnLijRwjstPWHD8E6
65536,27973,1,8,11269,0,1,0,216.087890625,216.017578125,0,11826,105,85,6137,443,math-intrinsics,QmbcPGyBKZr4DcVT8Yyse7d34oYXVx3B3XdB9EXz7EUL79
262144,182390,1,7,42818,10,3,11,5161.373046875,5161.302734375,0,67529,72407,85,29053,3767,get-intrinsic,QmTPaXYLpqeW9Cp7vkvtFikUV8L7KqnHCnywvQ7Jfjepxu
131072,79572,1,7,22808,3,1,3,886.83984375,886.76953125,0,28382,21836,85,17627,2109,define-data-property,QmTgFFky2LA5vY7pFvWTdUMz1LEtBkYrtryxLDcHRErToS
131072,47378,1,7,21747,1,1,1,454.671875,454.6015625,0,17225,7350,85,11914,1280,has-property-descriptors,QmWR8oTTW8ggec7yWLFq62FHya5GwUu2yF7opFEaA86QDg
262144,124738,1,6,43248,6,1,14,7401.150390625,7401.080078125,0,45261,43565,85,23340,2938,set-function-length,QmTyJHAS2KxuJ65xbDNf3sgh4PuLJJqHrKew5uaRtk7bZA
262144,99015,1,5,45644,4,1,15,13699.376953125,13699.306640625,0,34092,29027,85,23340,2938,call-bind,QmWmRvNniYhxTPFCKyXzCdj1Nj21uWr8BMGjWgzidLwqZD
65536,27973,1,5,10936,0,1,0,216.087890625,216.017578125,0,11826,105,85,6137,443,object-inspect,QmUS9jUwiUCkdLE8ojUxUxLDUYXV18NVyunMXfwUWFVuKS
262144,98906,1,4,47238,4,1,17,19542.935546875,19542.865234375,0,33931,29079,85,23340,2938,side-channel,QmVPigo6m4BZhWYPXtSMiLJA4Tc7Lu9vQAH9To3E7QykfM
131072,47372,1,3,27604,1,2,18,19781.51953125,19781.44921875,0,17219,7350,85,11914,1280,qs,QmUQAMLXy3YcD7tnseyD8y6mxyXzMkbGeYov2ESNJkc4pu
65536,27753,1,4,11537,0,1,0,216.087890625,216.017578125,0,11606,105,85,6137,443,unpipe,QmeSQcsWBvM55LuAKpF5zauUt4UqV2K6Aq7Rk4hJk7DCWc
262144,111689,1,3,43129,5,1,12,4229.912109375,4229.841796875,0,39455,36322,85,23340,2938,raw-body,QmYKkU5ppsmAyxdDkaF8cFFDT12C9Wk5XxQbfGSigy6uUv
65536,27965,1,4,10871,0,1,0,216.087890625,216.017578125,0,11818,105,85,6137,443,media-typer,QmbN54wgPkqHqd6pvDtHvkVKKQsqyvwrY24qGM1hS6jFu1
262144,99079,1,3,42229,4,2,5,1352.9453125,1352.875,0,34104,29079,85,23340,2938,type-is,Qme1NdHGhqRmY93ruLuDEy2ejwD7QfqC1Zp2qpZbLRLpYi
262144,195309,1,2,51931,11,1,42,30719.697265625,30719.626953125,0,73075,79780,85,29053,3767,body-parser,Qmc63uXTPnWJGFef5ynNKXD9er3aEUvSvb5jqAyp1aLDrt
65536,27981,1,2,11046,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,content-disposition,Qmddtg4VP84YKnaJH4xGtfk2hNx3SHFVnA5XsL4Y3DXok2
65536,27758,1,2,11391,0,1,0,216.087890625,216.017578125,0,11611,105,85,6137,443,cookie-signature,QmNSgQd3EcuxvMREKY6yjaaYDhk92WcYai78jwjzSZvmH7
65536,27753,1,2,11522,0,1,0,216.087890625,216.017578125,0,11606,105,85,6137,443,cookie,QmUDrL8Cghzb2tpFyTAtYWKGH68A6kJUXf8RnWQEpRJsVs
65536,27944,1,4,11383,0,4,0,216.087890625,216.017578125,0,11797,105,85,6137,443,encodeurl,QmUYc5ygrz6m376JSuV3WRtvmXHrmYNuXVd9QLEuH6SGpV
65536,27965,1,4,11239,0,4,0,216.087890625,216.017578125,0,11818,105,85,6137,443,escape-html,QmZXTLVNQNjbQKunWc2GCAr9iawzGupnAV86d3LNbAbrJP
65536,27766,1,4,11420,0,2,0,216.087890625,216.017578125,0,11619,105,85,6137,443,etag,QmQWCVkei7Nix62iMHAj5gaSnu26CTFT4b7JJC8bAmVWSu
65536,27741,1,3,11412,0,4,0,216.087890625,216.017578125,0,11594,105,85,6137,443,parseurl,QmYrqqYpydHtUrdPQPiEWmcPaFepRVRCMHWc8jYTGJfBYe
262144,137349,1,2,42734,7,1,9,2239.78125,2239.7109375,0,50629,50808,85,23340,2938,finalhandler,QmcftZn3jDiob1mpnhSVdQYs4BeoYE8GnQ2pVdbqkLFGiG
65536,27968,1,4,11015,0,2,0,216.087890625,216.017578125,0,11821,105,85,6137,443,fresh,QmY4yFGyxH3hWTtBvxVpytx5zsH2vgKZaYXYR11Q4WVKzy
65536,27961,1,2,11269,0,1,0,216.087890625,216.017578125,0,11814,105,85,6137,443,merge-descriptors,QmQr4DVowWE8KyhtPsxQz7njFQkToBnXdjc5piQfJme1Rw
65536,27753,1,3,11446,0,1,0,216.087890625,216.017578125,0,11606,105,85,6137,443,wrappy,QmcsrsD9PxYZLJHzJ7SVBoPumUvZgxmvfsramyVszUd7v2
131072,47369,1,2,21232,1,1,1,454.671875,454.6015625,0,17216,7350,85,11914,1280,once,QmXi8mVLoc2eRHjXLkfopGxz9wxP7K5tWsnRugXiU6YwvU
65536,27944,1,3,11609,0,1,0,216.087890625,216.017578125,0,11797,105,85,6137,443,forwarded,QmUHu7XLqCVEKxSL3hfkzFHD6Cgk6yCaZyRFHXxV44nxq6
65536,27944,1,3,10904,0,1,0,216.087890625,216.017578125,0,11797,105,85,6137,443,ipaddr.js,QmdzoQ2jjGPunkzxpvdaZQRpyyzrmwzLgzNMei6y2m4y5B
