cycle,depth,pure_proving_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration
65536,5,11828,0,1,216.087890625,216.017578125,0
131072,4,21117,1,4,454.671875,454.6015625,0
65536,3,11278,0,1,216.087890625,216.017578125,0
131072,2,21336,2,1,909.33984375,909.26953125,0
65536,4,11214,0,2,216.087890625,216.017578125,0
65536,4,11052,0,3,216.087890625,216.017578125,0
65536,4,11308,0,3,216.087890625,216.017578125,0
65536,5,11177,0,2,216.087890625,216.017578125,0
131072,4,21755,1,5,454.671875,454.6015625,0
65536,5,10903,0,4,216.087890625,216.017578125,0
65536,5,11335,0,2,216.087890625,216.017578125,0
65536,5,11340,0,2,216.087890625,216.017578125,0
65536,5,11231,0,5,216.087890625,216.017578125,0
65536,5,11173,0,5,216.087890625,216.017578125,0
65536,5,10911,0,2,216.087890625,216.017578125,0
262144,4,40785,6,4,1546.529296875,1546.458984375,0
262144,4,41174,6,4,1546.529296875,1546.458984375,0
65536,5,11411,0,1,216.087890625,216.017578125,0
131072,4,22061,1,2,454.671875,454.6015625,0
65536,5,10879,0,1,216.087890625,216.017578125,0
131072,4,21841,1,4,454.671875,454.6015625,0
65536,12,11356,0,8,216.087890625,216.017578125,0
65536,7,11492,0,4,216.087890625,216.017578125,0
131072,5,21349,2,1,670.755859375,670.685546875,0
65536,12,11282,0,3,216.087890625,216.017578125,0
131072,11,21821,2,3,670.755859375,670.685546875,0
65536,9,10885,0,1,216.087890625,216.017578125,0
131072,10,21410,1,2,454.671875,454.6015625,0
65536,11,10777,0,2,216.087890625,216.017578125,0
131072,10,22002,3,1,1341.5078125,1341.4375,0
131072,9,22297,2,1,2034.759765625,2034.689453125,0
65536,9,11716,0,1,216.087890625,216.017578125,0
131072,9,21985,1,1,454.671875,454.6015625,0
65536,9,11466,0,1,216.087890625,216.017578125,0
262144,8,43866,10,3,5161.373046875,5161.302734375,0
131072,7,23863,2,2,6070.708984375,6070.638671875,0
262144,6,45541,4,2,11914.267578125,11914.197265625,0
262144,5,49694,5,1,23828.53125,23828.4609375,0
262144,4,51836,5,1,37095.736328125,37095.666015625,0
131072,3,33307,1,2,37334.3203125,37334.25,0
65536,4,11360,0,1,216.087890625,216.017578125,0
262144,3,43108,5,1,4229.912109375,4229.841796875,0
65536,4,11170,0,1,216.087890625,216.017578125,0
262144,3,41981,4,2,1352.9453125,1352.875,0
262144,2,54560,11,1,48272.498046875,48272.427734375,0
65536,2,11332,0,1,216.087890625,216.017578125,0
65536,2,10493,0,1,216.087890625,216.017578125,0
65536,2,11367,0,1,216.087890625,216.017578125,0
65536,4,10952,0,4,216.087890625,216.017578125,0
65536,4,11066,0,4,216.087890625,216.017578125,0
65536,4,10898,0,2,216.087890625,216.017578125,0
65536,3,10989,0,4,216.087890625,216.017578125,0
262144,2,42299,7,1,2239.78125,2239.7109375,0
65536,4,11274,0,2,216.087890625,216.017578125,0
65536,2,11045,0,1,216.087890625,216.017578125,0
65536,3,11293,0,1,216.087890625,216.017578125,0
131072,2,21345,1,1,454.671875,454.6015625,0
65536,3,10692,0,1,216.087890625,216.017578125,0
65536,3,11440,0,1,216.087890625,216.017578125,0
131072,2,21432,2,1,670.755859375,670.685546875,0
65536,4,11184,0,2,216.087890625,216.017578125,0
65536,3,10926,0,1,216.087890625,216.017578125,0
65536,3,11080,0,1,216.087890625,216.017578125,0
262144,2,41429,5,1,1569.029296875,1568.958984375,0
524288,3,81998,13,2,6447.689453125,6447.619140625,0
262144,2,43954,4,1,7345.962890625,7345.892578125,0
65536,2,11165,0,1,216.087890625,216.017578125,0
1048576,1,190046,31,1,114786.25390625,114786.18359375,0
131072,0,54987,1,0,115024.837890625,115024.767578125,0
