total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66531,1,1,22221,2,1,3,909.33984375,909.26953125,0,22610,14567,85,17627,2109,cryptography,QmTgLWjC6CSsMW9aZuF1h6g1EQVcRAG8t7MKMXAJch5nPB
131072,47582,1,2,21589,1,1,1,454.671875,454.6015625,0,17442,7337,85,11914,1280,asgiref,QmTaDAgBmGAYE6YgDSKbJ71dqK1zAADnvaHbFxxotTKAvt
131072,47372,1,3,21293,1,3,1,454.671875,454.6015625,0,17219,7350,85,11914,1280,click,QmTY1uvL4LsUj72HfGaSrt1Pb7DAzRuxczzTaQiCadEB7F
262144,156794,1,1,42784,8,1,10,2933.033203125,2932.962890625,0,56393,57947,85,29053,3767,flask,QmXNJSrQftbC4KKvruYna7cKrYvV5zy96XYof4nRaZ818W
65536,27590,1,5,11320,0,3,0,216.087890625,216.017578125,0,11443,105,85,6137,443,idna,Qmbu17XpWs4BE7kSfAdzcrUNA13FFVMkdvBwZUzUupf9CT
131072,79705,1,3,22479,3,3,3,1125.423828125,1125.353515625,0,28554,21797,85,17627,2109,anyio,QmZ3Rin3CjyRVmAsPLv7zhw35zHs9PmL7wohYzZZ1s5TsK
65536,27991,1,5,11456,0,3,0,216.087890625,216.017578125,0,11844,105,85,6137,443,certifi,QmTXnzfLxjk8xguUy8zudgrTvMs5eSxWRjFPg5av99Qhpb
131072,66704,1,3,21862,2,1,2,670.755859375,670.685546875,0,22783,14567,85,17627,2109,httpcore,QmPQJJm5c9r2aZ5rQ4o3t1giBh73DCEfAmUkcaZqthPxNh
262144,99043,1,2,41487,4,1,7,2478.365234375,2478.294921875,0,34120,29027,85,23340,2938,httpx,QmbUChMY8gaH6RXN6HgLx1E9FWUjmMudBZmFdjnADi9Ha1
131072,66918,1,1,22469,2,1,10,3171.6171875,3171.546875,0,22997,14567,85,17627,2109,gha-update,Qmdz8QmAmCyD5bR8JML5gY6yhqUReYXJVZ8mE2fcRzTNms
65536,27769,1,2,11575,0,1,0,216.087890625,216.017578125,0,11622,105,85,6137,443,librt,QmTD49uVNBicgeQJyhVqsUtHv5GKSTxoo4dtJ2AcyHxVaJ
65536,27767,1,2,11519,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,pathspec,QmdLSBJUMdUrRyN4abyzeEWbtiGcpgYrFJyz4HkZTWRF1N
