total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27779,1,1,11901,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,alabaster,QmWcU5JBFS7LnWM9mzF5ai4fnaiDyXxEsoxriiUowuv4mZ
131072,47357,1,1,22538,1,1,1,454.671875,454.6015625,0,17217,7337,85,11914,1280,attrdict,QmNho1phFZaSEjYYxvUfdJucFGdbPKdGVw5J7Chboj6x9B
65536,27991,1,1,11160,0,1,0,216.087890625,216.017578125,0,11844,105,85,6137,443,audioop-lts,QmTx1wP88d3wv9r1NDonnaF7f24SBCh67o9pFoy3oxX9Mp
65536,27818,1,1,11117,0,1,0,216.087890625,216.017578125,0,11671,105,85,6137,443,backports-datetime-fromisoformat,QmaoinXTCnrDm1SXWAaq68tebmeKzGr35wzJZQAcpfnFmp
65536,27769,1,6,11716,0,10,0,216.087890625,216.017578125,0,11622,105,85,6137,443,click,Qma5nMrGcJL5scA1ZcgsDPw4gXdbCbj4qoL83fbhzXKmjZ
262144,111865,1,1,42067,5,1,5,1330.4453125,1330.375,0,39696,36257,85,23340,2938,black,QmZeE3ECEDL7JTK3RxRD9vdvF5ToHs6PACHqrygBcPbytC
65536,27767,1,1,11285,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,cdifflib,QmVC1CrDkNu9ATh5vpqSkHDwASQFyoUptWXuFvqAqYqSqd
65536,27779,1,1,11596,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,contourpy,QmbHLBdAAZN7JwnvhtnimzvpZpiHw5MJgiZiSqpmUK5o1U
65536,27779,1,1,11316,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,contourpy,QmWRKzzBXoF5deBAQXKX4wYgAPUDL7SyuYC9hfJArNgyyy
65536,27586,1,1,11322,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,coverage,QmPudxYqfgq8iEsQbDyApXvPjaWaLxkC82h7pdF4d8Gdqh
131072,47408,1,1,21768,1,1,1,454.671875,454.6015625,0,17255,7350,85,11914,1280,cuda-python,QmNsB14sNyb22CghWyYQACLKkmccLHGJ6NFQugcrmgmBHZ
65536,27989,1,2,11085,0,2,0,216.087890625,216.017578125,0,11842,105,85,6137,443,cuda-bindings,QmSq3aQZksGWNhqvCestvKVFhB6z9MahPvR4Z2tydShUCa
65536,27999,1,3,11349,0,3,0,216.087890625,216.017578125,0,11852,105,85,6137,443,cuda-pathfinder,Qmc4rQTY2T99Zd58V5hvYatQhrUwi3AsNwmuXv8x88tqKG
131072,66938,1,1,21332,2,1,2,670.755859375,670.685546875,0,23017,14567,85,17627,2109,cuda-python,QmUbHsXHH2RWjdQnB6NYu47Jswdqr6FuAUmLUe4Scuhnwi
65536,27586,1,1,11184,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,docutils,QmYkbRCubRG84izGASWGP8iHida45dwLyjqWXMHdhtRH4T
65536,27586,1,1,11616,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,docutils,QmeRte8QDSfLXc8pzMk4a4nHrLYQDfnKFDtQiE3bKmD8v8
65536,27809,1,1,11183,0,1,0,216.087890625,216.017578125,0,11662,105,85,6137,443,editdistance,QmZfmCHD3e3EAedEaY5b5Em7kAWiPSKTnsf84ybmLwgJYv
