total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27779,1,3,11486,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,dnspython,QmQEiqYa1UUMQoDRiS3GsvAHHZ1c3bdzKvf6fJC1qthno1
65536,27972,1,3,11302,0,1,0,216.087890625,216.017578125,0,11825,105,85,6137,443,ifaddr,QmZgxu6tUmoHHE9GSaPavcaFivwAZDzQyH48NhaNAr8P4p
131072,66919,1,2,22792,2,1,2,670.755859375,670.685546875,0,22998,14567,85,17627,2109,aioice,QmaAzjtZ1cqQAhPqbn8VQaoupyTxrkvHGmag2yuLjtiBfi
65536,27973,1,2,11690,0,1,0,216.087890625,216.017578125,0,11826,105,85,6137,443,av,QmaVWc7vcNT1jdkUuM1rr962SmMbpCp9wqQHbNFEzh4Lnw
65536,27949,1,8,11369,0,1,0,216.087890625,216.017578125,0,11802,105,85,6137,443,pycparser,QmZGVUd9DXNFbLxPpveQcyHzSWsXA86KzqsMCv8Wo6e5Hr
131072,47382,1,7,22331,1,3,1,454.671875,454.6015625,0,17242,7337,85,11914,1280,cffi,QmekfzHr1h8e58XUXnzMhzBQ6c7yoHBRKAeM1yrGCtJBQV
65536,27997,1,8,11304,0,47,0,216.087890625,216.017578125,0,11850,105,85,6137,443,typing-extensions,QmSc7LULC4Tuwu14s1R1LzT1vyUJi5UEbMBqKifrqHh73R
131072,66531,1,6,23451,2,11,3,909.33984375,909.26953125,0,22610,14567,85,17627,2109,cryptography,Qmd7ASgs3xAf5md1YZiqR3rXz4Hwc413FDEr3Yf97FTu7H
65536,27786,1,4,11345,0,3,0,216.087890625,216.017578125,0,11639,105,85,6137,443,google-crc32c,QmZW9SiGQCpRtwHdo4WnUrJBFJHJTTWhrtkYEtaG9ZTgDA
131072,47167,1,2,22789,1,1,1,454.671875,454.6015625,0,17027,7337,85,11914,1280,pyee,QmSHza6V6aSRBgN1pxG89smsQmK3PBVtEcVoteUF619YY2
131072,47382,1,2,22318,1,1,2,693.255859375,693.185546875,0,17229,7350,85,11914,1280,pylibsrtp,QmcMhsCCb3F4LkApNcQkURkZq7KfVuc3BfgWMe1Momsh2y
131072,66918,1,2,22492,2,1,4,1364.0078125,1363.9375,0,22997,14567,85,17627,2109,pyopenssl,QmZeQqbVvz2bs7JnfJCFXRvdTwAGGSsfeudbMm2GDFoVxX
262144,137457,1,1,45049,7,1,12,4774.205078125,4774.134765625,0,50828,50717,85,23340,2938,aiortc,QmQDT5i3MHYcVh6SDZ29eSMgGrzTzR8NFDM5dj59agnkMo
131072,47579,1,5,23401,1,3,1,454.671875,454.6015625,0,17439,7337,85,11914,1280,exceptiongroup,Qmbk2kNsC1DLWBsE7fRBHaqgEWUx5zZ5gSBmMu5gHNgrKw
65536,27590,1,6,11607,0,4,0,216.087890625,216.017578125,0,11443,105,85,6137,443,idna,QmPMntT2yw5PbhfyPEDmTn2uCwbdNFc891LSotAweWVu6s
131072,79705,1,4,23119,3,8,3,1125.423828125,1125.353515625,0,28554,21797,85,17627,2109,anyio,QmYeP4fh72nEtJgW4HouyJR4xAKKU8Bzs7UUpLqAMiaft7
65536,27972,1,3,11447,0,3,0,216.087890625,216.017578125,0,11825,105,85,6137,443,distro,QmbwnEcScFa4vbSaXoeVHncmVVRGgDsMnBDUjbfJwxitDL
65536,27602,1,2,11611,0,2,0,216.087890625,216.017578125,0,11455,105,85,6137,443,docstring-parser,QmdzavTfs3fn8Tpoj6q2rWyFwjwEGFchGpNq8Le2WjCyKo
65536,27991,1,6,11702,0,5,0,216.087890625,216.017578125,0,11844,105,85,6137,443,certifi,QmQNNvJfyjxQMtEgi7EQJRADEfE7hJg9kfsgi6dBjuk1jq
65536,27769,1,5,11339,0,1,0,216.087890625,216.017578125,0,11622,105,85,6137,443,hpack,QmY3qFGd1e1ooZKyX4P2bxT7fWMgcdSeqwqTYFE8AUoBk7
65536,27981,1,5,11376,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,hyperframe,QmdtbAvuiXuC2aFeFvJtvinG3Demo2qhHnk63sjdxPQYK3
131072,66900,1,4,21832,2,1,2,670.755859375,670.685546875,0,22979,14567,85,17627,2109,h2,QmYKdSTnSxM1LfLgKSRdSsHPPw3E2uFvSF8LZMVajuodvP
65536,27983,1,5,11897,0,2,0,216.087890625,216.017578125,0,11836,105,85,6137,443,h11,QmTq7dCrxgdXUTAwy6Piu2yyY3UaGURJWPp51SWfx5rehn
131072,66704,1,4,22805,2,1,2,670.755859375,670.685546875,0,22783,14567,85,17627,2109,httpcore,QmQwiiiTWef6KLi6WPNab9rG6K91BjGpzawztXDoYvg3Es
262144,111855,1,3,43664,5,9,10,3149.1171875,3149.046875,0,39686,36257,85,23340,2938,httpx,QmZ1eWDkMVtSvNxB5QrKUD3t67dWo641RyG6vR9Z4dd91n
65536,27972,1,3,11609,0,2,0,216.087890625,216.017578125,0,11825,105,85,6137,443,jiter,QmNsUG2ZCWkybvR5HAVwUQUsDeyD237hLMDC3kS2m4TxWY
65536,27999,1,5,11572,0,1,0,216.087890625,216.017578125,0,11852,105,85,6137,443,annotated-types,QmRCP6PTsnag1RmZ6uTjdgPV9qebgmDeFCYo1LTD1maniE
131072,47579,1,5,22175,1,1,1,454.671875,454.6015625,0,17439,7337,85,11914,1280,pydantic-core,QmQRLrkPSs39rTpNMi3Pa1waRJYBXRT2h8QaYoxmBG99Ak
