total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27461,1,3,187,0,2,0.2587890625,0.1884765625,0,11314,105,85,6137,443,dnspython,QmUhyRhE1sfsvjhmcSErDSekUSMXAEpSuhzQtRmoB3UGY8
65536,27654,1,3,212,0,1,0.2587890625,0.1884765625,0,11507,105,85,6137,443,ifaddr,QmNhAvzBri4YGmr2kCh9v2LEXRJai8eNEBXwJa7WiJVfg6
131072,66601,1,2,185,2,1,0.2587890625,0.1884765625,0,22680,14567,85,17627,2109,aioice,Qmcr6ir9JazttzdX4s9JgayASckNphnojeDpWDcTZsRrJr
65536,27655,1,2,171,0,1,0.2587890625,0.1884765625,0,11508,105,85,6137,443,av,QmaLjhe32xkr7DSapCCbFDzWR5Kkx1J52HRJPdi91hDTiT
65536,27631,1,8,173,0,1,0.2587890625,0.1884765625,0,11484,105,85,6137,443,pycparser,QmVYLTxxeMKcGD6BirnG214wJkGwEUWddkDZ82Sf9dJv5i
131072,47064,1,7,184,1,3,0.2587890625,0.1884765625,0,16924,7337,85,11914,1280,cffi,QmaAqKEYQ2c7iAQcFM7k2UrnvoADL17MUdNyNgRZieGg2H
65536,27679,1,8,215,0,47,0.2587890625,0.1884765625,0,11532,105,85,6137,443,typing-extensions,QmcLenm7iZjHBqxcUhg24HAprdibpsmVQJTDhQQmC4VAby
131072,66213,1,6,197,2,11,0.2587890625,0.1884765625,0,22292,14567,85,17627,2109,cryptography,Qme2Lz43cpzuZfi4UTkHedfmYTHAaeaK8ph2YPYDyaDHwH
65536,27468,1,4,211,0,3,0.2587890625,0.1884765625,0,11321,105,85,6137,443,google-crc32c,QmY6K2ztNBemRArSRg8Hd69wjQUByfa5Vd4kR6RQdKUn34
131072,46849,1,2,184,1,1,0.2587890625,0.1884765625,0,16709,7337,85,11914,1280,pyee,QmUNLavP6ZtvDvBYcb3GvHjuDDGHrum8xUdTTggscfX64G
131072,47064,1,2,194,1,1,0.2587890625,0.1884765625,0,16911,7350,85,11914,1280,pylibsrtp,QmVyjK6Pqtnjtw9z3VjheoS1TBQ83zrSSpqkcUc5zZCBao
131072,66600,1,2,201,2,1,0.2587890625,0.1884765625,0,22679,14567,85,17627,2109,pyopenssl,QmYUg5mEeJ3NzCHY9cLQrzyMJwR8nAwvVyxvRbF5v6DQUU
262144,137139,1,1,278,7,1,0.2587890625,0.1884765625,0,50510,50717,85,23340,2938,aiortc,QmZ3BH4DBg3CXAfy83sXwjQ2PLHzxF3uDbSq7yNKyXCArf
131072,47261,1,5,186,1,3,0.2587890625,0.1884765625,0,17121,7337,85,11914,1280,exceptiongroup,QmdSpJcK143GP8pmH9LCtStHZWrURKc9fuaE4xh5GTBAr2
65536,27272,1,6,169,0,4,0.2587890625,0.1884765625,0,11125,105,85,6137,443,idna,Qmf7hqQQPQuh8v7CBxbSqLQ2HKishrVVprx9e8KUhktdGH
131072,79387,1,4,246,3,8,0.2587890625,0.1884765625,0,28236,21797,85,17627,2109,anyio,QmedkJkErpTQ3nPsaM1PcfHtd4HFRJom9xVvgKjffyngk9
65536,27654,1,3,173,0,3,0.2587890625,0.1884765625,0,11507,105,85,6137,443,distro,QmRNdz7K21nMCraPPcmbHhLD2ppRaMNdsgeX57nPBwFYXf
65536,27284,1,2,173,0,2,0.2587890625,0.1884765625,0,11137,105,85,6137,443,docstring-parser,QmR7MowFsASEhFt66iHn6GLnKQq8M3RDDJgJKCcK6DCRHV
65536,27673,1,6,172,0,5,0.2587890625,0.1884765625,0,11526,105,85,6137,443,certifi,Qmdu9NRd9bECxCLaQ6MCwcpRb5uTL6KoUnoF1up938aXDm
65536,27451,1,5,170,0,1,0.2587890625,0.1884765625,0,11304,105,85,6137,443,hpack,QmchxGxByHXtdch38bN1X6XN32RvfUnpJtUzBdemrqQaHs
65536,27663,1,5,172,0,1,0.2587890625,0.1884765625,0,11516,105,85,6137,443,hyperframe,QmVG6rwMe8ozuVTWk4RMohTRYruvoYxUcSRzWdGLcEhk58
131072,66582,1,4,244,2,1,0.2587890625,0.1884765625,0,22661,14567,85,17627,2109,h2,QmVCJvTmNst3stLH4dxasyigQbE64JvcUZsEuKzq9MqbrN
65536,27665,1,5,174,0,2,0.2587890625,0.1884765625,0,11518,105,85,6137,443,h11,QmQaGu8WVwHnuCwG3A6dfgU4Hp6xM8CmHGsdWPzm9NdMjV
131072,66386,1,4,194,2,1,0.2587890625,0.1884765625,0,22465,14567,85,17627,2109,httpcore,Qmdp5TUREWN7eaJDWorJL7CSPeu6BDqKPyyNcnVXHLA8dt
262144,111537,1,3,220,5,9,0.2587890625,0.1884765625,0,39368,36257,85,23340,2938,httpx,QmUT6ZdVCHaA9FvPD4nmiumLnPmhZHudQqhF6Y7ktVuSvn
65536,27654,1,3,171,0,2,0.2587890625,0.1884765625,0,11507,105,85,6137,443,jiter,QmfD1MDgNMcYkB7sPEpkoCUBsu5r48powSrXpoNwo6hi2Y
65536,27681,1,5,179,0,1,0.2587890625,0.1884765625,0,11534,105,85,6137,443,annotated-types,QmPXMfCt6Hm3xooaCQy7LEFpYuWgH6K7CCNgwChaRtxggG
131072,47261,1,5,189,1,1,0.2587890625,0.1884765625,0,17121,7337,85,11914,1280,pydantic-core,QmbEncErArEAoFvvA7muZHBtgBw86qPNZeCHsuFNzA5Wyw
131072,47080,1,5,223,1,4,0.2587890625,0.1884765625,0,16927,7350,85,11914,1280,typing-inspection,QmeHtUNVCaQxsEaJ6yZW9MpUrRG2dApwWVR5rsC5FeQ7Fy
262144,98593,1,4,211,4,14,0.2587890625,0.1884765625,0,33618,29079,85,23340,2938,pydantic,QmRLZZtFrp13cGFcBFKXgXv5nKf2pAV9UhknDC5QuiAFj6
65536,27664,1,3,170,0,2,0.2587890625,0.1884765625,0,11517,105,85,6137,443,sniffio,Qmd4QYix3XRp4dEaYLHurdbAVtwBWFmgKYo3qoUzTJ8oiq
262144,156476,1,1,288,8,1,0.2587890625,0.1884765625,0,56075,57947,85,29053,3767,anthropic,Qmb4h6UjtW9dEhrCgSq2sQ4okxJpJ5iv4NJK6f2ZHrYxsR
65536,27461,1,2,170,0,1,0.2587890625,0.1884765625,0,11314,105,85,6137,443,diskcache,QmcRRyyS8S2zbH3Ai1BNuATA7AmDDNYPQsaVHN8EDUTsyD
65536,27450,1,3,211,0,3,0.2587890625,0.1884765625,0,11303,105,85,6137,443,pywin32,QmaViiGw9wBRYvWJ1EdqYa7QdXTM1M2hZmLopa3iaexEc7
65536,27679,1,6,168,0,1,0.2587890625,0.1884765625,0,11532,105,85,6137,443,charset-normalizer,QmTAFnc4bD4g4ZhoZQLDggMDV1u6yBzyy5hUwBVnQAm6LN
65536,27664,1,6,169,0,6,0.2587890625,0.1884765625,0,11517,105,85,6137,443,urllib3,QmWeeYXrUpSomdi6cju1FU8qHk4ogGXMbYHVppM5qxCvGN
262144,98339,1,5,213,4,17,0.2587890625,0.1884765625,0,33416,29027,85,23340,2938,requests,QmeBHs93sS6YT3QuZozdFUZadpFMYVHkGuP3rWB3ZLgggV
131072,79387,1,2,200,3,1,0.2587890625,0.1884765625,0,28236,21797,85,17627,2109,docker,QmVg3JxtDVoNbrjxCLFb7xehSj6Jc6cTh2VRw82ZdbHAnV
65536,27654,1,4,214,0,19,0.2587890625,0.1884765625,0,11507,105,85,6137,443,numpy,QmYHoeQDwhLbew9xBPXg7U1TcbkkUJ7WteBbVWjSYy2o1q
131072,47054,1,2,182,1,1,0.2587890625,0.1884765625,0,16901,7350,85,11914,1280,flaml,QmTuvGv79vmXpYuzgqDtd59o2TcNNrEWLCctbCQcbpL5dX
65536,27449,1,6,173,0,8,0.2587890625,0.1884765625,0,11302,105,85,6137,443,colorama,Qmdi3ENd2nzMvchJBLfVcRAAv6Pvnv7XFRAgaxxYXLfn5H
131072,46849,1,5,182,1,6,0.2587890625,0.1884765625,0,16709,7337,85,11914,1280,tqdm,QmX1JKP6FBVsaL1BiifpcDPKPkhG4Uzm5zmdqk4183Ee3z
262144,156477,1,2,244,8,1,0.2587890625,0.1884765625,0,56076,57947,85,29053,3767,openai,Qmdfd9A3ETeNwhLZnwSoEYEKT54L5ebyG961yGHusavYyv
65536,27450,1,5,171,0,15,0.2587890625,0.1884765625,0,11303,105,85,6137,443,packaging,QmaKbMHNZF1Svp6WrDhMSi2V4cPVK97ZFydn95ECQSUwqh
65536,27468,1,3,172,0,5,0.2587890625,0.1884765625,0,11321,105,85,6137,443,python-dotenv,QmUtmcreHY4TKqfejqiuhB55fXTAcbVKeGcR26Ew1AbHfe
65536,27461,1,2,169,0,1,0.2587890625,0.1884765625,0,11314,105,85,6137,443,termcolor,QmTybCM4n5uHuF9b7DNQ7grtTDxm3PEUAxBC9wAbVhYFXZ
65536,27461,1,3,167,0,2,0.2587890625,0.1884765625,0,11314,105,85,6137,443,regex,QmexYx4BgcmLFiA45yNqvwV6xFqvjzyiMXtdoZL7PRWw4E
131072,66205,1,2,192,2,1,0.2587890625,0.1884765625,0,22284,14567,85,17627,2109,tiktoken,QmSDgVscAHxgzbAKtg1YZjsmEfHcRYGJZzKwykhuKyc62A
262144,182084,1,1,260,10,1,0.2587890625,0.1884765625,0,67223,72407,85,29053,3767,autogen-agentchat,QmUspxnhGDhSah5LziPtA78bjivGYL9bZ1ZxhGUG61Rn7u
131072,66610,1,3,252,2,9,0.2587890625,0.1884765625,0,22689,14567,85,17627,2109,azure-core,QmemGabLEL6Rq43PnW9D8EdemP1XiPP1dWwys1rAPDt8v4
