cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,4,11028,0,216.087890625,216.017578125,0
131072,11,20822,2,670.755859375,670.685546875,0
131072,10,21865,3,1341.5078125,1341.4375,0
131072,9,21519,2,2034.759765625,2034.689453125,0
262144,8,42336,10,5161.373046875,5161.302734375,0
131072,7,23027,2,6070.708984375,6070.638671875,0
262144,6,43830,4,11914.267578125,11914.197265625,0
262144,4,49542,5,37095.736328125,37095.666015625,0
131072,3,32117,1,37334.3203125,37334.25,0
262144,3,40956,4,1352.9453125,1352.875,0
262144,2,53484,10,44747.279296875,44747.208984375,0
524288,1,111399,29,105072.05859375,105071.98828125,0
131072,0,52050,1,105310.642578125,105310.572265625,0
