cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,5,10379,0,216.087890625,216.017578125,0
262144,4,41830,6,1546.529296875,1546.458984375,0
262144,4,41571,6,1546.529296875,1546.458984375,0
131072,4,20577,1,454.671875,454.6015625,0
262144,3,41712,5,4229.912109375,4229.841796875,0
262144,2,50352,12,30935.78125,30935.7109375,0
262144,2,41366,7,2239.78125,2239.7109375,0
524288,3,80772,13,6447.689453125,6447.619140625,0
1048576,1,178697,32,78122.189453125,78122.119140625,0
131072,0,46542,1,78360.7734375,78360.703125,0
