cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,5,10512,0,216.087890625,216.017578125,0
131072,4,21840,1,454.671875,454.6015625,0
65536,5,11052,0,216.087890625,216.017578125,0
131072,4,21606,1,454.671875,454.6015625,0
65536,3,10784,0,216.087890625,216.017578125,0
131072,2,21255,2,909.33984375,909.26953125,0
65536,4,10815,0,216.087890625,216.017578125,0
65536,4,11035,0,216.087890625,216.017578125,0
65536,4,11373,0,216.087890625,216.017578125,0
65536,5,10604,0,216.087890625,216.017578125,0
131072,4,21167,1,454.671875,454.6015625,0
65536,5,11276,0,216.087890625,216.017578125,0
65536,5,11366,0,216.087890625,216.017578125,0
65536,5,11394,0,216.087890625,216.017578125,0
65536,5,11405,0,216.087890625,216.017578125,0
65536,5,10927,0,216.087890625,216.017578125,0
65536,5,11222,0,216.087890625,216.017578125,0
262144,4,41830,6,1546.529296875,1546.458984375,0
262144,4,41081,6,1546.529296875,1546.458984375,0
65536,5,11322,0,216.087890625,216.017578125,0
131072,4,22282,1,454.671875,454.6015625,0
65536,5,10999,0,216.087890625,216.017578125,0
131072,4,21218,1,454.671875,454.6015625,0
65536,12,11202,0,216.087890625,216.017578125,0
65536,7,11489,0,216.087890625,216.017578125,0
131072,5,22380,2,670.755859375,670.685546875,0
65536,12,11261,0,216.087890625,216.017578125,0
131072,11,21496,2,670.755859375,670.685546875,0
65536,9,11105,0,216.087890625,216.017578125,0
131072,10,21700,1,454.671875,454.6015625,0
65536,11,10848,0,216.087890625,216.017578125,0
131072,10,20780,3,1341.5078125,1341.4375,0
131072,9,22026,2,2034.759765625,2034.689453125,0
65536,9,11142,0,216.087890625,216.017578125,0
131072,9,21427,1,454.671875,454.6015625,0
65536,9,10602,0,216.087890625,216.017578125,0
262144,8,42555,10,5161.373046875,5161.302734375,0
131072,7,22865,2,6070.708984375,6070.638671875,0
262144,6,45038,4,11914.267578125,11914.197265625,0
262144,5,47802,5,23828.53125,23828.4609375,0
262144,4,51902,5,37095.736328125,37095.666015625,0
131072,3,32395,1,37334.3203125,37334.25,0
65536,4,11187,0,216.087890625,216.017578125,0
262144,3,42108,5,4229.912109375,4229.841796875,0
65536,4,11252,0,216.087890625,216.017578125,0
262144,3,41444,4,1352.9453125,1352.875,0
262144,2,56401,11,48272.498046875,48272.427734375,0
65536,2,11485,0,216.087890625,216.017578125,0
65536,2,11276,0,216.087890625,216.017578125,0
65536,2,11117,0,216.087890625,216.017578125,0
65536,4,11158,0,216.087890625,216.017578125,0
65536,4,11158,0,216.087890625,216.017578125,0
65536,4,11216,0,216.087890625,216.017578125,0
65536,3,10847,0,216.087890625,216.017578125,0
262144,2,41547,7,2239.78125,2239.7109375,0
65536,4,11211,0,216.087890625,216.017578125,0
65536,2,11137,0,216.087890625,216.017578125,0
65536,3,11394,0,216.087890625,216.017578125,0
131072,2,20987,1,454.671875,454.6015625,0
65536,3,11030,0,216.087890625,216.017578125,0
65536,3,11580,0,216.087890625,216.017578125,0
131072,2,21764,2,670.755859375,670.685546875,0
65536,4,10975,0,216.087890625,216.017578125,0
65536,3,10900,0,216.087890625,216.017578125,0
65536,3,10879,0,216.087890625,216.017578125,0
262144,2,41657,5,1569.029296875,1568.958984375,0
524288,3,81988,13,6447.689453125,6447.619140625,0
262144,2,43771,4,7345.962890625,7345.892578125,0
65536,2,11018,0,216.087890625,216.017578125,0
1048576,1,191272,31,114786.25390625,114786.18359375,0
131072,0,55220,1,115024.837890625,115024.767578125,0
262144,4,39719,5,1330.4453125,1330.375,0
131072,4,21224,1,454.671875,454.6015625,0
262144,3,40684,4,2467.302734375,2467.232421875,0
262144,2,53015,10,44747.279296875,44747.208984375,0
262144,2,40949,6,2023.697265625,2023.626953125,0
262144,3,42017,11,4457.05859375,4456.98828125,0
524288,1,111231,29,107062.689453125,107062.619140625,0
131072,0,52441,1,107301.2734375,107301.203125,0
