cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,12,11475,0,216.087890625,216.017578125,0
131072,11,21109,2,670.755859375,670.685546875,0
131072,9,20984,1,454.671875,454.6015625,0
262144,8,42043,10,5161.373046875,5161.302734375,0
131072,7,22863,2,6070.708984375,6070.638671875,0
262144,6,43659,4,11914.267578125,11914.197265625,0
262144,4,50742,5,37095.736328125,37095.666015625,0
131072,3,31959,1,37334.3203125,37334.25,0
262144,2,53798,9,44303.673828125,44303.603515625,0
524288,1,109977,28,104184.84765625,104184.77734375,0
131072,0,51037,1,104423.431640625,104423.361328125,0
