cycle,depth,pure_proving_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration
131072,10,22055,3,1,1341.5078125,1341.4375,0
131072,9,21826,2,1,2034.759765625,2034.689453125,0
262144,8,42767,10,3,5161.373046875,5161.302734375,0
131072,7,23111,2,2,6070.708984375,6070.638671875,0
262144,6,43490,4,2,11914.267578125,11914.197265625,0
262144,4,50762,5,1,37095.736328125,37095.666015625,0
131072,3,33055,1,2,37334.3203125,37334.25,0
262144,2,55594,11,1,48272.498046875,48272.427734375,0
1048576,1,190740,31,1,114786.25390625,114786.18359375,0
131072,0,55295,1,0,115024.837890625,115024.767578125,0
