cycle,depth,pure_proving_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration
65536,12,11466,0,3,216.087890625,216.017578125,0
131072,11,21406,2,3,670.755859375,670.685546875,0
131072,9,21741,1,1,454.671875,454.6015625,0
262144,8,42715,10,3,5161.373046875,5161.302734375,0
131072,7,24286,2,2,6070.708984375,6070.638671875,0
262144,6,43736,4,2,11914.267578125,11914.197265625,0
262144,4,52565,5,1,37095.736328125,37095.666015625,0
131072,3,31908,1,2,37334.3203125,37334.25,0
262144,2,54792,11,1,48272.498046875,48272.427734375,0
1048576,1,189062,31,1,114786.25390625,114786.18359375,0
131072,0,56649,1,0,115024.837890625,115024.767578125,0
