cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,5,64,0,1,216.087890625,216.017578125,mime-db,QmU5SgkE8zipeBLisueLtnad28bLr8ndrW52hoerfhnG1m
131072,4,156,1,4,454.671875,454.6015625,mime-types,QmbUdi3HKkHXQ3NSxVhQt1uXj2aiLo8E3d3tgUgqR2RZbG
65536,3,77,0,1,216.087890625,216.017578125,negotiator,QmNiEjUVbc7AF6Mv3hGyZXsBmm3tWFcCjKoSNPGv4qzsd5
131072,2,311,2,1,909.33984375,909.26953125,accepts,QmYYqJDgbj8VRjFsMKuYbTYXjx2NPzaKFwiCh4wenf8eV6
65536,4,77,0,2,216.087890625,216.017578125,bytes,QmbTPC9QDK5Dp3zVMoWEAUtRBFfmLzh22c7ba4esAJTWQn
65536,4,88,0,3,216.087890625,216.017578125,content-type,QmbXv4R46rZFdjqagi47hMx9Mh33rcLj3yTVHGNMuqQnza
65536,4,76,0,3,216.087890625,216.017578125,content-type,QmYJvPXtnPRtywDeSf3d4LuvpQZBHAVh2mAfRscV7wwGaT
65536,5,76,0,2,216.087890625,216.017578125,ms,QmeYsEfXhCKSaBTxLrZ5buPrS1PeDktP6z3R2tLcD3ERJQ
131072,4,154,1,5,454.671875,454.6015625,debug,QmfBk952FNMfZNjpX3rf87NBi8joqNw6z6NGXUJwoasabm
65536,5,76,0,4,216.087890625,216.017578125,depd,QmNcdoPpNdcHqt31M4gwQqCXC6ivtgLfYWWsNSBvf4zk7j
65536,5,78,0,2,216.087890625,216.017578125,inherits,Qmdi7Fy5JcsofDBNEUjz5KpHtCXj4GPhxjDL11vcC3C2WS
65536,5,76,0,2,216.087890625,216.017578125,setprototypeof,QmQXCUginjVUzxbKXmar7jWMqtGk2ufom6no9V6tG4JPii
65536,5,76,0,5,216.087890625,216.017578125,statuses,QmWMkWVoqSeQ5Z9WZAWZ6Ud3mZrUTxrKgWmMjuw3GCAxa8
65536,5,78,0,5,216.087890625,216.017578125,statuses,QmfU87CxZ76t3gWpNV9ShpF5gp3jd9HyHWu1XdRnuchfch
65536,5,76,0,2,216.087890625,216.017578125,toidentifier,QmXbVNrdk9QWR9iWLQhfUhUHZeMqWJ8A5nqj3rUWADPsdj
