total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27779,1,78,0,1,0,216.087890625,216.017578125,alabaster,QmWcU5JBFS7LnWM9mzF5ai4fnaiDyXxEsoxriiUowuv4mZ
131072,47357,1,158,1,1,1,454.671875,454.6015625,attrdict,QmNho1phFZaSEjYYxvUfdJucFGdbPKdGVw5J7Chboj6x9B
65536,27991,1,77,0,1,0,216.087890625,216.017578125,audioop-lts,QmTx1wP88d3wv9r1NDonnaF7f24SBCh67o9pFoy3oxX9Mp
65536,27818,1,78,0,1,0,216.087890625,216.017578125,backports-datetime-fromisoformat,QmaoinXTCnrDm1SXWAaq68tebmeKzGr35wzJZQAcpfnFmp
65536,27769,6,77,0,10,0,216.087890625,216.017578125,click,Qma5nMrGcJL5scA1ZcgsDPw4gXdbCbj4qoL83fbhzXKmjZ
262144,111865,1,459,5,1,5,1330.4453125,1330.375,black,QmZeE3ECEDL7JTK3RxRD9vdvF5ToHs6PACHqrygBcPbytC
65536,27767,1,77,0,1,0,216.087890625,216.017578125,cdifflib,QmVC1CrDkNu9ATh5vpqSkHDwASQFyoUptWXuFvqAqYqSqd
65536,27779,1,77,0,1,0,216.087890625,216.017578125,contourpy,QmbHLBdAAZN7JwnvhtnimzvpZpiHw5MJgiZiSqpmUK5o1U
65536,27779,1,75,0,1,0,216.087890625,216.017578125,contourpy,QmWRKzzBXoF5deBAQXKX4wYgAPUDL7SyuYC9hfJArNgyyy
65536,27586,1,76,0,1,0,216.087890625,216.017578125,coverage,QmPudxYqfgq8iEsQbDyApXvPjaWaLxkC82h7pdF4d8Gdqh
131072,47408,1,154,1,1,1,454.671875,454.6015625,cuda-python,QmNsB14sNyb22CghWyYQACLKkmccLHGJ6NFQugcrmgmBHZ
65536,27989,2,76,0,2,0,216.087890625,216.017578125,cuda-bindings,QmSq3aQZksGWNhqvCestvKVFhB6z9MahPvR4Z2tydShUCa
65536,27999,3,76,0,3,0,216.087890625,216.017578125,cuda-pathfinder,Qmc4rQTY2T99Zd58V5hvYatQhrUwi3AsNwmuXv8x88tqKG
131072,66938,1,227,2,1,2,670.755859375,670.685546875,cuda-python,QmUbHsXHH2RWjdQnB6NYu47Jswdqr6FuAUmLUe4Scuhnwi
65536,27586,1,76,0,1,0,216.087890625,216.017578125,docutils,QmYkbRCubRG84izGASWGP8iHida45dwLyjqWXMHdhtRH4T
65536,27586,1,77,0,1,0,216.087890625,216.017578125,docutils,QmeRte8QDSfLXc8pzMk4a4nHrLYQDfnKFDtQiE3bKmD8v8
65536,27809,1,76,0,1,0,216.087890625,216.017578125,editdistance,QmZfmCHD3e3EAedEaY5b5Em7kAWiPSKTnsf84ybmLwgJYv
65536,27989,1,76,0,1,0,216.087890625,216.017578125,exceptiongroup,QmS3kUYr8QXaSRPQJZq5TtATC7Fo4tMx26tspNkjVMJVZ9
65536,27767,1,79,0,1,0,216.087890625,216.017578125,greenlet,QmRncpfnartZKUXEPQkowtex1bKJrAzys8NUu4VtcXs9rJ
65536,27586,1,78,0,1,0,216.087890625,216.017578125,gunicorn,QmXz6LvNca3W67pfAeXsLA293j27UuiHKUzAmz9mZtCgyq
65536,27972,1,77,0,1,0,216.087890625,216.017578125,hf-xet,QmWFkAWzh8agTJyXfyW62BUVsG8zocLbv561LsPaLqqgZM
65536,28006,3,78,0,2,0,216.087890625,216.017578125,antlr4-python3-runtime,QmSUuaWjN3pEtsCpyqxBK3XwAkFPTzVPRr6UegLv3gtqfZ
131072,66742,2,234,2,2,2,670.755859375,670.685546875,omegaconf,QmbiawQP4GTD3UgHYocbbK4pPjavbuEUabbcynqoVHQMwg
131072,79714,1,467,3,1,4,1341.5078125,1341.4375,hydra-core,QmcKD1rJ8UFXectrFoiCJnp5k4unyDtTK3ahk4dX24Qt9a
65536,27779,1,77,0,1,0,216.087890625,216.017578125,imagesize,QmPvjwWbrgFfQyXPL7djhybdN5VX7mQND1pX1pvA54ow14
65536,27999,2,76,0,2,0,216.087890625,216.017578125,more-itertools,QmQafbUaWjXbDvDAvd4xeFVfCbkWTfzWBjdyB3deWaL5ix
131072,47382,2,156,1,1,1,454.671875,454.6015625,typeguard,Qmeg8CPSpA37r68v6WccFy9qiWmuJXaSdvmHsyYM694pNA
131072,66919,1,308,2,1,3,909.33984375,909.26953125,inflect,QmQJxfQLuhSsdC6MitMrfyhSSXUG96mNPShU1UJAP3YBP2
65536,27992,1,75,0,1,0,216.087890625,216.017578125,ipython,QmXAqqwonYsmNyaMAjPyMgiWEJzAQk2ExkEgF2xwNoRRDN
65536,27992,1,75,0,1,0,216.087890625,216.017578125,ipython,QmdT23hFiZ2CF84oTHk42h45n7eUq5W7f1Fq7MY7jP52Ps
