cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,1,72,0,1,216.087890625,216.017578125,alabaster,QmWftLws8BcrEEpmmqaL6WWrKjqFjNQxyJZ9mdomjHj74X
131072,1,154,1,1,454.671875,454.6015625,attrdict,QmVoFSNA8MFaz9H9YrUUUzRxguXKES9FagqAphWJxeXQDK
65536,1,78,0,1,216.087890625,216.017578125,audioop-lts,QmX3SRJshp7kgQ3FCKVQYQNboBNvdgBui2qVcGSSoLK3qd
65536,1,77,0,1,216.087890625,216.017578125,backports-datetime-fromisoformat,QmTQLSUVERHKGm6BewhJdbfA8DcJk6vEwn2iY1sD96nu1o
65536,6,77,0,10,216.087890625,216.017578125,click,QmU7aVfJQ6nHdLjnFWTisopAFt3SXaGdjPiKfRVxykzMBz
262144,1,466,5,1,1330.4453125,1330.375,black,QmfUEvbijHKgQJzvyxqyrCKNeztTs9HrB8Ygk3h8NhKCYS
65536,1,76,0,1,216.087890625,216.017578125,cdifflib,QmTMCGingieyvCutuC8jzWi8RJbAyfrJbh3VTjFHpHssQ4
65536,1,76,0,1,216.087890625,216.017578125,contourpy,QmY1MGAboGZkabQ3WdpzNPA1E88bD2d2ny7VTgGgdwAYxF
65536,1,76,0,1,216.087890625,216.017578125,contourpy,QmYsjd263QE2pHHLwqsjHmZqLYVyYAyUenc6h61VwWb3MH
65536,1,76,0,1,216.087890625,216.017578125,coverage,QmZSdv61iRbwNJZj1jp2oueEtcTWUSAztt7sUJtzb98Mej
131072,1,155,1,1,454.671875,454.6015625,cuda-python,QmTVDWmkjn5HTRpDGufJTMB7HH9XuppSUtMV1VrMafZAtg
65536,2,76,0,2,216.087890625,216.017578125,cuda-bindings,QmekLkYy9Td9YEtKT6g9JsiFPMfjAyzLHwsFdnddx3vu1G
65536,3,77,0,3,216.087890625,216.017578125,cuda-pathfinder,QmbAmhCEZNHLDYdNmY9Cw9L358MLJP3zGvGiRUN76uDbYi
131072,1,228,2,1,670.755859375,670.685546875,cuda-python,QmbshPkjaj8xCFEog5SqxCiuw8w8wqGDdcoUULdhqASRBj
65536,1,75,0,1,216.087890625,216.017578125,docutils,QmUnz6Djku64pv6D5RXjmw879XRe9QKfLUmfh93RvzBYV7
65536,1,75,0,1,216.087890625,216.017578125,docutils,QmTD3iNniQHL9VfHUK5EzGZMzkGLVDCMjsrecRBmVgKFgV
65536,1,75,0,1,216.087890625,216.017578125,editdistance,QmaaSkS9RVnujrM8RatsQNkAbhXt1sfgfwnyTPwbSK3LbH
65536,1,76,0,1,216.087890625,216.017578125,exceptiongroup,Qmd8bJTxSJnzXR8BcmCsttX9e6TBJrH4DRBLRNuD4SBeSG
65536,1,75,0,1,216.087890625,216.017578125,greenlet,QmNycQWCRVPEYYF9NDepEG1EfmQoGBKfLdtUK8Gf4dXoEk
65536,1,75,0,1,216.087890625,216.017578125,gunicorn,QmcBCCsoma7rkVrLP74oKwXasK71drSHNHW9rE7DxZr1VK
65536,1,75,0,1,216.087890625,216.017578125,hf-xet,QmdrE74JrSNLjHFsdsTFMZm7TkjxLuEpj2XxsX6DiHexaQ
65536,3,75,0,2,216.087890625,216.017578125,antlr4-python3-runtime,QmYa65GDFxDUCugfkYBcZyxpCx8QCeQDbveTUZoDhNbWBF
131072,2,228,2,2,670.755859375,670.685546875,omegaconf,QmZQUYucZwaswioDxvrq9gRUymsSHptvgx3naSrnE3myro
131072,1,454,3,1,1341.5078125,1341.4375,hydra-core,QmPhhPJg4hhRFAkb9DwSHvfxyjSBA9V3aqT1JayNfC2mTe
65536,1,76,0,1,216.087890625,216.017578125,imagesize,QmP3gDUUJwSHWJiWUww1kL6TXWFqkbnGWFi8Pr8vR2GGTF
65536,2,75,0,2,216.087890625,216.017578125,more-itertools,QmNmmpxEekuWkyGcPGcMwXNMM1hSzfrYFjJbEpFwVekqq1
131072,2,153,1,1,454.671875,454.6015625,typeguard,Qmei3qSXHHJ5R3UFCPcDNphQWApunzkAcJyRvpmExXQ2uv
131072,1,304,2,1,909.33984375,909.26953125,inflect,QmTEmRWSt5E1mXbxcAGKsonCKntMbwqAvPB4rToarguHBw
65536,1,75,0,1,216.087890625,216.017578125,ipython,QmVbHJuMPEnkj6oYRXudcdS1oje8c7YzVdVmntGLoxSKco
65536,1,75,0,1,216.087890625,216.017578125,ipython,QmTae8hr4xJXymeDnuoJVq6jtsXMCLhZDXkYMo3xnQ5JwG
65536,1,76,0,1,216.087890625,216.017578125,ipython,QmeqvdKDpkFJLzFt5LexptgJd4GoxGdxo8b5hGQdH5a8Aw
65536,1,76,0,1,216.087890625,216.017578125,ipython-pygments-lexers,Qmd41RexxP9uN6Ry99ret6C6bGfbRmDdaCsk3dK2jq4R9Z
65536,1,75,0,1,216.087890625,216.017578125,isort,QmQfKQyfG4fkEsdAoZhbfFB7uDS3Jro6prBPBVuipbmmxP
65536,1,75,0,1,216.087890625,216.017578125,janome,QmbF63wqLoX44s8ipG64FrTqm5DzCv1TpomMNWUcL4ZNxH
65536,1,75,0,1,216.087890625,216.017578125,jieba,QmP9uWdpyb6HHuojSsUWqFmDBKfP9gPiGFWSVRDhiaAqYk
65536,2,76,0,1,216.087890625,216.017578125,rapidfuzz,Qmf76FsyjAgCUrh3wtjftfsMBNpYbJitqpRxBsVQ372vHo
131072,1,230,2,1,670.755859375,670.685546875,jiwer,QmTKG2KqBj5s7sruzTzhAKgGDnTJn37ZugHatfC7TRu129
65536,7,77,0,3,216.087890625,216.017578125,attrs,QmYrbAecaPydm6TUwXPpAFbpULiPh57TN41HQg8r9UhtHU
