total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27779,3,34,0,2,0,216.087890625,216.017578125,dnspython,QmQEiqYa1UUMQoDRiS3GsvAHHZ1c3bdzKvf6fJC1qthno1
65536,27972,3,33,0,1,0,216.087890625,216.017578125,ifaddr,QmZgxu6tUmoHHE9GSaPavcaFivwAZDzQyH48NhaNAr8P4p
131072,66919,2,232,2,1,2,670.755859375,670.685546875,aioice,QmaAzjtZ1cqQAhPqbn8VQaoupyTxrkvHGmag2yuLjtiBfi
65536,27973,2,78,0,1,0,216.087890625,216.017578125,av,QmaVWc7vcNT1jdkUuM1rr962SmMbpCp9wqQHbNFEzh4Lnw
65536,27949,8,76,0,1,0,216.087890625,216.017578125,pycparser,QmZGVUd9DXNFbLxPpveQcyHzSWsXA86KzqsMCv8Wo6e5Hr
131072,47382,7,156,1,3,1,454.671875,454.6015625,cffi,QmekfzHr1h8e58XUXnzMhzBQ6c7yoHBRKAeM1yrGCtJBQV
65536,27997,8,76,0,47,0,216.087890625,216.017578125,typing-extensions,QmSc7LULC4Tuwu14s1R1LzT1vyUJi5UEbMBqKifrqHh73R
131072,66531,6,310,2,11,3,909.33984375,909.26953125,cryptography,Qmd7ASgs3xAf5md1YZiqR3rXz4Hwc413FDEr3Yf97FTu7H
65536,27786,4,77,0,3,0,216.087890625,216.017578125,google-crc32c,QmZW9SiGQCpRtwHdo4WnUrJBFJHJTTWhrtkYEtaG9ZTgDA
131072,47167,2,158,1,1,1,454.671875,454.6015625,pyee,QmSHza6V6aSRBgN1pxG89smsQmK3PBVtEcVoteUF619YY2
131072,47382,2,235,1,1,2,693.255859375,693.185546875,pylibsrtp,QmcMhsCCb3F4LkApNcQkURkZq7KfVuc3BfgWMe1Momsh2y
131072,66918,2,487,2,1,4,1364.0078125,1363.9375,pyopenssl,QmZeQqbVvz2bs7JnfJCFXRvdTwAGGSsfeudbMm2GDFoVxX
262144,137457,1,1020,7,1,12,4774.205078125,4774.134765625,aiortc,QmQDT5i3MHYcVh6SDZ29eSMgGrzTzR8NFDM5dj59agnkMo
131072,47579,5,68,1,3,1,454.671875,454.6015625,exceptiongroup,Qmbk2kNsC1DLWBsE7fRBHaqgEWUx5zZ5gSBmMu5gHNgrKw
65536,27590,6,33,0,4,0,216.087890625,216.017578125,idna,QmPMntT2yw5PbhfyPEDmTn2uCwbdNFc891LSotAweWVu6s
131072,79705,4,166,3,8,3,1125.423828125,1125.353515625,anyio,QmYeP4fh72nEtJgW4HouyJR4xAKKU8Bzs7UUpLqAMiaft7
65536,27972,3,76,0,3,0,216.087890625,216.017578125,distro,QmbwnEcScFa4vbSaXoeVHncmVVRGgDsMnBDUjbfJwxitDL
65536,27602,2,76,0,2,0,216.087890625,216.017578125,docstring-parser,QmdzavTfs3fn8Tpoj6q2rWyFwjwEGFchGpNq8Le2WjCyKo
65536,27991,6,76,0,5,0,216.087890625,216.017578125,certifi,QmQNNvJfyjxQMtEgi7EQJRADEfE7hJg9kfsgi6dBjuk1jq
65536,27769,5,76,0,1,0,216.087890625,216.017578125,hpack,QmY3qFGd1e1ooZKyX4P2bxT7fWMgcdSeqwqTYFE8AUoBk7
65536,27981,5,76,0,1,0,216.087890625,216.017578125,hyperframe,QmdtbAvuiXuC2aFeFvJtvinG3Demo2qhHnk63sjdxPQYK3
131072,66900,4,230,2,1,2,670.755859375,670.685546875,h2,QmYKdSTnSxM1LfLgKSRdSsHPPw3E2uFvSF8LZMVajuodvP
65536,27983,5,76,0,2,0,216.087890625,216.017578125,h11,QmTq7dCrxgdXUTAwy6Piu2yyY3UaGURJWPp51SWfx5rehn
131072,66704,4,229,2,1,2,670.755859375,670.685546875,httpcore,QmQwiiiTWef6KLi6WPNab9rG6K91BjGpzawztXDoYvg3Es
262144,111855,3,809,5,9,10,3149.1171875,3149.046875,httpx,QmZ1eWDkMVtSvNxB5QrKUD3t67dWo641RyG6vR9Z4dd91n
65536,27972,3,33,0,2,0,216.087890625,216.017578125,jiter,QmNsUG2ZCWkybvR5HAVwUQUsDeyD237hLMDC3kS2m4TxWY
65536,27999,5,77,0,1,0,216.087890625,216.017578125,annotated-types,QmRCP6PTsnag1RmZ6uTjdgPV9qebgmDeFCYo1LTD1maniE
131072,47579,5,154,1,1,1,454.671875,454.6015625,pydantic-core,QmQRLrkPSs39rTpNMi3Pa1waRJYBXRT2h8QaYoxmBG99Ak
131072,47398,5,154,1,4,1,454.671875,454.6015625,typing-inspection,Qmcvh7WEvu6aJNEhfGMGX8HKEMsnCuFSJtgM9vkXNqRDhc
262144,98911,4,541,4,14,4,1591.529296875,1591.458984375,pydantic,QmQPcsL5jQY7BMUozwEadp4WsbjJsk2tSzEN7J4e8QHBv7
65536,27982,3,76,0,2,0,216.087890625,216.017578125,sniffio,QmQjkWhHWcz6fR4KBMSGeo36PS2XEFbp4TqunEtWAzgsPk
262144,156794,1,1419,8,1,19,7196.50390625,7196.43359375,anthropic,QmTVJNosFcBDpFCVSAFsLG33n6VgqVVyujBM7VLxW74V4d
65536,27779,2,76,0,1,0,216.087890625,216.017578125,diskcache,QmTsStr6v3sZ4Fhyz45hbTgMkFmkdBmvGkiH9Ksj5wzNEo
65536,27768,3,76,0,3,0,216.087890625,216.017578125,pywin32,QmY7WTaRVSSYFAoFE3dSE1D6RRTKqS4Sdv5wsqhu1d2Dbt
65536,27997,6,76,0,1,0,216.087890625,216.017578125,charset-normalizer,QmdQNQ1E3e1kjACe9mPP3PmVDxdetL75EzvjC5AiiXU42a
65536,27982,6,76,0,6,0,216.087890625,216.017578125,urllib3,QmU58HRvGh7rfoJ1JGowfU7qxJQSUHQyihg2ARk3b6p9yg
262144,98657,5,384,4,17,4,1114.361328125,1114.291015625,requests,QmQhg9aQAYAcND9PS59ecYAZMcHWPhjLTwrtcxBEgM9Vaf
131072,79705,2,609,3,1,6,1785.11328125,1785.04296875,docker,Qmd16yuvRjC9YqU3ZN1SuVATBzNfQjYyrwygGxGdboi6Ua
65536,27972,4,72,0,19,0,216.087890625,216.017578125,numpy,QmPBkMKMy5GtPa7ZG85dG5LXQ47FnJ5yQj96rmo3xUhxMi
131072,47372,2,151,1,1,1,454.671875,454.6015625,flaml,QmVrLkwp2h5dwn4TC4SN8fACn5HqGq2tHwdvWTpPDscjCq
65536,27767,6,76,0,8,0,216.087890625,216.017578125,colorama,QmUPqZjS1Setu3kvGVKCkMva6UxS6Fd4J5pHQXk7F7G5Pn
131072,47167,5,156,1,6,1,454.671875,454.6015625,tqdm,QmTsHydXw2Ufq2USZbfCkGJzZHRjjvTctHhyRYTUvurvhW
