cycle,depth,verify_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,1,54,0,1,216.087890625,216.017578125,@esbuild/aix-ppc64,QmQi8Zd2qB1iF81EmuUynwJQFpfMqg8yLnMewdscM7JHHB
65536,1,31,0,1,216.087890625,216.017578125,@esbuild/android-arm,QmXERPU8eAuyu7ck7MKacRUtJYffevickK7coTYbsGdBzc
65536,1,32,0,1,216.087890625,216.017578125,@esbuild/android-arm64,QmUkj58ARNiGQ81DgiVs5MAmq7L1JGYQtUHfVAjA8BLFEN
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/android-x64,QmfVm9tY1PWJwSswusbniNRhsZrBVD2vNVWbfCCghGRCMN
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/darwin-arm64,QmdhoLbMnzc1hSdoG3bgGm7n7NuHZpvXwBctiPdjwkg5Li
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/darwin-x64,QmUp2zeKUDpryfH1uQd37CmXScx3z3YEv53oESFrpoqN2F
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/freebsd-arm64,QmVom1E7CqVdhSh77PxW4WXFHyJj125w7vJDjE82FghTbE
65536,1,80,0,1,216.087890625,216.017578125,@esbuild/freebsd-x64,QmeMoVF2pR2kJ57W2mT3L821RdyTMATKG2EccRJqm9mM8g
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/linux-arm,QmZbNVuc7QLKvfP1RkdqiLYrsYixMjrdp3y55oQzErro2y
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/linux-arm64,QmebXgGB7pW6uUooFt9jrRLE3exDQ6mA4KvqMTL34vSrW7
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/linux-ia32,QmQ2kHr3mFCPzceuh61fJyNwBoRCvRyjjE97R9F7Vv5hXn
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/linux-loong64,QmQKcHguNw6coxVtaZWcGtG4Xvy47b1WwfX7MRziKMH1eY
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/linux-mips64el,QmUaT2JCpQ1NppLJCMdE9nRFZEqkLY6PH5bKfB1uZmWuKn
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/linux-ppc64,QmQEiamhCrnfjngx7czn26yGyAywe2bUfqLFWiSqCZDmbi
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/linux-riscv64,QmPixke4u6sMvYMoayauk1UYu3qjwtvv4PWnL7QWd4HKhs
65536,1,77,0,1,216.087890625,216.017578125,@esbuild/linux-s390x,QmbRysVgAELsBGg4jnFwgQAqhjvEtVv9YWJEdXjhqsDTSs
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/linux-x64,QmQDR4eroKGn5VbVQqi6TQipGuRRzG6DPCFMnAdvP3JbWx
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/netbsd-arm64,QmXYVTBW7aGrT22daYDciXuqppRjpAyt8YijH5EhxK33Qn
65536,1,75,0,1,216.087890625,216.017578125,@esbuild/netbsd-x64,QmQDQbrXqy4z7SWMS1RHoxLCXbVtUBki83ywQJxajBr7oC
65536,1,76,0,1,216.087890625,216.017578125,@esbuild/openbsd-arm64,QmTVZKL1zy9gQGwMw3uThY4Q9V9wLqEYnvNknTbRf2obTi
