total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
131072,66531,1,315,2,1,3,909.33984375,909.26953125,cryptography,QmTgLWjC6CSsMW9aZuF1h6g1EQVcRAG8t7MKMXAJch5nPB
131072,47582,2,157,1,1,1,454.671875,454.6015625,asgiref,QmTaDAgBmGAYE6YgDSKbJ71dqK1zAADnvaHbFxxotTKAvt
131072,47372,3,168,1,3,1,454.671875,454.6015625,click,QmTY1uvL4LsUj72HfGaSrt1Pb7DAzRuxczzTaQiCadEB7F
262144,156794,1,778,8,1,10,2933.033203125,2932.962890625,flask,QmXNJSrQftbC4KKvruYna7cKrYvV5zy96XYof4nRaZ818W
65536,27590,5,35,0,3,0,216.087890625,216.017578125,idna,Qmbu17XpWs4BE7kSfAdzcrUNA13FFVMkdvBwZUzUupf9CT
131072,79705,3,380,3,3,3,1125.423828125,1125.353515625,anyio,QmZ3Rin3CjyRVmAsPLv7zhw35zHs9PmL7wohYzZZ1s5TsK
65536,27991,5,82,0,3,0,216.087890625,216.017578125,certifi,QmTXnzfLxjk8xguUy8zudgrTvMs5eSxWRjFPg5av99Qhpb
131072,66704,3,215,2,1,2,670.755859375,670.685546875,httpcore,QmPQJJm5c9r2aZ5rQ4o3t1giBh73DCEfAmUkcaZqthPxNh
262144,99043,2,702,4,1,7,2478.365234375,2478.294921875,httpx,QmbUChMY8gaH6RXN6HgLx1E9FWUjmMudBZmFdjnADi9Ha1
131072,66918,1,485,2,1,10,3171.6171875,3171.546875,gha-update,Qmdz8QmAmCyD5bR8JML5gY6yhqUReYXJVZ8mE2fcRzTNms
65536,27769,2,37,0,1,0,216.087890625,216.017578125,librt,QmTD49uVNBicgeQJyhVqsUtHv5GKSTxoo4dtJ2AcyHxVaJ
65536,27767,2,37,0,1,0,216.087890625,216.017578125,pathspec,QmdLSBJUMdUrRyN4abyzeEWbtiGcpgYrFJyz4HkZTWRF1N
262144,111460,1,457,5,1,5,1330.4453125,1330.375,mypy,QmXpeskkLrUvnTqHpSH1UojyYhYiZB8v7PX2TU1jcneJo1
65536,27768,5,76,0,7,0,216.087890625,216.017578125,packaging,Qma1bbLaYX2kpzxR9yX11JfwrNJzxFRw9oMkLEGXWfe4A6
262144,98657,4,380,4,2,4,1114.361328125,1114.291015625,requests,QmXtudfJGLesWJtrjW19viMA3GA1pgHrxy5EbrVd7PCRGd
524288,278523,3,1107,17,6,22,5072.248046875,5072.177734375,sphinx,QmdpXkSGFEtJzpmacHVbgtSwFsXcLyM9EnemMx3EtbtJ4i
131072,47398,4,63,1,1,1,454.671875,454.6015625,roman-numerals-py,QmSS9DKiWbgA2f6QAaXtFzyyHWQ9aS3ychoRB4S5tzfpmL
524288,278523,3,1031,17,6,23,5310.83203125,5310.76171875,sphinx,QmfENegkBVuVGK7ZiHkM4oHxfUKKfXWKjuyF1wmptwJHBS
131072,66763,2,2490,2,1,26,10621.66015625,10621.58984375,sphinx-notfound-page,QmTgf7NQ2DuncnFp5TJMxhGB5VaomJPjtsXfEfScfm72eT
262144,98926,1,3411,4,1,27,21470.837890625,21470.767578125,pallets-sphinx-themes,Qmdqd4XeQtgbfdesS21eh9Jpc6ZWjyijeT4jbaD1pJBQYS
65536,27586,3,31,0,1,0,216.087890625,216.017578125,identify,QmewbHLZNnSk4usKj3q1jYEWCQ1YSbc6Sd9NaicKLozjTc
65536,27586,6,32,0,3,0,216.087890625,216.017578125,filelock,QmawKUwqhf87TtxzJ2x8bxP7RC9KTMqZZoR6rTrfPUMxC4
65536,27809,6,75,0,3,0,216.087890625,216.017578125,platformdirs,QmPJm1L7QhzbYcBtWao7ioAuTZ5ZzGepZpfdwgzN9m8CSo
131072,66721,5,227,2,2,2,670.755859375,670.685546875,python-discovery,QmUjKpx2BEVVyWQjY2AgJTwDLqkeUaqyNRZJhQtiChWADq
262144,111874,4,568,5,2,5,1785.11328125,1785.04296875,virtualenv,QmPJk8R5zcG6vjGpHQ3xUtDYwYgKvSY2vhWhGu2sXfEyss
262144,111864,2,413,5,1,10,2899.470703125,2899.400390625,pre-commit,QmYcTdGST26Xn2DqHdqdtPmddgrQUb7SWsrc1McxgqUMLL
65536,27973,2,34,0,2,0,216.087890625,216.017578125,uv,QmXVcSbJGZxmtAmnQqASqe1p58r7Xb2sxN2W7PB69i8w2D
131072,66749,1,774,2,1,12,3354.138671875,3354.068359375,pre-commit-uv,QmPrfBAj92EwuKrxNqE5GMKmM5rziMRyer4eXXQAafNL3Z
131072,66748,1,97,2,1,2,670.755859375,670.685546875,pyright,Qman2BnsyfzbLpxQGh9zxAr5bnAyyoRFgF1TWWADN7uQtZ
262144,137447,1,647,7,1,8,2001.197265625,2001.126953125,pytest,QmPZYxUtsAPquSsjG6T2nbTNZNbyTF2iTeNAQkRtW3i1pv
65536,27780,1,75,0,1,0,216.087890625,216.017578125,ruff,QmfMBDYTxsF18a3SPHWXTqkisYo4VYeM5JnikYRyHiAZ29
131072,66742,2,529,2,2,4,1580.091796875,1580.021484375,starlette,QmdCuqQPEDMiUZ4MXngeTQhFEAzXn87cpVXXEV8SP4LAEV
131072,79725,2,378,3,2,4,1125.423828125,1125.353515625,uvicorn,QmfGigGwRmAxQDYneATc1McPtZKZrSjSs585CQ4jmE4rX2
262144,137267,1,2524,7,1,35,14464.025390625,14463.955078125,sphinx-autobuild,QmWM7c6ZxYYKMHDh8WXc5f3S81mPr9BZCtA3VDbrwNEShe
262144,137267,1,2121,7,1,35,14464.025390625,14463.955078125,sphinx-autobuild,QmTocK6gLizeurar5QbAzEJ6NQQPKBYzPFF2qGNFJbGypZ
262144,99062,1,1601,4,1,26,11065.265625,11065.1953125,sphinx-tabs,QmRRAbRv6u1BcjjrfqmxznFBJynM22R6EvVF84KMbRME3G
131072,66776,1,1792,2,1,26,10621.66015625,10621.58984375,sphinxcontrib-log-cabinet,Qmev9criaCNm1ydTAXqWCpT6RNjHjTR78FdDjm3xuvShVo
65536,27981,4,33,0,1,0,216.087890625,216.017578125,cachetools,QmW73DboMuoW9x3h45aLS8HnMMgaSRPTd21kmjgfUdwMmR
131072,66926,4,181,2,1,2,670.755859375,670.685546875,pyproject-api,QmUATMrqZMp8GofN3R8y8wp4wksYaYQDMMNeAMMqf4sS2L
65536,27982,4,76,0,1,0,216.087890625,216.017578125,tomli-w,QmV4ZK3G5u5REZFiWse1eRg2GnbxouMrLjGWaGJvZN67iw
