cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,10,10113,0,216.087890625,216.017578125,0
65536,10,11035,0,216.087890625,216.017578125,0
131072,9,20620,2,670.755859375,670.685546875,0
65536,9,10642,0,216.087890625,216.017578125,0
65536,9,10665,0,216.087890625,216.017578125,0
65536,11,11012,0,216.087890625,216.017578125,0
65536,12,10820,0,216.087890625,216.017578125,0
131072,11,20099,1,454.671875,454.6015625,0
131072,11,20652,1,454.671875,454.6015625,0
65536,11,10622,0,216.087890625,216.017578125,0
65536,11,11383,0,216.087890625,216.017578125,0
262144,10,40650,5,1807.61328125,1807.54296875,0
65536,11,11024,0,216.087890625,216.017578125,0
65536,14,10339,0,216.087890625,216.017578125,0
65536,14,11245,0,216.087890625,216.017578125,0
131072,13,20074,2,670.755859375,670.685546875,0
65536,13,10757,0,216.087890625,216.017578125,0
131072,12,20887,2,1125.423828125,1125.353515625,0
65536,12,11473,0,216.087890625,216.017578125,0
131072,11,21549,2,1580.091796875,1580.021484375,0
131072,10,21102,2,2034.759765625,2034.689453125,0
65536,11,10957,0,216.087890625,216.017578125,0
131072,10,21556,3,2250.84375,2250.7734375,0
262144,11,40862,5,1807.61328125,1807.54296875,0
65536,11,11072,0,216.087890625,216.017578125,0
65536,11,10768,0,216.087890625,216.017578125,0
131072,11,22559,3,2478.365234375,2478.294921875,0
131072,11,21277,2,2262.28125,2262.2109375,0
262144,10,44097,8,13323.646484375,13323.576171875,0
131072,10,22963,2,4979.2265625,4979.15625,0
65536,10,11177,0,216.087890625,216.017578125,0
262144,13,39937,5,1807.61328125,1807.54296875,0
262144,13,39747,5,1807.61328125,1807.54296875,0
262144,13,40706,5,1807.61328125,1807.54296875,0
262144,13,40445,5,1807.61328125,1807.54296875,0
262144,12,43698,9,9038.05078125,9037.98046875,0
262144,12,43844,9,9038.05078125,9037.98046875,0
131072,11,26459,2,18314.681640625,18314.611328125,0
131072,11,25869,2,18314.681640625,18314.611328125,0
262144,11,45999,4,19212.955078125,19212.884765625,0
262144,11,41482,5,1807.61328125,1807.54296875,0
262144,10,58222,6,58786.77734375,58786.70703125,0
131072,16,21307,2,1125.423828125,1125.353515625,0
131072,15,21085,1,1364.0078125,1363.9375,0
131072,14,22374,2,2728.01171875,2727.94140625,0
65536,14,10797,0,216.087890625,216.017578125,0
65536,14,10231,0,216.087890625,216.017578125,0
65536,15,10501,0,216.087890625,216.017578125,0
262144,15,40082,7,3831.306640625,3831.236328125,0
262144,14,41131,5,5400.33203125,5400.26171875,0
262144,14,42997,5,5400.33203125,5400.26171875,0
131072,15,22794,3,6331.79296875,6331.72265625,0
262144,14,44373,8,15812.6953125,15812.625,0
262144,14,42223,5,1807.61328125,1807.54296875,0
65536,15,10081,0,216.087890625,216.017578125,0
65536,15,11287,0,216.087890625,216.017578125,0
262144,14,46542,6,18507.140625,18507.0703125,0
262144,14,44620,4,11937.517578125,11937.447265625,0
262144,13,60522,11,63162.64453125,63162.57421875,0
65536,16,11243,0,216.087890625,216.017578125,0
262144,15,58541,9,57866.00390625,57865.93359375,0
262144,14,74348,4,113958.33203125,113958.26171875,0
262144,13,93152,8,171369.6640625,171369.59375,0
65536,14,11173,0,216.087890625,216.017578125,0
131072,13,23370,3,2250.84375,2250.7734375,0
65536,13,11319,0,216.087890625,216.017578125,0
262144,12,127465,10,294194.4765625,294194.40625,0
65536,13,11123,0,216.087890625,216.017578125,0
65536,13,11474,0,216.087890625,216.017578125,0
65536,13,10715,0,216.087890625,216.017578125,0
131072,12,21129,3,886.83984375,886.76953125,0
131072,12,22067,3,886.83984375,886.76953125,0
131072,12,20854,3,886.83984375,886.76953125,0
131072,12,20754,3,886.83984375,886.76953125,0
131072,12,20923,3,886.83984375,886.76953125,0
131072,12,20868,3,886.83984375,886.76953125,0
65536,12,10948,0,216.087890625,216.017578125,0
65536,13,10879,0,216.087890625,216.017578125,0
65536,13,10505,0,216.087890625,216.017578125,0
65536,13,10865,0,216.087890625,216.017578125,0
65536,13,10514,0,216.087890625,216.017578125,0
65536,13,10806,0,216.087890625,216.017578125,0
262144,12,38872,5,1330.4453125,1330.375,0
524288,11,183942,15,218.056640625,217.986328125,55023235
65536,12,10877,0,216.087890625,216.017578125,0
65536,12,10870,0,216.087890625,216.017578125,0
65536,12,10931,0,216.087890625,216.017578125,0
65536,14,10779,0,216.087890625,216.017578125,0
65536,15,10084,0,216.087890625,216.017578125,0
65536,15,11153,0,216.087890625,216.017578125,0
65536,15,11322,0,216.087890625,216.017578125,0
65536,15,10959,0,216.087890625,216.017578125,0
262144,14,40171,4,1114.361328125,1114.291015625,0
262144,14,39506,4,1114.361328125,1114.291015625,0
65536,14,10786,0,216.087890625,216.017578125,0
65536,14,10582,0,216.087890625,216.017578125,0
65536,14,11099,0,216.087890625,216.017578125,0
262144,13,41930,6,3343.076171875,3343.005859375,0
262144,13,40056,6,3343.076171875,3343.005859375,0
65536,14,10505,0,216.087890625,216.017578125,0
262144,13,41536,7,3559.16015625,3559.08984375,0
131072,12,23769,3,10483.888671875,10483.818359375,0
65536,12,10577,0,216.087890625,216.017578125,0
262144,11,43445,5,218.056640625,217.986328125,1770115
131072,10,20733,2,674.39453125,674.32421875,0
65536,13,10935,0,216.087890625,216.017578125,0
131072,12,20780,1,454.671875,454.6015625,0
262144,11,42044,4,6797.8984375,6797.828125,0
262144,10,60280,8,69438.099609375,69438.029296875,0
524288,9,127614,14,161424.169921875,161424.099609375,0
131072,9,26513,2,18541.453125,18541.3828125,0
65536,12,11309,0,216.087890625,216.017578125,0
524288,11,99604,15,218.056640625,217.986328125,11349054
131072,11,41712,1,218.056640625,217.986328125,10542443
131072,10,20666,2,674.39453125,674.32421875,0
131072,10,20248,1,454.671875,454.6015625,0
262144,9,83079,12,140441.060546875,140440.990234375,0
524288,8,193736,15,218.056640625,217.986328125,58021697
65536,11,11525,0,216.087890625,216.017578125,0
65536,11,11168,0,216.087890625,216.017578125,0
524288,10,95973,15,218.056640625,217.986328125,9868190
131072,11,21207,2,1125.423828125,1125.353515625,0
262144,10,64350,6,218.056640625,217.986328125,11851301
131072,9,20640,2,674.39453125,674.32421875,0
262144,8,62425,8,218.056640625,217.986328125,11987005
131072,7,21219,2,674.39453125,674.32421875,0
65536,8,10786,0,216.087890625,216.017578125,0
65536,8,10996,0,216.087890625,216.017578125,0
65536,8,10241,0,216.087890625,216.017578125,0
65536,8,10993,0,216.087890625,216.017578125,0
262144,7,91659,6,181079.9765625,181079.90625,0
262144,7,91953,6,181079.9765625,181079.90625,0
65536,8,9974,0,216.087890625,216.017578125,0
131072,7,20156,1,454.671875,454.6015625,0
65536,7,10291,0,216.087890625,216.017578125,0
262144,6,146958,5,363755.11328125,363755.04296875,0
262144,6,40870,6,1785.11328125,1785.04296875,0
65536,6,10370,0,216.087890625,216.017578125,0
65536,8,10263,0,216.087890625,216.017578125,0
131072,7,19976,1,454.671875,454.6015625,0
65536,7,10965,0,216.087890625,216.017578125,0
65536,7,10881,0,216.087890625,216.017578125,0
131072,6,21094,3,1125.423828125,1125.353515625,0
65536,6,11059,0,216.087890625,216.017578125,0
65536,6,11187,0,216.087890625,216.017578125,0
65536,8,10886,0,216.087890625,216.017578125,0
131072,7,20598,1,454.671875,454.6015625,0
131072,7,19690,1,454.671875,454.6015625,0
131072,7,20925,1,454.671875,454.6015625,0
65536,7,10921,0,216.087890625,216.017578125,0
262144,6,40818,4,1830.11328125,1830.04296875,0
131072,6,21612,3,1602.591796875,1602.521484375,0
131072,6,20937,3,1602.591796875,1602.521484375,0
131072,6,21464,3,1602.591796875,1602.521484375,0
65536,6,10398,0,216.087890625,216.017578125,0
65536,6,10503,0,216.087890625,216.017578125,0
65536,6,10437,0,216.087890625,216.017578125,0
524288,5,240426,15,218.056640625,217.986328125,83508770
65536,7,10825,0,216.087890625,216.017578125,0
65536,7,10794,0,216.087890625,216.017578125,0
131072,6,20854,2,670.755859375,670.685546875,0
131072,6,20818,2,670.755859375,670.685546875,0
65536,6,11047,0,216.087890625,216.017578125,0
65536,7,10681,0,216.087890625,216.017578125,0
65536,7,10579,0,216.087890625,216.017578125,0
65536,7,10832,0,216.087890625,216.017578125,0
65536,7,11158,0,216.087890625,216.017578125,0
65536,7,11033,0,216.087890625,216.017578125,0
65536,8,10389,0,216.087890625,216.017578125,0
65536,8,10650,0,216.087890625,216.017578125,0
65536,9,10569,0,216.087890625,216.017578125,0
65536,9,10871,0,216.087890625,216.017578125,0
65536,9,10632,0,216.087890625,216.017578125,0
131072,8,21120,3,886.83984375,886.76953125,0
131072,8,20991,3,886.83984375,886.76953125,0
262144,7,41075,9,3536.28515625,3536.21484375,0
65536,8,10748,0,216.087890625,216.017578125,0
65536,8,10412,0,216.087890625,216.017578125,0
524288,7,81003,14,4628.642578125,4628.572265625,0
524288,7,78918,14,4628.642578125,4628.572265625,0
262144,7,41084,7,3104.1171875,3104.046875,0
262144,7,40524,7,3104.1171875,3104.046875,0
65536,9,10521,0,216.087890625,216.017578125,0
131072,8,20963,1,454.671875,454.6015625,0
65536,9,10720,0,216.087890625,216.017578125,0
65536,9,10584,0,216.087890625,216.017578125,0
65536,9,10833,0,216.087890625,216.017578125,0
65536,9,11134,0,216.087890625,216.017578125,0
65536,9,10767,0,216.087890625,216.017578125,0
262144,8,40373,7,1762.61328125,1762.54296875,0
262144,8,39165,5,1330.4453125,1330.375,0
262144,8,39291,5,1330.4453125,1330.375,0
262144,8,39662,5,1330.4453125,1330.375,0
65536,8,10861,0,216.087890625,216.017578125,0
65536,8,10998,0,216.087890625,216.017578125,0
65536,8,10394,0,216.087890625,216.017578125,0
262144,7,42301,11,9096.634765625,9096.564453125,0
524288,6,194053,14,392275.134765625,392275.064453125,0
262144,6,39644,4,1114.361328125,1114.291015625,0
65536,6,10224,0,216.087890625,216.017578125,0
65536,6,10881,0,216.087890625,216.017578125,0
65536,6,11025,0,216.087890625,216.017578125,0
