cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,4,11450,0,216.087890625,216.017578125,0
65536,4,10856,0,216.087890625,216.017578125,0
131072,3,21020,2,670.755859375,670.685546875,0
65536,3,11330,0,216.087890625,216.017578125,0
131072,3,21190,2,909.33984375,909.26953125,0
65536,3,10929,0,216.087890625,216.017578125,0
131072,3,21817,1,454.671875,454.6015625,0
131072,3,21452,1,693.255859375,693.185546875,0
131072,3,21808,2,1364.0078125,1363.9375,0
262144,2,43190,7,4774.205078125,4774.134765625,0
131072,3,21689,3,1125.423828125,1125.353515625,0
65536,3,11435,0,216.087890625,216.017578125,0
65536,3,10909,0,216.087890625,216.017578125,0
65536,5,10991,0,216.087890625,216.017578125,0
65536,5,11153,0,216.087890625,216.017578125,0
131072,4,20778,2,670.755859375,670.685546875,0
262144,3,41109,5,3149.1171875,3149.046875,0
65536,3,10972,0,216.087890625,216.017578125,0
65536,4,11025,0,216.087890625,216.017578125,0
131072,4,20925,1,454.671875,454.6015625,0
131072,4,20883,1,454.671875,454.6015625,0
262144,3,41386,4,1591.529296875,1591.458984375,0
65536,3,10572,0,216.087890625,216.017578125,0
262144,2,42249,8,7196.50390625,7196.43359375,0
65536,3,10846,0,216.087890625,216.017578125,0
65536,4,11122,0,216.087890625,216.017578125,0
65536,5,11278,0,216.087890625,216.017578125,0
262144,4,39939,4,1114.361328125,1114.291015625,0
131072,3,21794,3,1785.11328125,1785.04296875,0
65536,4,11257,0,216.087890625,216.017578125,0
131072,3,21380,1,454.671875,454.6015625,0
131072,4,21243,1,454.671875,454.6015625,0
262144,3,41976,8,7435.087890625,7435.017578125,0
65536,3,11506,0,216.087890625,216.017578125,0
65536,3,11448,0,216.087890625,216.017578125,0
65536,4,11354,0,216.087890625,216.017578125,0
131072,3,22161,2,1569.029296875,1568.958984375,0
262144,2,44512,10,14165.857421875,14165.787109375,0
131072,3,22524,2,1569.029296875,1568.958984375,0
65536,3,11363,0,216.087890625,216.017578125,0
131072,2,22367,3,2239.78125,2239.7109375,0
131072,3,22291,3,2239.78125,2239.7109375,0
262144,3,41911,4,3160.5546875,3160.484375,0
262144,2,43719,5,7651.546875,7651.4765625,0
65536,5,11172,0,216.087890625,216.017578125,0
131072,4,21809,1,454.671875,454.6015625,0
131072,3,21448,2,909.33984375,909.26953125,0
131072,2,22841,2,2716.94921875,2716.87890625,0
131072,2,22481,2,2023.697265625,2023.626953125,0
131072,5,21386,1,1147.923828125,1147.853515625,0
131072,4,23273,3,3410.201171875,3410.130859375,0
131072,3,22657,1,3648.78515625,3648.71484375,0
262144,2,43672,5,10003.44921875,10003.37890625,0
65536,3,11192,0,216.087890625,216.017578125,0
262144,2,40805,4,2467.302734375,2467.232421875,0
65536,4,11344,0,216.087890625,216.017578125,0
65536,5,11078,0,216.087890625,216.017578125,0
131072,4,21277,1,454.671875,454.6015625,0
131072,3,22472,3,1125.423828125,1125.353515625,0
131072,3,21645,1,1364.0078125,1363.9375,0
131072,2,21733,3,2944.095703125,2944.025390625,0
65536,4,11046,0,216.087890625,216.017578125,0
65536,5,11219,0,216.087890625,216.017578125,0
65536,5,10572,0,216.087890625,216.017578125,0
