cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,4,11241,0,216.087890625,216.017578125,0
131072,3,21308,1,454.671875,454.6015625,0
65536,3,10950,0,216.087890625,216.017578125,0
131072,2,22061,2,909.33984375,909.26953125,0
65536,3,11264,0,216.087890625,216.017578125,0
65536,3,10647,0,216.087890625,216.017578125,0
65536,4,11389,0,216.087890625,216.017578125,0
131072,3,20814,1,454.671875,454.6015625,0
65536,4,11311,0,216.087890625,216.017578125,0
65536,4,10710,0,216.087890625,216.017578125,0
65536,4,11158,0,216.087890625,216.017578125,0
65536,4,10130,0,216.087890625,216.017578125,0
65536,4,11210,0,216.087890625,216.017578125,0
262144,3,41186,5,1330.4453125,1330.375,0
65536,4,11360,0,216.087890625,216.017578125,0
131072,3,20980,1,454.671875,454.6015625,0
65536,4,11229,0,216.087890625,216.017578125,0
131072,3,20836,1,454.671875,454.6015625,0
65536,5,10763,0,216.087890625,216.017578125,0
65536,5,10802,0,216.087890625,216.017578125,0
131072,5,21178,2,670.755859375,670.685546875,0
65536,8,10986,0,216.087890625,216.017578125,0
131072,7,21081,2,670.755859375,670.685546875,0
65536,8,11344,0,216.087890625,216.017578125,0
131072,8,20244,1,454.671875,454.6015625,0
65536,10,10703,0,216.087890625,216.017578125,0
131072,9,21024,3,1341.5078125,1341.4375,0
131072,8,21128,2,2034.759765625,2034.689453125,0
65536,8,11196,0,216.087890625,216.017578125,0
131072,8,21725,1,454.671875,454.6015625,0
65536,8,11544,0,216.087890625,216.017578125,0
262144,7,41856,10,5161.373046875,5161.302734375,0
131072,6,22511,2,6070.708984375,6070.638671875,0
262144,5,43702,4,11914.267578125,11914.197265625,0
262144,5,47048,5,23828.53125,23828.4609375,0
262144,4,51575,5,37095.736328125,37095.666015625,0
131072,3,32318,1,37334.3203125,37334.25,0
65536,4,11099,0,216.087890625,216.017578125,0
262144,3,39869,4,2467.302734375,2467.232421875,0
65536,4,10688,0,216.087890625,216.017578125,0
131072,3,21638,3,1125.423828125,1125.353515625,0
262144,2,52446,9,44303.673828125,44303.603515625,0
65536,2,10900,0,216.087890625,216.017578125,0
65536,2,11123,0,216.087890625,216.017578125,0
65536,2,10695,0,216.087890625,216.017578125,0
65536,2,10713,0,216.087890625,216.017578125,0
65536,2,10919,0,216.087890625,216.017578125,0
65536,2,11416,0,216.087890625,216.017578125,0
65536,3,11163,0,216.087890625,216.017578125,0
262144,2,41440,6,2023.697265625,2023.626953125,0
65536,2,11239,0,216.087890625,216.017578125,0
65536,2,11457,0,216.087890625,216.017578125,0
65536,3,11228,0,216.087890625,216.017578125,0
131072,2,21939,1,454.671875,454.6015625,0
65536,3,11367,0,216.087890625,216.017578125,0
65536,3,11458,0,216.087890625,216.017578125,0
131072,2,21903,2,670.755859375,670.685546875,0
65536,2,11190,0,216.087890625,216.017578125,0
65536,3,10640,0,216.087890625,216.017578125,0
65536,3,11835,0,216.087890625,216.017578125,0
262144,2,39897,5,1569.029296875,1568.958984375,0
262144,2,41809,11,4457.05859375,4456.98828125,0
262144,2,42050,4,5355.33203125,5355.26171875,0
65536,2,10891,0,216.087890625,216.017578125,0
524288,1,110981,28,104184.84765625,104184.77734375,0
131072,0,52778,1,104423.431640625,104423.361328125,0
