cycle,depth,pure_proving_duration,children_count,receipt_size_kb,seal_size_kb,compression_duration
65536,3,10755,0,216.087890625,216.017578125,0
131072,2,20808,1,454.671875,454.6015625,0
65536,2,11051,0,216.087890625,216.017578125,0
131072,1,21317,2,909.33984375,909.26953125,0
131072,2,21130,1,454.671875,454.6015625,0
65536,2,11493,0,216.087890625,216.017578125,0
65536,3,11774,0,216.087890625,216.017578125,0
131072,2,22123,1,454.671875,454.6015625,0
65536,2,11146,0,216.087890625,216.017578125,0
65536,3,11104,0,216.087890625,216.017578125,0
131072,2,20957,1,454.671875,454.6015625,0
65536,2,11080,0,216.087890625,216.017578125,0
131072,2,21705,1,454.671875,454.6015625,0
262144,1,41637,8,2933.033203125,2932.962890625,0
131072,4,21150,1,454.671875,454.6015625,0
65536,4,10931,0,216.087890625,216.017578125,0
131072,3,21798,3,1125.423828125,1125.353515625,0
65536,3,11110,0,216.087890625,216.017578125,0
65536,4,11271,0,216.087890625,216.017578125,0
131072,3,21237,2,670.755859375,670.685546875,0
262144,2,40850,4,2478.365234375,2478.294921875,0
131072,1,23324,2,3171.6171875,3171.546875,0
65536,1,11501,0,216.087890625,216.017578125,0
65536,2,11023,0,216.087890625,216.017578125,0
65536,2,11436,0,216.087890625,216.017578125,0
65536,2,11247,0,216.087890625,216.017578125,0
65536,2,11437,0,216.087890625,216.017578125,0
262144,1,41198,5,1330.4453125,1330.375,0
65536,2,10872,0,216.087890625,216.017578125,0
65536,4,11336,0,216.087890625,216.017578125,0
65536,4,11329,0,216.087890625,216.017578125,0
65536,4,11623,0,216.087890625,216.017578125,0
65536,4,11050,0,216.087890625,216.017578125,0
65536,4,11489,0,216.087890625,216.017578125,0
65536,5,10811,0,216.087890625,216.017578125,0
65536,5,11309,0,216.087890625,216.017578125,0
262144,4,40597,4,1114.361328125,1114.291015625,0
65536,4,11544,0,216.087890625,216.017578125,0
65536,4,11488,0,216.087890625,216.017578125,0
65536,4,11119,0,216.087890625,216.017578125,0
65536,4,11365,0,216.087890625,216.017578125,0
65536,4,11459,0,216.087890625,216.017578125,0
65536,4,11002,0,216.087890625,216.017578125,0
65536,4,11612,0,216.087890625,216.017578125,0
524288,3,80211,17,5072.248046875,5072.177734375,0
65536,5,10938,0,216.087890625,216.017578125,0
131072,4,21847,1,454.671875,454.6015625,0
524288,3,82322,17,5310.83203125,5310.76171875,0
131072,2,24539,2,10621.66015625,10621.58984375,0
262144,1,46420,4,21470.837890625,21470.767578125,0
65536,3,11273,0,216.087890625,216.017578125,0
65536,3,10710,0,216.087890625,216.017578125,0
65536,3,11001,0,216.087890625,216.017578125,0
65536,3,11429,0,216.087890625,216.017578125,0
65536,4,11175,0,216.087890625,216.017578125,0
65536,4,10702,0,216.087890625,216.017578125,0
65536,4,10728,0,216.087890625,216.017578125,0
131072,4,20763,2,670.755859375,670.685546875,0
262144,3,40958,5,1785.11328125,1785.04296875,0
262144,2,42085,5,2899.470703125,2899.400390625,0
65536,2,11222,0,216.087890625,216.017578125,0
131072,1,22218,2,3354.138671875,3354.068359375,0
131072,1,21552,2,670.755859375,670.685546875,0
65536,2,11038,0,216.087890625,216.017578125,0
65536,2,11402,0,216.087890625,216.017578125,0
262144,1,41735,7,2001.197265625,2001.126953125,0
65536,1,11462,0,216.087890625,216.017578125,0
131072,2,21622,2,1580.091796875,1580.021484375,0
131072,2,21588,3,1125.423828125,1125.353515625,0
131072,2,20587,1,1364.0078125,1363.9375,0
65536,2,11054,0,216.087890625,216.017578125,0
262144,1,44434,7,15134.77734375,15134.70703125,0
262144,1,44810,7,15134.77734375,15134.70703125,0
262144,1,42834,4,11065.265625,11065.1953125,0
131072,1,24745,2,10621.66015625,10621.58984375,0
65536,4,10651,0,216.087890625,216.017578125,0
131072,4,21280,2,670.755859375,670.685546875,0
65536,4,10578,0,216.087890625,216.017578125,0
262144,3,42053,12,5321.39453125,5321.32421875,0
131072,2,22361,3,5992.146484375,5992.076171875,0
131072,1,23334,2,6446.814453125,6446.744140625,0
65536,1,11599,0,216.087890625,216.017578125,0
65536,1,11408,0,216.087890625,216.017578125,0
524288,0,104422,17,95370.908203125,95370.837890625,0
