total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27966,1,5,11450,0,1,0,216.087890625,216.017578125,0,11819,105,85,6137,443,mime-db,QmSXGPFGEHDJcVo1s83ng8QLdpMBbwoxhpaPKowCKPwvXP
131072,47353,1,4,0,1,4,1,218.056640625,217.986328125,77066,17213,7337,85,11914,1280,mime-types,QmbTmAibA9AQ4HbLAR9Engi3nrVFrRsjLiL2gaysZuwcEo
65536,27763,1,3,11650,0,1,0,216.087890625,216.017578125,0,11616,105,85,6137,443,negotiator,QmbwbfnMZpZnst6DfSnZsUbgsidQjXSejmrNVoLmDSKgBg
131072,66919,1,2,0,2,1,3,218.056640625,217.986328125,93098,22972,14593,85,17627,2109,accepts,QmY3F5Bb8nhAWWuv2wHcu725H5nn5qwgFYEE1LbVjbVYTf
65536,27968,1,4,11688,0,2,0,216.087890625,216.017578125,0,11821,105,85,6137,443,bytes,QmeoHrCxBXRHw2sgdtwBnDBENDpnnzXJZKY1mSYN2e8hSQ
65536,27783,1,4,11144,0,3,0,216.087890625,216.017578125,0,11636,105,85,6137,443,content-type,Qmady64QzQ63Ad7DGz9ZpoN9dSwRkYXs9z7AtM8p43dzNu
65536,27745,1,5,11397,0,2,0,216.087890625,216.017578125,0,11598,105,85,6137,443,ms,Qmc8RsxSrVMAFDWVpKff6XcAAEwkkqikoCiUsAdN5XUQ2N
131072,47558,1,4,0,1,5,1,218.056640625,217.986328125,75458,17418,7337,85,11914,1280,debug,QmW8siapxkdKdLPVuXww5WKawiPbEH2RJSKkiq6F1usg9N
65536,27766,1,5,12017,0,3,0,216.087890625,216.017578125,0,11619,105,85,6137,443,depd,QmYzm71eyZQ5v5Pzu7MtezGoZKAWHDcKvdeMi1vPbZPpwX
65536,27741,1,5,11677,0,1,0,216.087890625,216.017578125,0,11594,105,85,6137,443,inherits,QmRzNh7mqetu84UGtJ8psCMBrVxepvsTPSdGuV2zzNUjLr
65536,27770,1,5,11625,0,1,0,216.087890625,216.017578125,0,11623,105,85,6137,443,setprototypeof,QmZspnnhuhc6PAFFR8n9ggcVUSv4W8BysuzmVDiYmVZfe5
65536,27741,1,5,11555,0,4,0,216.087890625,216.017578125,0,11594,105,85,6137,443,statuses,QmcFegvFAh84DejYBqqQJP6o6CePuFwfMvqCRCAE1tU1a9
65536,27783,1,5,11583,0,1,0,216.087890625,216.017578125,0,11636,105,85,6137,443,toidentifier,QmWntJLD6TbZMEBX2tvv8ykxk85SVbzdkRaXGSY3Yp5q9b
262144,111913,1,4,0,5,4,5,218.056640625,217.986328125,237162,39679,36322,85,23340,2938,http-errors,QmfQpfrFjzq2aPPWFcdCa9JPHPH93XsGaGF7kp681QvFqr
65536,27783,1,5,11580,0,1,0,216.087890625,216.017578125,0,11636,105,85,6137,443,safer-buffer,QmZdgzULeXmJ7Law1UkazeG64JZhiWcyU1G1d6YY1Zem4G
131072,47353,1,4,0,1,2,1,218.056640625,217.986328125,75231,17213,7337,85,11914,1280,iconv-lite,Qma7YdhDQAbPuiDJh9zXKzXsUgnPpaLRNR197os5yU2hP2
65536,27741,1,5,11389,0,1,0,216.087890625,216.017578125,0,11594,105,85,6137,443,ee-first,QmSoA1zkVAkn4Pd36vbxSrJE4tMRNf97E3o7AKekVSG1eL
131072,47568,1,4,0,1,4,1,218.056640625,217.986328125,74774,17415,7350,85,11914,1280,on-finished,QmVubo6cJQd1RP2ScqsNqtPyoG1Xf1RsUajTHoVpeG8ZXE
65536,27944,1,12,11189,0,8,0,216.087890625,216.017578125,0,11797,105,85,6137,443,es-errors,QmUYWrSRmSw69Bx7yU5uhkQZHAZGrJXmQBTBNuFTcANgbY
65536,27973,1,7,11511,0,4,0,216.087890625,216.017578125,0,11826,105,85,6137,443,object-inspect,QmcgSaFbPdGVT4biB6osodF6Lqr72tTFhUvGgZCXhFyCfD
131072,66898,1,5,0,2,1,2,218.056640625,217.986328125,111256,22977,14567,85,17627,2109,side-channel-list,QmYvushEg7aniRUBHy8pqY33ubCmvp5Miw6Bp9G14bojbe
65536,27985,1,12,11139,0,3,0,216.087890625,216.017578125,0,11838,105,85,6137,443,function-bind,Qmb9Y95hc86pwQWhjDxuo21pxZePKY2LSSfEUrAbX8k485
131072,66953,1,11,0,2,3,2,218.056640625,217.986328125,109797,23006,14593,85,17627,2109,call-bind-apply-helpers,QmWfp2ZjnVhTRbgEiEqHX8F1dmdqPLwz3SQ5h8s3c8b5cL
65536,27779,1,9,11977,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,es-define-property,QmeuaPYXpbHLStFappat1xupAB63vHftnrhJ3yB6Kx7y73
131072,47576,1,10,0,1,2,1,218.056640625,217.986328125,74400,17423,7350,85,11914,1280,es-object-atoms,QmP5JBPfksRwipUDauSqvU9jGojoNVhMNN8UPGuBqCoZGw
65536,27766,1,11,11478,0,2,0,216.087890625,216.017578125,0,11619,105,85,6137,443,gopd,Qmavj91Z4KhSjuEiiYSuw3eSFSS4EeaPBrbfzHTgnNtQmn
131072,79555,1,10,0,3,1,4,218.056640625,217.986328125,128007,28365,21836,85,17627,2109,dunder-proto,QmNm1i9jM3v2W65BnzqzsoPVDdWMJrFrXkk3unGRVww4Xm
131072,66881,1,9,0,2,1,6,218.056640625,217.986328125,73670,22960,14567,85,17627,2109,get-proto,QmVuCejwEWH6ivfvFqNYDuCsCUGykVoCedSmawEPCGM9xk
65536,27965,1,9,11969,0,1,0,216.087890625,216.017578125,0,11818,105,85,6137,443,has-symbols,Qmb7qNu2VDx6MECUMS1gnTXiQgvGFX7VJLBmRF9mjaZMYH
131072,47343,1,9,0,1,1,1,218.056640625,217.986328125,75306,17203,7337,85,11914,1280,hasown,QmdZ3g9XQfSfPXQKFk8n6HG3V8ZEaju2PvcnA4GdEmzKmx
65536,27973,1,9,11107,0,1,0,216.087890625,216.017578125,0,11826,105,85,6137,443,math-intrinsics,QmT3GLJHVi2763BmshNHqxgtmck6rxHNUEm365LJcvNEhw
262144,182390,1,8,0,10,3,11,218.056640625,217.986328125,348262,67529,72407,85,29053,3767,get-intrinsic,Qmd92JJCYuiSjmKSPQEXbsgkfft4mGn2jdQrSU1rfGRnRh
131072,66700,1,7,0,2,2,12,218.056640625,217.986328125,74724,22779,14567,85,17627,2109,call-bound,QmPRnx2p8k14c6ywBXjNW2NCddMKA4ES7oG7C6g56qXWpT
262144,98881,1,6,0,4,2,14,218.056640625,217.986328125,165350,33906,29079,85,23340,2938,side-channel-map,QmbjYzBnpLCpk1eSGs3EUtHWHLBTN37pVy8B4hDcqLAhf6
262144,111748,1,5,0,5,1,15,218.056640625,217.986328125,184065,39514,36322,85,23340,2938,side-channel-weakmap,QmPFwEuuKDw7H47RWt6pFLYK7Lb43G1NgZYUtLfUzG1qTV
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,185832,39497,36322,85,23340,2938,side-channel,QmU5hwyhRyZdisqASvtJYvi96mSfaJoeWrtg1fbHdWLCni
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,57451,17219,7350,85,11914,1280,qs,QmRUJ5a1ZUh6a2Z4bnUHJaXKas5nzaSm8LydJZG6QTPsT2
65536,27753,1,4,11499,0,1,0,216.087890625,216.017578125,0,11606,105,85,6137,443,unpipe,QmQMdF5UXPof82L2xK91W4xZREpkc3R5cuo2AJaF7B9TkX
262144,98864,1,3,0,4,1,10,218.056640625,217.986328125,167729,33889,29079,85,23340,2938,raw-body,QmZ6EC37mPt3vJPx7vwf3EKyFF1UvkM8WiCrrUY8cMgMiX
65536,27965,1,4,11085,0,1,0,216.087890625,216.017578125,0,11818,105,85,6137,443,media-typer,Qmdv3g3wdgdv8ycoEc9wK4antpJgiMYtvwcH3GpnieYNkJ
131072,79728,1,3,0,3,2,4,218.056640625,217.986328125,127904,28538,21836,85,17627,2109,type-is,QmYMdE74wDKpvzGHAdgSfYi1JApUjP2XSBRCWc4dAvXULa
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,254417,61943,65294,85,29053,3767,body-parser,QmUU7r4Jxo9mMsTFq6Pe19NYi3ufaG6cgKwA3rftftb9KL
65536,27981,1,2,11417,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,content-disposition,QmfNZtqR8djicH3iyiyksGNySXJWgoZKgUT3wRx9jrxxA1
65536,27758,1,2,11127,0,1,0,216.087890625,216.017578125,0,11611,105,85,6137,443,cookie-signature,Qmb4Zc8zBVv1gA5nHVJxUwkUfYK6FUsy58J7qtoyWiW3Qy
65536,27753,1,2,11594,0,1,0,216.087890625,216.017578125,0,11606,105,85,6137,443,cookie,QmUUfDxAh1M3iYsmLiAVrCMdSWx2CAWUs1Cs1XTAkXBWU4
65536,27944,1,4,11740,0,4,0,216.087890625,216.017578125,0,11797,105,85,6137,443,encodeurl,QmYMKHzJZKJL4d5nWF9ZAk3nH71BaxY14M1oE3kRa4GmVv
65536,27965,1,4,11455,0,4,0,216.087890625,216.017578125,0,11818,105,85,6137,443,escape-html,QmcaRpW7Ffti4DunFHqCAndYVDmR7ju8AFEteDCjZi9k8A
65536,27766,1,4,11780,0,2,0,216.087890625,216.017578125,0,11619,105,85,6137,443,etag,QmaT8D2xYPVdo1Ytz5GgPKZU5dREJAXF7iTsYhxeMrtQKX
65536,27741,1,3,11361,0,4,0,216.087890625,216.017578125,0,11594,105,85,6137,443,parseurl,QmedQGHPPzC3Wk8EPLHEsj9VhFb3fxpFmCLTCCmG14BzFg
262144,124540,1,2,0,6,1,8,218.056640625,217.986328125,238325,45063,43565,85,23340,2938,finalhandler,QmcC7WLAH6tnynwXuGYeq6ArU2LKBGrTAXgdz3pCPHK7h6
