total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27949,1,3,11361,0,1,0,216.087890625,216.017578125,0,11802,105,85,6137,443,pycparser,QmTS43YZG4LKRTZQLGFvFMkNbCzq39aM3rjjB78Ye4fD9X
131072,47382,1,2,0,1,1,1,218.056640625,217.986328125,73791,17242,7337,85,11914,1280,cffi,Qme6Chg3FNyDXgjR8pnjVRGerqiHUhc9Zib9M2799M6nKg
65536,27997,1,5,11288,0,10,0,216.087890625,216.017578125,0,11850,105,85,6137,443,typing-extensions,QmdZ6HWhshnqT3qZqi4gweyq7VwZmkq8g9d84WXyt2rvGG
131072,66531,1,1,0,2,1,3,218.056640625,217.986328125,92267,22610,14567,85,17627,2109,cryptography,Qma7oU9WerKWnGKGxcfdKLfX5GeojZWuZBBjY8xGryjjJd
131072,47582,1,2,0,1,1,1,218.056640625,217.986328125,73377,17442,7337,85,11914,1280,asgiref,QmfJfhf1zBb4jooEwNDWcKxc9yDtccJFFx6vcmVAANBXMa
65536,27982,1,2,11429,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,blinker,QmUP8wqoSmB51KxcCKLcFBGpBMN4mSAgQptr7xNjngpqqr
65536,27767,1,4,11358,0,7,0,216.087890625,216.017578125,0,11620,105,85,6137,443,colorama,Qmc6EXQhCKceG3DCeUVJeC1B6orqZjgJHSE6sjEzawTgsD
131072,47372,1,3,0,1,3,1,218.056640625,217.986328125,73570,17219,7350,85,11914,1280,click,QmaBrFJeZ7PPGekjjgV9nBFLDwrwDT2v5Q1mjom3zZ7XH4
65536,27809,1,2,11377,0,1,0,216.087890625,216.017578125,0,11662,105,85,6137,443,itsdangerous,QmVvZaBYzRJWg4VHrAHinPyfvooqGRZqv1S1U1kJTHiYZk
65536,27981,1,5,11170,0,3,0,216.087890625,216.017578125,0,11834,105,85,6137,443,markupsafe,QmSj4tMfc7KuFej8o1wfwVjR99ZYvg7sav4wsWxPMTLMM1
131072,47562,1,4,0,1,3,1,218.056640625,217.986328125,74162,17422,7337,85,11914,1280,jinja2,QmbmoWbf2kr6j3g8V1EXCiRukaFK8NyzQTMWYdKmLipcpi
65536,27786,1,2,11638,0,1,0,216.087890625,216.017578125,0,11639,105,85,6137,443,python-dotenv,QmSNQESQiky1ioVEya8fZBPJnYE6NVPuGU9EzbcLJPBeo8
131072,47357,1,2,0,1,1,1,218.056640625,217.986328125,73573,17217,7337,85,11914,1280,werkzeug,QmcyNEzpqAvgFHE57GXRHnqPqu5VHx88iBigQ4wTedxprs
262144,156794,1,1,0,8,1,10,218.056640625,217.986328125,270364,56393,57947,85,29053,3767,flask,QmSMf34C9xyNeoEVTuavnE8JE1CwKVw3jfJuzhufXPJne6
131072,47579,1,4,0,1,2,1,218.056640625,217.986328125,73585,17439,7337,85,11914,1280,exceptiongroup,QmZpJePrBzz9bBNS74u7JwEjCJLSwsfn4AJtErwfZQizCg
65536,27590,1,5,11199,0,3,0,216.087890625,216.017578125,0,11443,105,85,6137,443,idna,QmQNshyyo2oj2f8qEqcTw21jx9ENboJvSTaQz5afvUFWWG
131072,79705,1,3,0,3,3,3,218.056640625,217.986328125,125459,28554,21797,85,17627,2109,anyio,QmcwS7BfN8erBxaaBnYggQ8cxpQkNVVESUW1hG1DUpyMcK
65536,27991,1,5,11194,0,3,0,216.087890625,216.017578125,0,11844,105,85,6137,443,certifi,QmNwrfHje6S2NcZUXkJhrj7wTR7n221rJmMBX9Yfy46bFp
65536,27983,1,4,11057,0,2,0,216.087890625,216.017578125,0,11836,105,85,6137,443,h11,QmU2PoBJnFb9wu7A5wCMAvLifD1GLHX5ZMdAR3GLPxxgyk
131072,66704,1,3,0,2,1,2,218.056640625,217.986328125,107516,22783,14567,85,17627,2109,httpcore,QmS5J9z1t74CaYgMDoPRL6KFhPPbQg65hqt6ZVd2s4S3JC
262144,99043,1,2,0,4,1,7,218.056640625,217.986328125,163239,34120,29027,85,23340,2938,httpx,QmUK4G5vXeQ2BtgvUAL2AJEAsEndMHxiFZsNNYHYM4hGTy
131072,66918,1,1,0,2,1,10,218.056640625,217.986328125,72374,22997,14567,85,17627,2109,gha-update,QmSgJb4dwoNi982bYFsZncBRV1Ba2nBssxYbacYZijeov7
65536,27769,1,2,11219,0,1,0,216.087890625,216.017578125,0,11622,105,85,6137,443,librt,QmajdK6joQZNbo9QbfG8M7eMZf9qUTMGwawRxCuuWZ5HcX
65536,27999,1,2,11230,0,1,0,216.087890625,216.017578125,0,11852,105,85,6137,443,mypy-extensions,QmYimawGpv9LRBktxFsfVNhTsf7vgYWXNz6b3PTeZb72Au
65536,27767,1,2,11150,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,pathspec,QmXWdDGXFR3QsDh1iJq3BhxwbzJGrLGHCJMWr1V6f9pSsn
65536,27769,1,5,11952,0,6,0,216.087890625,216.017578125,0,11622,105,85,6137,443,tomli,QmYraQwZmcGpxrEhJfSaj22vJC7gSL3DKx9kEHdEHDQ3QM
262144,111460,1,1,0,5,1,5,218.056640625,217.986328125,233498,39291,36257,85,23340,2938,mypy,QmSBhXVpoDeJmQSdhJj5mK9f6NkDQN1Br8YC48KwLequKY
65536,27768,1,5,11536,0,7,0,216.087890625,216.017578125,0,11621,105,85,6137,443,packaging,QmaqrM9zVNpGM1y1mqRSWushvx411vqrLwTmFcNjE2X8WX
65536,27779,1,4,11335,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,alabaster,QmR6zqJecJQhPshdVfNvKrYvtZHL3bsxkt4GfKbPQsfFC5
65536,27972,1,4,11252,0,2,0,216.087890625,216.017578125,0,11825,105,85,6137,443,babel,QmbYRZcBRD4QQot95CkLASi1btAjg8d81TFKdUEWwWb4Cn
65536,27586,1,4,11587,0,3,0,216.087890625,216.017578125,0,11439,105,85,6137,443,docutils,QmbrFszEW6PLma7GVwVokvLmhW9XMFwNubgaZLb7VCof8W
65536,27779,1,4,11241,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,imagesize,Qmb4EXYFNTD94Pwmj4pEzugituH1bC8SYCsqNjb4gz1fmF
65536,27586,1,4,11626,0,4,0,216.087890625,216.017578125,0,11439,105,85,6137,443,pygments,QmZvp6tKzgtxQogB7RRpwS3oEQm98H3GVwxWcntncKxxxu
65536,27997,1,5,11086,0,1,0,216.087890625,216.017578125,0,11850,105,85,6137,443,charset-normalizer,QmZxQh1NnPMb4NQJRdwjsaDeaCk8rZw3BRGfGorvTC18ez
65536,27982,1,5,11241,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,urllib3,QmcSgKyip69hZfrnNsfo7zwBSiUgyWaWxw2Ft1SHPjRVkd
262144,98657,1,4,0,4,2,4,218.056640625,217.986328125,198969,33734,29027,85,23340,2938,requests,QmQJcz7qvDNyCXLWfcRotZrmWUX4zFm3VcNVnRK4DQy4VM
65536,27999,1,4,11443,0,2,0,216.087890625,216.017578125,0,11852,105,85,6137,443,snowballstemmer,QmNWzNYqmGA2EQ7L6LgFF5gDbmQ121qWnoSHEzE8Vr124V
65536,28016,1,4,11003,0,2,0,216.087890625,216.017578125,0,11869,105,85,6137,443,sphinxcontrib-applehelp,QmdugZrjX8gftCsuficqHAZX2qd6kS7pTcGAgDezJsZwF3
65536,27803,1,4,10979,0,2,0,216.087890625,216.017578125,0,11656,105,85,6137,443,sphinxcontrib-devhelp,QmepSQviXAnVDLG7vDiapqRwTAxW8VimqdfLxkzhabc1tW
65536,28006,1,4,11516,0,2,0,216.087890625,216.017578125,0,11859,105,85,6137,443,sphinxcontrib-htmlhelp,QmXiV7xya9vfsqZButieVXhhiSDdFJSPLfsYXodQwzixPq
65536,27826,1,4,11255,0,2,0,216.087890625,216.017578125,0,11679,105,85,6137,443,sphinxcontrib-jsmath,Qmd7eZFegUKLazx8KpEX5jiTm5AT4QAFePSz6vDJjVDpkB
65536,27826,1,4,11175,0,2,0,216.087890625,216.017578125,0,11679,105,85,6137,443,sphinxcontrib-qthelp,QmQXvrBBgc8x92gfn2nR4gM4qPov8yhrWcfkj771iwzcR2
65536,27820,1,4,10797,0,2,0,216.087890625,216.017578125,0,11673,105,85,6137,443,sphinxcontrib-serializinghtml,QmXXsU8KSnN1CF8UvPjFxu4BB4LWknXk2pfTy8UaX2AArN
524288,278523,1,3,0,17,6,22,218.056640625,217.986328125,657787,106478,123017,85,34766,4596,sphinx,QmSV6EANmuRKnvePzFvuAVYRzXHnbzVJPhS7MDkWNvzQhz
65536,27989,1,5,11522,0,1,0,216.087890625,216.017578125,0,11842,105,85,6137,443,roman-numerals,QmUKisMfnoESMeCw7Pbq3x1BG7DrrL8LZ4Sj6wc34URFyA
131072,47398,1,4,0,1,1,1,218.056640625,217.986328125,72702,17245,7350,85,11914,1280,roman-numerals-py,QmRCbXvg1UA31pigbriXx94R1WZDiFzN64ovL4pAqQsUfH
524288,278523,1,3,0,17,6,23,218.056640625,217.986328125,642012,106478,123017,85,34766,4596,sphinx,QmXvpakRJH63McCofmhmTTwgpP1XZrAYycJSMKSBSF3Cbu
131072,66763,1,2,0,2,1,26,218.056640625,217.986328125,73999,22842,14567,85,17627,2109,sphinx-notfound-page,QmREstgVUSHyrgQNq5Jxopd2t9wUQyjsE7UE49We59V9P9
262144,98926,1,1,0,4,1,27,218.056640625,217.986328125,145627,33951,29079,85,23340,2938,pallets-sphinx-themes,Qmd7A6YBhQ9aASAwwRGatrN9pYVD9YHAoygruEJqfJvmZG
65536,27792,1,3,10849,0,1,0,216.087890625,216.017578125,0,11645,105,85,6137,443,cfgv,QmUQxedt9Tah617eKP7Y1jz5KKfszGMG18yLZGuYcwFjqs
65536,27586,1,3,11127,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,identify,QmcWz2x1cGzoE4ntax6gfTtBoYGRCNGg1XvGSRm7CTxBZj
65536,27992,1,3,11288,0,2,0,216.087890625,216.017578125,0,11845,105,85,6137,443,nodeenv,QmQmGgrLYptHm7FtdenBYAL2ziSdqgBES4RimUHm5EVvSX
65536,27972,1,3,11381,0,1,0,216.087890625,216.017578125,0,11825,105,85,6137,443,pyyaml,QmVFYA3mHu8d9Fb9JpigXN6Je48FsYHJUGonALCdxZ8niX
65536,27982,1,5,11063,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,distlib,QmUDYX8NXgmjVkGA45e1H7k1G6VrYQ5KLqxuvCfGtPpcFo
65536,27586,1,6,10739,0,3,0,216.087890625,216.017578125,0,11439,105,85,6137,443,filelock,Qmc9zAmYCMnZvh3uhFuaxPWbmYmD269E1oMv1pkbtBmtQY
65536,27809,1,6,11069,0,3,0,216.087890625,216.017578125,0,11662,105,85,6137,443,platformdirs,QmbxjWSondsxikhPUWAC9k8hVS1KJzKicqvgS3WwdtxyVp
131072,66721,1,5,0,2,2,2,218.056640625,217.986328125,109090,22800,14567,85,17627,2109,python-discovery,QmTHSSPiHBopcaW6ANh1tUUAHMfamF6NoHCCR7Lfoqpc2E
262144,111874,1,4,0,5,2,5,218.056640625,217.986328125,217756,39705,36257,85,23340,2938,virtualenv,QmSTcebafr72gWDP9khBzWRDxcT5QQ8knQqpkojWXP4Bh4
262144,111864,1,2,0,5,1,10,218.056640625,217.986328125,214872,39695,36257,85,23340,2938,pre-commit,QmPUPUWzUezrjMjaVx1RK9v6Mn71HVWtFTaXn7eHo7wv2J
65536,27973,1,2,11219,0,2,0,216.087890625,216.017578125,0,11826,105,85,6137,443,uv,QmcskGXZXDMdqYeWTwsBSpB5EUC3X7pPNqweSvLCDZYYUC
131072,66749,1,1,0,2,1,12,218.056640625,217.986328125,90351,22802,14593,85,17627,2109,pre-commit-uv,QmdwZrhjUTWskTBkG8bVFJFQgN1mBBsFJpAJwgo6z7G9mg
131072,66748,1,1,0,2,1,2,218.056640625,217.986328125,107553,22827,14567,85,17627,2109,pyright,Qmc4thBvGzygVZCdpGPpur4VrK7QHnuvPNaaKtHmtarA5t
65536,27779,1,2,11266,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,iniconfig,QmdBgtgp4K6jdymMTd3FQEmYzPhVX2JG5j3fKfDS2ee6XL
65536,27972,1,4,11562,0,2,0,216.087890625,216.017578125,0,11825,105,85,6137,443,pluggy,QmSHG1bVrwvohKB33Hq3pcehr7qfL1cn5jwAKLDpVBvCMg
262144,137447,1,1,0,7,1,8,218.056640625,217.986328125,278281,50818,50717,85,23340,2938,pytest,QmbjbtwQ37qa9zTjCdZj7vCLmh3Y9FkAAY1dyfFJGsdxWf
65536,27780,1,1,10914,0,1,0,216.087890625,216.017578125,0,11633,105,85,6137,443,ruff,QmZrxNrnJf9cLFBEDAYk8T5wjtzU9HfbRSEEiWZUATCkJf
131072,66742,1,2,0,2,2,4,218.056640625,217.986328125,90428,22795,14593,85,17627,2109,starlette,Qmd4Rtf1JrSvSWT7gz1SeJSZgmoVvo5AkcQmEozR4k9KHP
131072,79725,1,2,0,3,2,4,218.056640625,217.986328125,127142,28574,21797,85,17627,2109,uvicorn,QmYrvMTNLoHRT5Eb7p8To2if5NwgenbyDj2s8fhbueSbzh
131072,47571,1,2,0,1,2,4,218.056640625,217.986328125,55897,17431,7337,85,11914,1280,watchfiles,QmUgmTyhun7dGTK7MJsnmGyPpdhQ9217Z5oL1px2XYHogW
65536,27587,1,2,11915,0,2,0,216.087890625,216.017578125,0,11440,105,85,6137,443,websockets,QmTg9B4wKYofUSV3ht3zT3TAqa48GT67hB2pd5yJRuXEcU
262144,137267,1,1,0,7,1,35,218.056640625,217.986328125,224563,50638,50717,85,23340,2938,sphinx-autobuild,Qmc8S7gJJBCZkVJPicqeJ5D8fxcheAzteUPJi3C6jw6BZk
262144,137267,1,1,0,7,1,35,218.056640625,217.986328125,218490,50638,50717,85,23340,2938,sphinx-autobuild,QmUtTDBpM85RUWLvXok92XEA1m6ueByP8do1BUBpieWacT
262144,99062,1,1,0,4,1,26,218.056640625,217.986328125,164704,34139,29027,85,23340,2938,sphinx-tabs,Qmc6Aug54iXSdLcEx9y7dXZCGqUK8CGy6PodVQufFbVguL
131072,66776,1,1,0,2,1,26,218.056640625,217.986328125,74165,22829,14593,85,17627,2109,sphinxcontrib-log-cabinet,QmbT1i7b7gVUwfzGahbp6PcMs936BgrgRAvkPNoBuz2CL8
65536,27981,1,4,10855,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,cachetools,QmUHxFeL2Xr79vKbbtgABZQipVcpcfKbUYrmZy3ywxAr73
131072,66926,1,4,0,2,1,2,218.056640625,217.986328125,108330,23005,14567,85,17627,2109,pyproject-api,QmaxpUG9BwAodw7fr2vGFHNjjdzcnDUV9U4zZLspRC7ywU
65536,27982,1,4,11050,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,tomli-w,QmQjUUG6p8nsvdg8vYyJmmEKBbdgEu1JuRh55GeaKGY7zS
262144,207980,1,3,0,12,1,13,218.056640625,217.986328125,431475,78659,86867,85,29053,3767,tox,QmTNXJF5TzTGkJUT6aqyabHunzU317jffHYz7KiqZH3VSu
131072,79734,1,2,0,3,1,14,218.056640625,217.986328125,123868,28583,21797,85,17627,2109,tox-uv-bare,QmaUpnr6iNhoCawAheNE9pGpW1Nn5e299tUPG9Znb6G8C5
