total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27786,1,1,10786,0,1,0,216.087890625,216.017578125,0,11639,105,85,6137,443,async-timeout,QmNbV5CtQinFswN2NxWZcJ36uxKDddr2RCMkn8ApoMEh7n
65536,27983,1,6,10665,0,2,0,216.087890625,216.017578125,0,11836,105,85,6137,443,six,QmXHVmiog4eabwcCrG2Yoxkxczx38qwPVZeBFJm1yn6ZRK
131072,47357,1,1,0,1,1,1,218.056640625,217.986328125,73078,17217,7337,85,11914,1280,attrdict,Qmd4A5XAsLE7PJYvDeZPQLKEc6u8mskwUV9XedcTqi6CDu
65536,27991,1,1,11389,0,1,0,216.087890625,216.017578125,0,11844,105,85,6137,443,audioop-lts,QmXG6hQ1cq8NfsGWd2hfK4YxhHbYPLoRR3MfKHQUdZV8g6
65536,27818,1,1,11594,0,1,0,216.087890625,216.017578125,0,11671,105,85,6137,443,backports-datetime-fromisoformat,QmPARFtzgbu1e2gtRutae1tFSXkxcXmMyz29Xzuk8dzwMj
65536,27769,1,6,11518,0,10,0,216.087890625,216.017578125,0,11622,105,85,6137,443,click,QmWhqxh1WWuMLA2h4xaL4vwRGxZf6S31YWg8ksqsbLx4UC
65536,27768,1,6,11234,0,26,0,216.087890625,216.017578125,0,11621,105,85,6137,443,packaging,QmVJNVebeCtkSmEQvvU4R8Yba9LevcL8jvFtqsRZYi565m
65536,27767,1,2,11098,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,pathspec,QmRVPB1Tk1gcwiJnKB8vR4pGCkbethDMjwajxVbUBnq3rF
65536,27809,1,3,11530,0,3,0,216.087890625,216.017578125,0,11662,105,85,6137,443,platformdirs,QmdWQVnnYQm91MCU3aPh9PZZwvHtkDWRt5CcTqeUbckK1e
262144,111865,1,1,0,5,1,5,218.056640625,217.986328125,235948,39696,36257,85,23340,2938,black,QmS75DBqLPUCD4qsy2fhSqcCW6hTM9WHyhkK7Ez5j3drcM
65536,27767,1,1,11144,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,cdifflib,QmQeQRvXX2aSPTq9kv43SvE7TdPyKuUBo45LM2bG7MM8Zv
65536,27779,1,1,11560,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,contourpy,QmXsGPpF49svCy58qv2wM7UJQNcLzr7oxW9xLrWDms5WRW
65536,27779,1,1,11537,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,contourpy,QmX4BefdE2372NjPqE7XsLGgyJ9NDhwn1KGjPpPwK8tTnk
65536,27586,1,1,11034,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,coverage,QmeL7CVi2NdQ6LZGAzPSm7LcMmQT5cqi34xchMJ1DddsMF
65536,27768,1,2,11817,0,1,0,216.087890625,216.017578125,0,11621,105,85,6137,443,pywin32,QmZbnnCBtsw3d4FT7J9cFqLjYgmEL3SUHcw2fAZ7mBLHJt
131072,47408,1,1,0,1,1,1,218.056640625,217.986328125,73183,17255,7350,85,11914,1280,cuda-python,QmWEx6vfWYfoM4kyiyg1jJXn4woNQPt1rrb8kWCRB1s4BS
65536,27989,1,2,11109,0,2,0,216.087890625,216.017578125,0,11842,105,85,6137,443,cuda-bindings,QmXTkDhboWZNu1hmHoJvz6pttCLqHELv29ALvmhqwdqtpy
65536,27999,1,3,10864,0,3,0,216.087890625,216.017578125,0,11852,105,85,6137,443,cuda-pathfinder,QmbBhqKVuhcdxbbB7ZWQRUn48uqkMRjSTPf1rzTWaoaEGc
131072,66938,1,1,0,2,1,2,218.056640625,217.986328125,110201,23017,14567,85,17627,2109,cuda-python,QmQMNeJF4U9mZkP2jWaMEQtFqfEch4jP76uwrmgsaPR8uk
65536,27779,1,1,11394,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,diskcache,QmTWKBuSfhz7Uk5ga48a6eBe4UaTrzQ2RGbnVmKxpuEAKR
65536,27586,1,1,11566,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,docutils,QmapcPhk8J16ZAh3jZE4CQHKqpuKdDdZw8F1hS8wP92jq3
65536,27809,1,1,11413,0,1,0,216.087890625,216.017578125,0,11662,105,85,6137,443,editdistance,QmZjEuTViccQNVi1U9iTFqc8YLc8tmqgn4WuWTUuuzrk4i
65536,27989,1,1,11122,0,1,0,216.087890625,216.017578125,0,11842,105,85,6137,443,exceptiongroup,Qma1wQzdcQAgZJ295zkQKZGUGpKruPRMGokUUT423dJ3Cy
65536,27767,1,1,11258,0,1,0,216.087890625,216.017578125,0,11620,105,85,6137,443,greenlet,QmTayGifHV6fFzPgPBoG6RXtCowR9CtA1APrYcPD7rnSq3
65536,27586,1,1,11204,0,1,0,216.087890625,216.017578125,0,11439,105,85,6137,443,gunicorn,QmPfkpK8dyrKAGTfSB3vii9gd9LiKsHedXN5HcmL76iUzb
65536,27972,1,1,11043,0,1,0,216.087890625,216.017578125,0,11825,105,85,6137,443,hf-xet,QmeP9P6HRSHRNtgRuhpbHxfCvsEGaMjzoGfATjsHTTFMsD
65536,28006,1,3,11776,0,2,0,216.087890625,216.017578125,0,11859,105,85,6137,443,antlr4-python3-runtime,Qmf8cTdBtSxx3fhXGV3r1Pv91LCU8R4gbdQsVZh74jNoxH
