total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27779,1,3,11756,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,dnspython,QmPPrXqVuxAxPe2ftWo1TUDPCEFGDpCW5uE9KdDqfimbc5
65536,27972,1,3,11697,0,1,0,216.087890625,216.017578125,0,11825,105,85,6137,443,ifaddr,QmZTmy52YU8SzvyNxYPY8WVuTKb5yGr8CW9poX5g8WWWZC
131072,66919,1,2,0,2,1,2,218.056640625,217.986328125,109893,22998,14567,85,17627,2109,aioice,QmVuqzWGocJDZQbV4dD1nBkqVUNatGjAFTB4YVcoeB4VZE
65536,27973,1,2,11384,0,1,0,216.087890625,216.017578125,0,11826,105,85,6137,443,av,QmUw2GXmdCx3TWTF5DgCZGpxyxiejdsMn9w5XoNKj4y9pS
131072,66531,1,6,0,2,11,3,218.056640625,217.986328125,91700,22610,14567,85,17627,2109,cryptography,QmZ8csQmmYJLcpfbTqzKiTHcASoormt5urDqZ4Y94A4XD6
65536,27786,1,4,11655,0,3,0,216.087890625,216.017578125,0,11639,105,85,6137,443,google-crc32c,QmVMGdhiiLHhH5ThrV1QC3NuovVr8fhbB3otaSzzuHamXy
131072,47167,1,2,0,1,1,1,218.056640625,217.986328125,73737,17027,7337,85,11914,1280,pyee,QmTmXq5AdKAiEUqoLXequafxekTnrYzpnxGbPip11u7ss9
131072,47382,1,2,0,1,1,2,218.056640625,217.986328125,57282,17229,7350,85,11914,1280,pylibsrtp,QmZ1ZNHzFkz2aZUHjC6NCdyXGb4makoFCe7tf97NJ7A2r4
131072,66918,1,2,0,2,1,4,218.056640625,217.986328125,92031,22997,14567,85,17627,2109,pyopenssl,QmNecviwTFDPDEoNpZpbQEhpKNQYSWbPrmfJcf9nzzt11g
262144,137457,1,1,0,7,1,12,218.056640625,217.986328125,218714,50828,50717,85,23340,2938,aiortc,QmRC1kDnSQbgQuZoA5kSeM3BJB9YnPg5vu6JsBZ1Z3vkJ9
131072,79705,1,4,0,3,8,3,218.056640625,217.986328125,127621,28554,21797,85,17627,2109,anyio,QmejwQXNY4E9Csr4u6se6qUitFsmd33zKzxQBeFo2s6F7h
65536,27972,1,3,11533,0,3,0,216.087890625,216.017578125,0,11825,105,85,6137,443,distro,QmWvtLXPAgV8xHJU4vhaqN3LaLV3Xqj4vDTicoWrWzV4Hk
65536,27769,1,5,11145,0,1,0,216.087890625,216.017578125,0,11622,105,85,6137,443,hpack,QmdfDMhZ6W3RzhVo1Do4Ks7es2HQcqXqNSMW9g3nXgCjmE
65536,27981,1,5,10964,0,1,0,216.087890625,216.017578125,0,11834,105,85,6137,443,hyperframe,QmZi1eVgmv528QfVXCcZwozovoSn8bPhrd8WjFhqP7dF6U
131072,66900,1,4,0,2,1,2,218.056640625,217.986328125,107716,22979,14567,85,17627,2109,h2,QmeDaV5JH2LP7QhNzcLuU2Eicw6ekSRdRyyVWd48JFEqPa
262144,111855,1,3,0,5,9,10,218.056640625,217.986328125,184926,39686,36257,85,23340,2938,httpx,QmPLEQooxKTMCrQ8USHdFJJBiybWHpWn8HVwVAq63siqYK
65536,27972,1,3,11187,0,2,0,216.087890625,216.017578125,0,11825,105,85,6137,443,jiter,QmT8C7WAdBWGgN9c58U1Su3GESNGHoAkPjEFS6c1fDZ9Mj
131072,47579,1,5,0,1,1,1,218.056640625,217.986328125,72640,17439,7337,85,11914,1280,pydantic-core,QmSjZXo9PMz7v6KdqDV8knwVSANktWKTUpmmNMbCDwZH1F
262144,98911,1,4,0,4,14,4,218.056640625,217.986328125,164071,33936,29079,85,23340,2938,pydantic,QmPUPVczJgGD6noghhhd7KzagS7B6SiEo3HXExMrzPgQJL
65536,27982,1,3,10879,0,2,0,216.087890625,216.017578125,0,11835,105,85,6137,443,sniffio,QmRMqV7T72A3KwGZmkoRrXj9aTRwKyALfx1NVcCqaWSZz7
262144,156794,1,1,0,8,1,19,218.056640625,217.986328125,290747,56393,57947,85,29053,3767,anthropic,Qme9f9ZBXskpZ5zPM1PQ9MqzgFJeZY7n9uWUgBG3HPGNce
65536,27997,1,6,11555,0,1,0,216.087890625,216.017578125,0,11850,105,85,6137,443,charset-normalizer,QmabjbigH9VPF74nXWgT8bMCMQG4HZ2dEum7BBSLw1uZba
262144,98657,1,5,0,4,17,4,218.056640625,217.986328125,201739,33734,29027,85,23340,2938,requests,QmeueSS7526GUhHAFgR1hojMibi9WwgoUn14Hd9b4Zt35X
131072,79705,1,2,0,3,1,6,218.056640625,217.986328125,125494,28554,21797,85,17627,2109,docker,QmZaRTBJsSx6gMdEkjQdXESEeWrFdZ9rrH22tY1t5dKi9q
65536,27972,1,4,11511,0,19,0,216.087890625,216.017578125,0,11825,105,85,6137,443,numpy,QmY2PnhMjfAxBLaVw5eFZZYiWn9ZHtnghwBvBgjq8SRHwk
131072,47372,1,2,0,1,1,1,218.056640625,217.986328125,73283,17219,7350,85,11914,1280,flaml,QmQsp5s7SKviABZh18Xy2cupGgN5Y5RvNV96PcQTZXti63
131072,47167,1,5,0,1,6,1,218.056640625,217.986328125,72795,17027,7337,85,11914,1280,tqdm,QmYPvEkuPJfJ9FXbsN3v3sNi6v3kN3cgWgKeRorUznVPCg
262144,156795,1,2,0,8,1,20,218.056640625,217.986328125,272307,56394,57947,85,29053,3767,openai,QmcrxDLKSdVGMALPtwicZXxiGTpicqYpJmA3MDY7EH62ZA
65536,27779,1,2,11329,0,1,0,216.087890625,216.017578125,0,11632,105,85,6137,443,termcolor,Qmf3DigwEHMPZMkkoq2DTqkimBTz6NG4YYobHXU6i5zkRU
65536,27779,1,3,11403,0,2,0,216.087890625,216.017578125,0,11632,105,85,6137,443,regex,QmeiGwpYPhDGLVYw91ty9EMJutkxhW3ttr6T44JgwEU5VH
131072,66523,1,2,0,2,1,6,218.056640625,217.986328125,92718,22602,14567,85,17627,2109,tiktoken,QmV7scYUV64R3FiuLcYe2KVAVipXFoRo2aSxvA6BLM1fhy
262144,182402,1,1,0,10,1,34,218.056640625,217.986328125,321398,67541,72407,85,29053,3767,autogen-agentchat,QmPAowzR8Vt9tZAmyF4wvbP6vdGegfn9wvbUmje9kJ53Pe
131072,66928,1,3,0,2,9,6,218.056640625,217.986328125,91958,23007,14567,85,17627,2109,azure-core,QmYXEJNwS57i7BgefvoaJAYiRSphCCwyRw6V7U3nu4NVQy
65536,27982,1,3,10905,0,7,0,216.087890625,216.017578125,0,11835,105,85,6137,443,isodate,QmX9ebnzN1PQzCoH4Q13pmkfRbP2SkVMtkusgxjAzNop8S
131072,79750,1,1,0,3,1,8,218.056640625,217.986328125,126239,28599,21797,85,17627,2109,azure-ai-inference,QmPALAP4Mhu9rCcE8DempKwwKCdmTk5o5y4u1AMWPa8YSm
131072,79560,1,2,0,3,1,8,218.056640625,217.986328125,125753,28409,21797,85,17627,2109,azure-ai-agents,QmXpfkeUHBC3ZwbU4QXcEAHZX6M3AshHkZJt8XuFtPVae3
262144,99088,1,2,0,4,1,11,218.056640625,217.986328125,165291,34165,29027,85,23340,2938,azure-storage-blob,QmPozfwkMdYiSBzNa3q89NY7PHLYN38XktGov9i71DMRaA
262144,111743,1,1,0,5,1,13,218.056640625,217.986328125,183453,39509,36322,85,23340,2938,azure-ai-projects,QmUDdz1vTXSHXvcKGKDwJMA5kGKKMVGmYW4DunWY7YSjVY
131072,66934,1,5,0,2,7,3,218.056640625,217.986328125,91913,23013,14567,85,17627,2109,opentelemetry-api,QmVGdKinxDBUf6cWGBdpVLQcGDWkv3oGaDiEBf9gsHAX8o
131072,66586,1,1,0,2,1,10,218.056640625,217.986328125,73063,22639,14593,85,17627,2109,azure-core-tracing-opentelemetry,QmfX2Sz8u3bdTVSFUfNiDPRkThi1ebgUgW314d1MZPiSwt
131072,66531,1,1,0,2,1,7,218.056640625,217.986328125,90856,22610,14567,85,17627,2109,azure-cosmos,QmRuaezbkRPv7Qr4hzQ5bykeN7pbyKH3oAPQ2t7xwMwczZ
131072,47562,1,4,0,1,3,4,218.056640625,217.986328125,56071,17422,7337,85,11914,1280,pyjwt,QmYCYnJiKiKGLKVQngefh3EqVrGXyU6h5ZhYuZbkxbjFmc
131072,79310,1,3,0,3,2,10,218.056640625,217.986328125,93961,28159,21797,85,17627,2109,msal,QmPYnq5jVB8Q3iLwHJqPNF2ub3VTVqEsSzj7odCwexdx45
131072,47589,1,2,0,1,1,11,218.056640625,217.986328125,56105,17449,7337,85,11914,1280,msal-extensions,QmbRbtm4Ys8i1aRjpfV3mehB6gJfrMRdmLF6hRPNppmaYT
262144,111882,1,1,0,5,1,13,218.056640625,217.986328125,165911,39713,36257,85,23340,2938,azure-identity,QmZ8hFtjqzWw2hfoNghQvuK3KMuccdaCBB8VcFwLUZbiYr
65536,27594,1,2,11530,0,1,0,216.087890625,216.017578125,0,11447,105,85,6137,443,azure-common,QmRsELzwtRj2uzjvzw7Ro2vWXVLCo6Fvj2rUsnqAF6cgXj
262144,98691,1,1,0,4,1,9,218.056640625,217.986328125,181897,33768,29027,85,23340,2938,azure-search-documents,Qma7SrvbtU6iQ5rKrAQi7bLvKRgU1Kt7NPR2abR4re9pb3
65536,27767,1,4,10844,0,2,0,216.087890625,216.017578125,0,11620,105,85,6137,443,jmespath,QmWE2CHDcVpDuUyGaHmaZKATWm1XR7R9jMH563TMennWrt
131072,79560,1,3,0,3,2,4,218.056640625,217.986328125,127818,28370,21836,85,17627,2109,botocore,QmYQdM74ehj7gbyLPkX5gYajHLA3v4NUCbN34ERotZvNCw
131072,47581,1,2,0,1,1,5,218.056640625,217.986328125,56976,17441,7337,85,11914,1280,s3transfer,QmVwatLRgchVza2jDzykB4DURG6swtbDJo6CjDGefQiXZQ
131072,79715,1,1,0,3,1,6,218.056640625,217.986328125,109453,28564,21797,85,17627,2109,boto3,QmaGTgXGCgGbtTrKZuCiHo42GiGtCSCSFxiHvebkpFTnxE
65536,27999,1,3,11387,0,1,0,216.087890625,216.017578125,0,11852,105,85,6137,443,pyproject-hooks,QmefTFF2V897H6RrvceEtc2UWzzDteyGDPNeP1zvTc9okL
65536,27769,1,3,10794,0,4,0,216.087890625,216.017578125,0,11622,105,85,6137,443,tomli,QmbcbrsHiTApq2TV7pCkk84aSkhGjpThv68ThnWxmCnReJ
262144,111717,1,2,0,5,1,6,218.056640625,217.986328125,215394,39483,36322,85,23340,2938,build,QmeZ4UC6Xx6ht1Wz1DN8TtJWiDCPR6RSPPt5XJwp99AcjQ
131072,47572,1,7,0,1,12,1,218.056640625,217.986328125,73093,17432,7337,85,11914,1280,grpcio,Qmcausq3CSsriTZRLKc584mZjzA4JQ2KsifMiRNz5UbKY3
65536,28007,1,2,11113,0,1,0,216.087890625,216.017578125,0,11860,105,85,6137,443,importlib-resources,QmNZ4H7Fr7kmMQdztSJCR5n2UMLLL9PpCt9GCtRTp1xAbd
65536,27972,1,7,11430,0,3,0,216.087890625,216.017578125,0,11825,105,85,6137,443,attrs,QmbsJ66CxfyYBmYoyDyGBRWSbiDE25hsLWvTq7eHMPuKD5
131072,79734,1,6,0,3,3,3,218.056640625,217.986328125,143968,28583,21797,85,17627,2109,referencing,Qmbh2uDHGX7eBjhgq6ECLTmKg2Rwx1N3NK1L6wYTWTF9ug
