total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
131072,66953,1,11,0,2,3,2,218.056640625,217.986328125,109504,23006,14593,85,17627,2109,call-bind-apply-helpers,QmfKMY9sEQkyHF547fDR7FGqpeN5iCMthZrVQhrjsh8fLn
131072,79555,1,10,0,3,1,4,218.056640625,217.986328125,124515,28365,21836,85,17627,2109,dunder-proto,QmdmHLSAezss6Lq35v3DKoBZTDMnWjYrMAcbjYqmraVKhN
131072,66881,1,9,0,2,1,6,218.056640625,217.986328125,75804,22960,14567,85,17627,2109,get-proto,QmWtFgcaJSxsPJbBYwoLgtrh1FCskEazLukjUvjzkFHJfx
262144,182390,1,8,0,10,3,11,218.056640625,217.986328125,339326,67529,72407,85,29053,3767,get-intrinsic,QmUdedNYr4FBauevb66S59MATkCjj7KXXjmBqT4DaJBiSH
131072,66700,1,7,0,2,2,12,218.056640625,217.986328125,73951,22779,14567,85,17627,2109,call-bound,QmYLXDnYAQxEsYS8mnuZexN4MWxvSwDjYMu3j1EsF5Kv59
262144,98881,1,6,0,4,2,14,218.056640625,217.986328125,162628,33906,29079,85,23340,2938,side-channel-map,QmbLpHeWanuCGDpoFXWWJyrCUhpycDymqpjgWmhuHLjMtG
262144,111731,1,4,0,5,1,17,218.056640625,217.986328125,182234,39497,36322,85,23340,2938,side-channel,QmaL5E5xDZJsBE6yE8PAupXPnfXkPox3E4FKbWePcZhQbJ
131072,47372,1,3,0,1,2,18,218.056640625,217.986328125,55921,17219,7350,85,11914,1280,qs,QmP4jLskSvUwcVPfuvAhqZ1m19NoKWkpPAKxBn1Q5myWp4
262144,169691,1,2,0,9,1,39,218.056640625,217.986328125,254464,61943,65294,85,29053,3767,body-parser,QmchezKY7nMr31XTQkoX5SjJa5vApSBeKbEoFDqEdGq8GS
524288,419627,1,1,0,28,1,64,218.056640625,217.986328125,838776,167688,202911,85,34766,4596,express,QmdveuRFjmefEtjpxAyDSp7V2XYzTqaMwJy5CKZrKDgxJ6
131072,47328,1,0,0,1,0,65,218.056640625,217.986328125,55670,17188,7337,85,11914,1280,express,QmbEREqPGPXqMx9EwRfq72xPsLo2snXmaHcjYHYFVuJMyn
