total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27966,5,78,0,1,0,216.087890625,216.017578125,mime-db,QmSFC7L6feKY4ecxgETrKGH4oBXnsvPpWk58E4B5KVxfbt
131072,47353,4,79,1,4,1,218.056640625,217.986328125,mime-types,QmXftQJnn4t689mEbL3yWr5F4td52R1esgYRWnuhhedj7c
65536,27763,3,77,0,1,0,216.087890625,216.017578125,negotiator,QmNTsi4UaKHvNzaQW6ShdNkicVniRhpx3uM6bppojC7Upw
131072,66919,2,77,2,1,3,218.056640625,217.986328125,accepts,QmSv4TR6JZvJY4K1FyQoVYELp1u6Po9iAsHyCcdPA8Jbh2
65536,27968,4,78,0,2,0,216.087890625,216.017578125,bytes,QmZPkPZhHQy2ZEy7sUvLn5BBBCpzN4DbVJP3JnvnPQeaaU
65536,27783,4,79,0,3,0,216.087890625,216.017578125,content-type,QmWeyksWpCmaS5eWLotxydfUEcfSUZ2AAf5aBGwwBachfe
65536,27783,4,77,0,3,0,216.087890625,216.017578125,content-type,QmXgARRZ9veQVfdJ5KkU1EtD4KSx23wmy9eBk4aCfzMS7Z
65536,27745,5,77,0,2,0,216.087890625,216.017578125,ms,QmV2zpCpHgx9G2RyzQqSSzfSDszAYeM3Ci3NLEp2rxTE37
131072,47558,4,77,1,5,1,218.056640625,217.986328125,debug,QmdGtRVt5H4xDdv51juugkZ2sub2p6EPa2gaU5iqWpWD8j
65536,27766,5,77,0,4,0,216.087890625,216.017578125,depd,QmRtv67EnsPFZK5ZSRPYx3tFC8LgARLei394Mz1wk3aHpV
65536,27741,5,77,0,2,0,216.087890625,216.017578125,inherits,QmcQFuMbrBusyhUY515P9aXWoQwkEM7v3h7rjW3zxFP1oC
65536,27770,5,77,0,2,0,216.087890625,216.017578125,setprototypeof,QmYopFZPteRHEFV9MMERrshPC2EMRBdhjGWZW4dM9N4KHA
65536,27741,5,77,0,5,0,216.087890625,216.017578125,statuses,QmVuuMr8SKraLJCrnD11jAC1ZjYYiEDrCk9W7KUojdeDKE
65536,27741,5,35,0,5,0,216.087890625,216.017578125,statuses,QmVhYTXvokDsHeTTqfv6quNaJzWnZ2iyZEcBgWnNsUdLWk
65536,27783,5,36,0,2,0,216.087890625,216.017578125,toidentifier,QmTPPSb6hBFMvV9wgFvQ5uwMHUYmx9hv2cRvrsqVo5xwg7
262144,124722,4,81,6,4,6,218.056640625,217.986328125,http-errors,QmNeGRfCEPTCV9HApZLRpdkvoJ6ZwTGyUg1Tcg9tEabXzZ
262144,124722,4,77,6,4,6,218.056640625,217.986328125,http-errors,QmeiCaB1jmk9Yu6XUBFyLrpTNugdaLpmuPjPDFupAxJUyf
65536,27783,5,80,0,1,0,216.087890625,216.017578125,safer-buffer,QmV5DsdZ4VhZxuzoSTM22kLWmeYasgspL2nRbJqBwdJ8Z6
131072,47353,4,87,1,2,1,218.056640625,217.986328125,iconv-lite,QmZb9SSpoFLAcM2dkRSZ2pvcNcDXUb2zXCB7cupg2dTXHd
65536,27741,5,77,0,1,0,216.087890625,216.017578125,ee-first,QmXmUnFhgtTP1FaPZx2Za9YAwSsC5qYPzwdun7uEtxHqv9
131072,47568,4,83,1,4,1,218.056640625,217.986328125,on-finished,QmUM6bBY6iUzwtH4ypQCM1wQXMnFVZWhLyX6rRffLSoJ6J
65536,27944,11,78,0,7,0,216.087890625,216.017578125,es-errors,QmdYoPtDKPuTumP8TmBjR7E91MNghESWQqghuLABdtagEY
65536,27985,11,75,0,4,0,216.087890625,216.017578125,function-bind,QmdrYYfWDAWocJVMmi3mydMQfLVkJb62C77asqHdeMUnyF
131072,66953,10,76,2,3,2,218.056640625,217.986328125,call-bind-apply-helpers,QmajzLygrgAPeQ9Z3WYQ5KgDTr3EZ3Y2TcZ6Ph56HPdPAh
65536,27779,8,77,0,4,0,216.087890625,216.017578125,es-define-property,QmQcZcwHbZh5wkeyAi7AL52Poh5MjrMeLLNkVmPDwYcoXS
131072,47576,9,76,1,2,1,218.056640625,217.986328125,es-object-atoms,QmYcH7S3pP1DFiJtXqcoFcPUoxymnBgWFTReriMaevvncz
65536,27766,10,76,0,4,0,216.087890625,216.017578125,gopd,QmfLNP2oZsjGQXmGpG2vFFoqrqXhf8F4sNuKffE4ttTmJG
131072,79555,9,76,3,1,4,218.056640625,217.986328125,dunder-proto,QmUhP2CYyv7iHzUL97bmuuivFe9tNMk4j81TxGjjfdNsjZ
131072,66881,8,76,2,1,6,218.056640625,217.986328125,get-proto,QmeVskGtNvvxABAD54HHbpBhwvsXCC2rW26yW35cb5QaDN
65536,27965,8,76,0,1,0,216.087890625,216.017578125,has-symbols,Qmc213vqxemFpCVcsCpBLvsVZ2sNQkaAxdFEbq7nQxZ7s1
131072,47343,8,76,1,1,1,218.056640625,217.986328125,hasown,QmfXedp96pwcZKqdzyDoQHG7ZLHsiy1cGM3NxS9YrrVMBa
65536,27973,8,96,0,1,0,216.087890625,216.017578125,math-intrinsics,Qme94twyPt2QmMvnQsutMQtKqiYzM6P9XfDptqFnivbxez
262144,182390,7,82,10,3,11,218.056640625,217.986328125,get-intrinsic,QmRhHaVGadfgEPcmdZs2sg5JPrBMsfRcgg9s7uzSRiZdpH
131072,79572,7,77,3,1,3,218.056640625,217.986328125,define-data-property,QmVg3WQeCbuEBRTZtRBbETfk5LW1AXq3SwqjkCw9KMc44c
131072,47378,7,77,1,1,1,218.056640625,217.986328125,has-property-descriptors,QmeBzc4vqKL2ExdyuXmR3JcCAQphWKPtRtjw6QPxN8jFN6
262144,124738,6,77,6,1,14,218.056640625,217.986328125,set-function-length,QmbBxUwzPtFhbsaqgmVTYBHmuLZqRAM1JZMPKnBYgtLfn1
262144,99015,5,76,4,1,15,218.056640625,217.986328125,call-bind,QmVT8mC9c1QfAV4fcVpVjgB7V5v2dTDEpEjZmw8egbv2Qu
65536,27973,5,76,0,1,0,216.087890625,216.017578125,object-inspect,QmQ2JVitej2uJmMXDDQGVUtXnf1EuSseBgXCDifgZgpeTs
