total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27949,3,72,0,1,0,216.087890625,216.017578125,pycparser,QmTS43YZG4LKRTZQLGFvFMkNbCzq39aM3rjjB78Ye4fD9X
131072,47382,2,71,1,1,1,218.056640625,217.986328125,cffi,Qme6Chg3FNyDXgjR8pnjVRGerqiHUhc9Zib9M2799M6nKg
65536,27997,5,77,0,10,0,216.087890625,216.017578125,typing-extensions,QmdZ6HWhshnqT3qZqi4gweyq7VwZmkq8g9d84WXyt2rvGG
131072,66531,1,78,2,1,3,218.056640625,217.986328125,cryptography,Qma7oU9WerKWnGKGxcfdKLfX5GeojZWuZBBjY8xGryjjJd
131072,47582,2,76,1,1,1,218.056640625,217.986328125,asgiref,QmfJfhf1zBb4jooEwNDWcKxc9yDtccJFFx6vcmVAANBXMa
65536,27982,2,76,0,1,0,216.087890625,216.017578125,blinker,QmUP8wqoSmB51KxcCKLcFBGpBMN4mSAgQptr7xNjngpqqr
65536,27767,4,76,0,7,0,216.087890625,216.017578125,colorama,Qmc6EXQhCKceG3DCeUVJeC1B6orqZjgJHSE6sjEzawTgsD
131072,47372,3,77,1,3,1,218.056640625,217.986328125,click,QmaBrFJeZ7PPGekjjgV9nBFLDwrwDT2v5Q1mjom3zZ7XH4
65536,27809,2,76,0,1,0,216.087890625,216.017578125,itsdangerous,QmVvZaBYzRJWg4VHrAHinPyfvooqGRZqv1S1U1kJTHiYZk
65536,27981,5,77,0,3,0,216.087890625,216.017578125,markupsafe,QmSj4tMfc7KuFej8o1wfwVjR99ZYvg7sav4wsWxPMTLMM1
131072,47562,4,77,1,3,1,218.056640625,217.986328125,jinja2,QmbmoWbf2kr6j3g8V1EXCiRukaFK8NyzQTMWYdKmLipcpi
65536,27786,2,78,0,1,0,216.087890625,216.017578125,python-dotenv,QmSNQESQiky1ioVEya8fZBPJnYE6NVPuGU9EzbcLJPBeo8
131072,47357,2,78,1,1,1,218.056640625,217.986328125,werkzeug,QmcyNEzpqAvgFHE57GXRHnqPqu5VHx88iBigQ4wTedxprs
262144,156794,1,77,8,1,10,218.056640625,217.986328125,flask,QmSMf34C9xyNeoEVTuavnE8JE1CwKVw3jfJuzhufXPJne6
131072,47579,4,77,1,2,1,218.056640625,217.986328125,exceptiongroup,QmZpJePrBzz9bBNS74u7JwEjCJLSwsfn4AJtErwfZQizCg
65536,27590,5,79,0,3,0,216.087890625,216.017578125,idna,QmQNshyyo2oj2f8qEqcTw21jx9ENboJvSTaQz5afvUFWWG
131072,79705,3,79,3,3,3,218.056640625,217.986328125,anyio,QmcwS7BfN8erBxaaBnYggQ8cxpQkNVVESUW1hG1DUpyMcK
65536,27991,5,77,0,3,0,216.087890625,216.017578125,certifi,QmNwrfHje6S2NcZUXkJhrj7wTR7n221rJmMBX9Yfy46bFp
65536,27983,4,78,0,2,0,216.087890625,216.017578125,h11,QmU2PoBJnFb9wu7A5wCMAvLifD1GLHX5ZMdAR3GLPxxgyk
131072,66704,3,80,2,1,2,218.056640625,217.986328125,httpcore,QmS5J9z1t74CaYgMDoPRL6KFhPPbQg65hqt6ZVd2s4S3JC
262144,99043,2,84,4,1,7,218.056640625,217.986328125,httpx,QmUK4G5vXeQ2BtgvUAL2AJEAsEndMHxiFZsNNYHYM4hGTy
131072,66918,1,79,2,1,10,218.056640625,217.986328125,gha-update,QmSgJb4dwoNi982bYFsZncBRV1Ba2nBssxYbacYZijeov7
65536,27769,2,77,0,1,0,216.087890625,216.017578125,librt,QmajdK6joQZNbo9QbfG8M7eMZf9qUTMGwawRxCuuWZ5HcX
65536,27999,2,77,0,1,0,216.087890625,216.017578125,mypy-extensions,QmYimawGpv9LRBktxFsfVNhTsf7vgYWXNz6b3PTeZb72Au
65536,27767,2,81,0,1,0,216.087890625,216.017578125,pathspec,QmXWdDGXFR3QsDh1iJq3BhxwbzJGrLGHCJMWr1V6f9pSsn
65536,27769,5,77,0,6,0,216.087890625,216.017578125,tomli,QmYraQwZmcGpxrEhJfSaj22vJC7gSL3DKx9kEHdEHDQ3QM
262144,111460,1,77,5,1,5,218.056640625,217.986328125,mypy,QmSBhXVpoDeJmQSdhJj5mK9f6NkDQN1Br8YC48KwLequKY
65536,27768,5,76,0,7,0,216.087890625,216.017578125,packaging,QmaqrM9zVNpGM1y1mqRSWushvx411vqrLwTmFcNjE2X8WX
65536,27779,4,76,0,2,0,216.087890625,216.017578125,alabaster,QmR6zqJecJQhPshdVfNvKrYvtZHL3bsxkt4GfKbPQsfFC5
65536,27972,4,76,0,2,0,216.087890625,216.017578125,babel,QmbYRZcBRD4QQot95CkLASi1btAjg8d81TFKdUEWwWb4Cn
65536,27586,4,77,0,3,0,216.087890625,216.017578125,docutils,QmbrFszEW6PLma7GVwVokvLmhW9XMFwNubgaZLb7VCof8W
65536,27779,4,76,0,2,0,216.087890625,216.017578125,imagesize,Qmb4EXYFNTD94Pwmj4pEzugituH1bC8SYCsqNjb4gz1fmF
65536,27586,4,76,0,4,0,216.087890625,216.017578125,pygments,QmZvp6tKzgtxQogB7RRpwS3oEQm98H3GVwxWcntncKxxxu
65536,27997,5,76,0,1,0,216.087890625,216.017578125,charset-normalizer,QmZxQh1NnPMb4NQJRdwjsaDeaCk8rZw3BRGfGorvTC18ez
65536,27982,5,76,0,1,0,216.087890625,216.017578125,urllib3,QmcSgKyip69hZfrnNsfo7zwBSiUgyWaWxw2Ft1SHPjRVkd
262144,98657,4,77,4,2,4,218.056640625,217.986328125,requests,QmQJcz7qvDNyCXLWfcRotZrmWUX4zFm3VcNVnRK4DQy4VM
