total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27786,1,35,0,1,0,216.087890625,216.017578125,async-timeout,QmNbV5CtQinFswN2NxWZcJ36uxKDddr2RCMkn8ApoMEh7n
65536,27983,6,33,0,2,0,216.087890625,216.017578125,six,QmXHVmiog4eabwcCrG2Yoxkxczx38qwPVZeBFJm1yn6ZRK
131072,47357,1,77,1,1,1,218.056640625,217.986328125,attrdict,Qmd4A5XAsLE7PJYvDeZPQLKEc6u8mskwUV9XedcTqi6CDu
65536,27991,1,77,0,1,0,216.087890625,216.017578125,audioop-lts,QmXG6hQ1cq8NfsGWd2hfK4YxhHbYPLoRR3MfKHQUdZV8g6
65536,27818,1,77,0,1,0,216.087890625,216.017578125,backports-datetime-fromisoformat,QmPARFtzgbu1e2gtRutae1tFSXkxcXmMyz29Xzuk8dzwMj
65536,27769,6,77,0,10,0,216.087890625,216.017578125,click,QmWhqxh1WWuMLA2h4xaL4vwRGxZf6S31YWg8ksqsbLx4UC
65536,27768,6,76,0,26,0,216.087890625,216.017578125,packaging,QmVJNVebeCtkSmEQvvU4R8Yba9LevcL8jvFtqsRZYi565m
65536,27767,2,76,0,1,0,216.087890625,216.017578125,pathspec,QmRVPB1Tk1gcwiJnKB8vR4pGCkbethDMjwajxVbUBnq3rF
65536,27809,3,77,0,3,0,216.087890625,216.017578125,platformdirs,QmdWQVnnYQm91MCU3aPh9PZZwvHtkDWRt5CcTqeUbckK1e
262144,111865,1,77,5,1,5,218.056640625,217.986328125,black,QmS75DBqLPUCD4qsy2fhSqcCW6hTM9WHyhkK7Ez5j3drcM
65536,27767,1,77,0,1,0,216.087890625,216.017578125,cdifflib,QmQeQRvXX2aSPTq9kv43SvE7TdPyKuUBo45LM2bG7MM8Zv
65536,27779,1,77,0,1,0,216.087890625,216.017578125,contourpy,QmXsGPpF49svCy58qv2wM7UJQNcLzr7oxW9xLrWDms5WRW
65536,27779,1,77,0,1,0,216.087890625,216.017578125,contourpy,QmX4BefdE2372NjPqE7XsLGgyJ9NDhwn1KGjPpPwK8tTnk
65536,27586,1,77,0,1,0,216.087890625,216.017578125,coverage,QmeL7CVi2NdQ6LZGAzPSm7LcMmQT5cqi34xchMJ1DddsMF
65536,27768,2,79,0,1,0,216.087890625,216.017578125,pywin32,QmZbnnCBtsw3d4FT7J9cFqLjYgmEL3SUHcw2fAZ7mBLHJt
131072,47408,1,80,1,1,1,218.056640625,217.986328125,cuda-python,QmWEx6vfWYfoM4kyiyg1jJXn4woNQPt1rrb8kWCRB1s4BS
65536,27989,2,81,0,2,0,216.087890625,216.017578125,cuda-bindings,QmXTkDhboWZNu1hmHoJvz6pttCLqHELv29ALvmhqwdqtpy
65536,27999,3,77,0,3,0,216.087890625,216.017578125,cuda-pathfinder,QmbBhqKVuhcdxbbB7ZWQRUn48uqkMRjSTPf1rzTWaoaEGc
131072,66938,1,80,2,1,2,218.056640625,217.986328125,cuda-python,QmQMNeJF4U9mZkP2jWaMEQtFqfEch4jP76uwrmgsaPR8uk
65536,27779,1,85,0,1,0,216.087890625,216.017578125,diskcache,QmTWKBuSfhz7Uk5ga48a6eBe4UaTrzQ2RGbnVmKxpuEAKR
65536,27586,1,82,0,1,0,216.087890625,216.017578125,docutils,QmapcPhk8J16ZAh3jZE4CQHKqpuKdDdZw8F1hS8wP92jq3
65536,27809,1,85,0,1,0,216.087890625,216.017578125,editdistance,QmZjEuTViccQNVi1U9iTFqc8YLc8tmqgn4WuWTUuuzrk4i
65536,27989,1,84,0,1,0,216.087890625,216.017578125,exceptiongroup,Qma1wQzdcQAgZJ295zkQKZGUGpKruPRMGokUUT423dJ3Cy
65536,27767,1,78,0,1,0,216.087890625,216.017578125,greenlet,QmTayGifHV6fFzPgPBoG6RXtCowR9CtA1APrYcPD7rnSq3
65536,27586,1,78,0,1,0,216.087890625,216.017578125,gunicorn,QmPfkpK8dyrKAGTfSB3vii9gd9LiKsHedXN5HcmL76iUzb
65536,27972,1,77,0,1,0,216.087890625,216.017578125,hf-xet,QmeP9P6HRSHRNtgRuhpbHxfCvsEGaMjzoGfATjsHTTFMsD
65536,28006,3,78,0,2,0,216.087890625,216.017578125,antlr4-python3-runtime,Qmf8cTdBtSxx3fhXGV3r1Pv91LCU8R4gbdQsVZh74jNoxH
131072,66742,2,78,2,2,2,218.056640625,217.986328125,omegaconf,Qmd8i7kQbAeJe3aWts1VHCjZPj1aQedKorcMmjigsAY2iX
131072,79714,1,78,3,1,4,218.056640625,217.986328125,hydra-core,QmS1s4Ah8dbG5JKv17HG2bmQFrLbA8xTe8w1ccV6tGMJ8X
65536,27999,2,77,0,2,0,216.087890625,216.017578125,more-itertools,Qmb2Dmw23Xp5KJVc1qUUDfGTwXDLBatNyuxr66ErsmSZDi
131072,47382,2,77,1,1,1,218.056640625,217.986328125,typeguard,QmWLBcuVZdrPpQt7w6EGa6AkjGXZgtcsJ59tpKzrvDPosh
131072,66919,1,77,2,1,3,218.056640625,217.986328125,inflect,Qmd5sydHZZU3k5xsdFvMeCCjKwjCr4CPqZ7bU2cE8ezTXJ
65536,27992,1,77,0,1,0,216.087890625,216.017578125,ipython,QmVMTwiWfvewAj8nw7G9Bo4Rs2TB2znKqxsmqWWyfND7Ys
65536,27992,1,77,0,1,0,216.087890625,216.017578125,ipython,QmTMJ5HqGXoiUXqo39qtgq8BH5sDZHdqojBHE2JLnWuRLD
65536,27992,1,77,0,1,0,216.087890625,216.017578125,ipython,QmS3zdiBEWycE59hcjGeAKhFej3GvGfttSE2wYoe2FXzqG
