total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
65536,27779,3,62,0,2,0,216.087890625,216.017578125,dnspython,QmPPrXqVuxAxPe2ftWo1TUDPCEFGDpCW5uE9KdDqfimbc5
65536,27972,3,76,0,1,0,216.087890625,216.017578125,ifaddr,QmZTmy52YU8SzvyNxYPY8WVuTKb5yGr8CW9poX5g8WWWZC
131072,66919,2,80,2,1,2,218.056640625,217.986328125,aioice,QmVuqzWGocJDZQbV4dD1nBkqVUNatGjAFTB4YVcoeB4VZE
65536,27973,2,77,0,1,0,216.087890625,216.017578125,av,QmUw2GXmdCx3TWTF5DgCZGpxyxiejdsMn9w5XoNKj4y9pS
131072,66531,6,77,2,11,3,218.056640625,217.986328125,cryptography,QmZ8csQmmYJLcpfbTqzKiTHcASoormt5urDqZ4Y94A4XD6
65536,27786,4,76,0,3,0,216.087890625,216.017578125,google-crc32c,QmVMGdhiiLHhH5ThrV1QC3NuovVr8fhbB3otaSzzuHamXy
131072,47167,2,77,1,1,1,218.056640625,217.986328125,pyee,QmTmXq5AdKAiEUqoLXequafxekTnrYzpnxGbPip11u7ss9
131072,47382,2,77,1,1,2,218.056640625,217.986328125,pylibsrtp,QmZ1ZNHzFkz2aZUHjC6NCdyXGb4makoFCe7tf97NJ7A2r4
131072,66918,2,77,2,1,4,218.056640625,217.986328125,pyopenssl,QmNecviwTFDPDEoNpZpbQEhpKNQYSWbPrmfJcf9nzzt11g
262144,137457,1,76,7,1,12,218.056640625,217.986328125,aiortc,QmRC1kDnSQbgQuZoA5kSeM3BJB9YnPg5vu6JsBZ1Z3vkJ9
131072,79705,4,76,3,8,3,218.056640625,217.986328125,anyio,QmejwQXNY4E9Csr4u6se6qUitFsmd33zKzxQBeFo2s6F7h
65536,27972,3,76,0,3,0,216.087890625,216.017578125,distro,QmWvtLXPAgV8xHJU4vhaqN3LaLV3Xqj4vDTicoWrWzV4Hk
65536,27769,5,77,0,1,0,216.087890625,216.017578125,hpack,QmdfDMhZ6W3RzhVo1Do4Ks7es2HQcqXqNSMW9g3nXgCjmE
65536,27981,5,76,0,1,0,216.087890625,216.017578125,hyperframe,QmZi1eVgmv528QfVXCcZwozovoSn8bPhrd8WjFhqP7dF6U
131072,66900,4,71,2,1,2,218.056640625,217.986328125,h2,QmeDaV5JH2LP7QhNzcLuU2Eicw6ekSRdRyyVWd48JFEqPa
262144,111855,3,70,5,9,10,218.056640625,217.986328125,httpx,QmPLEQooxKTMCrQ8USHdFJJBiybWHpWn8HVwVAq63siqYK
65536,27972,3,76,0,2,0,216.087890625,216.017578125,jiter,QmT8C7WAdBWGgN9c58U1Su3GESNGHoAkPjEFS6c1fDZ9Mj
131072,47579,5,78,1,1,1,218.056640625,217.986328125,pydantic-core,QmSjZXo9PMz7v6KdqDV8knwVSANktWKTUpmmNMbCDwZH1F
262144,98911,4,76,4,14,4,218.056640625,217.986328125,pydantic,QmPUPVczJgGD6noghhhd7KzagS7B6SiEo3HXExMrzPgQJL
65536,27982,3,76,0,2,0,216.087890625,216.017578125,sniffio,QmRMqV7T72A3KwGZmkoRrXj9aTRwKyALfx1NVcCqaWSZz7
262144,156794,1,76,8,1,19,218.056640625,217.986328125,anthropic,Qme9f9ZBXskpZ5zPM1PQ9MqzgFJeZY7n9uWUgBG3HPGNce
65536,27997,6,76,0,1,0,216.087890625,216.017578125,charset-normalizer,QmabjbigH9VPF74nXWgT8bMCMQG4HZ2dEum7BBSLw1uZba
262144,98657,5,79,4,17,4,218.056640625,217.986328125,requests,QmeueSS7526GUhHAFgR1hojMibi9WwgoUn14Hd9b4Zt35X
131072,79705,2,78,3,1,6,218.056640625,217.986328125,docker,QmZaRTBJsSx6gMdEkjQdXESEeWrFdZ9rrH22tY1t5dKi9q
65536,27972,4,78,0,19,0,216.087890625,216.017578125,numpy,QmY2PnhMjfAxBLaVw5eFZZYiWn9ZHtnghwBvBgjq8SRHwk
131072,47372,2,78,1,1,1,218.056640625,217.986328125,flaml,QmQsp5s7SKviABZh18Xy2cupGgN5Y5RvNV96PcQTZXti63
131072,47167,5,76,1,6,1,218.056640625,217.986328125,tqdm,QmYPvEkuPJfJ9FXbsN3v3sNi6v3kN3cgWgKeRorUznVPCg
