total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
65536,27949,1,3,11691,0,1,0,216.087890625,216.017578125,0,11802,105,85,6137,443,pycparser,QmdXeFQXACPGeHB5Xj1XmDpLLbsKtvinYrM4iHYE7C5isJ
131072,47382,1,2,0,1,1,1,218.056640625,217.986328125,78054,17242,7337,85,11914,1280,cffi,QmV8rsE1LxLRXY6rsTitZ3kMWwkWRWGRoUBWF5brjmSb58
65536,27997,1,5,11041,0,10,0,216.087890625,216.017578125,0,11850,105,85,6137,443,typing-extensions,QmTt1E7QbztZJgDXbpKiWhRJAcibQUQfJGcLyxcQYoJ3Fr
131072,66531,1,1,0,2,1,3,218.056640625,217.986328125,91574,22610,14567,85,17627,2109,cryptography,QmfVVroqu5XGSycUzZwHvwADuUxUTYiwCWKgt1PdEBQRtt
131072,47582,1,2,0,1,1,1,218.056640625,217.986328125,76224,17442,7337,85,11914,1280,asgiref,QmdnGjyimqUjySySe6zGVvg7QQZobb3y6p6YSReSoPXxGz
65536,27982,1,2,11348,0,1,0,216.087890625,216.017578125,0,11835,105,85,6137,443,blinker,QmaUZuHKeCvR6WrvT9CWSwzQi7Q3cMDkk1XxpzuK5ZP7rX
65536,27767,1,4,11179,0,7,0,216.087890625,216.017578125,0,11620,105,85,6137,443,colorama,QmQ2TBaD2yjaYbQGQd4SQLgK3y7EQDJ4v8xkTcgcZcgYz5
131072,47372,1,3,0,1,3,1,218.056640625,217.986328125,74968,17219,7350,85,11914,1280,click,QmaW1v9VGPQVBYgNfSG5ASzL6ijAsM7ZKhB5RyCJcuXWsZ
65536,27809,1,2,11450,0,1,0,216.087890625,216.017578125,0,11662,105,85,6137,443,itsdangerous,QmXdV4q6DkKbPdSFRo2aM2CLUMxSzieEuvFyJVTUtEtHH9
65536,27981,1,5,11416,0,3,0,216.087890625,216.017578125,0,11834,105,85,6137,443,markupsafe,QmbsoPCT5qVg9d3WquPc5teshsComqnhqtMK9L6zKL6waA
131072,47562,1,4,0,1,3,1,218.056640625,217.986328125,75334,17422,7337,85,11914,1280,jinja2,QmcrbT21MM3mzJss7jbwir2bHj2Z9uzJNStzdUgmc9UYHb
65536,27786,1,2,11553,0,1,0,216.087890625,216.017578125,0,11639,105,85,6137,443,python-dotenv,QmaYYKniAhW5xryvRTJQ6feEbGXhQA1Gh95q6WwbLu3ygi
131072,47357,1,2,0,1,1,1,218.056640625,217.986328125,73540,17217,7337,85,11914,1280,werkzeug,QmevhPtcM3ujUESWTcRkWGSCavVEyfWYWrqs1Gh7gsdhkU
